,Language,subject,model,accuracy
0,French,sub-003,acoustic,0.001072064931636887
1,French,sub-020,acoustic,0.0007601296720661447
2,French,sub-001,acoustic,0.0022824425498855607
3,French,sub-004,acoustic,0.0019215807807023534
4,French,sub-021,acoustic,0.001956007933616524
5,French,sub-009,acoustic,0.001647504837606495
6,French,sub-011,acoustic,0.0016677697436681873
7,French,sub-018,acoustic,0.0010802608268352214
8,French,sub-019,acoustic,0.001831075620896044
9,French,sub-023,acoustic,0.0017740578462252742
10,French,sub-010,acoustic,0.0018233212157063943
11,French,sub-008,acoustic,0.0027751334037401116
12,French,sub-025,acoustic,0.004488770124081491
13,French,sub-028,acoustic,0.001576952866651439
14,French,sub-027,acoustic,0.000902668035793958
15,French,sub-014,acoustic,0.004059628902008908
16,French,sub-026,acoustic,0.00228088267272336
17,French,sub-029,acoustic,0.002142265762160276
18,French,sub-033,acoustic,0.002093749057736872
19,French,sub-015,acoustic,0.0009253510345337362
20,French,sub-017,acoustic,0.0036978015718806944
21,French,sub-032,acoustic,0.002750011247981913
22,French,sub-030,acoustic,0.00336214504108089
23,French,sub-013,acoustic,0.0012359094013672939
24,French,sub-003,acoustic+phonemes,0.0010802480234556474
25,French,sub-020,acoustic+phonemes,0.0007626509113652896
26,French,sub-001,acoustic+phonemes,0.0022943442043539975
27,French,sub-004,acoustic+phonemes,0.0019334570977588054
28,French,sub-021,acoustic+phonemes,0.0019673801578470296
29,French,sub-009,acoustic+phonemes,0.0016667397357333037
30,French,sub-011,acoustic+phonemes,0.0016883958272761474
31,French,sub-018,acoustic+phonemes,0.0010894193989455262
32,French,sub-019,acoustic+phonemes,0.0018512013832714792
33,French,sub-023,acoustic+phonemes,0.0017932396043290211
34,French,sub-010,acoustic+phonemes,0.0018238328415395048
35,French,sub-008,acoustic+phonemes,0.002800368463447207
36,French,sub-025,acoustic+phonemes,0.004589676556685282
37,French,sub-028,acoustic+phonemes,0.0015812249206357174
38,French,sub-027,acoustic+phonemes,0.0009060242073535628
39,French,sub-014,acoustic+phonemes,0.004083048488795534
40,French,sub-026,acoustic+phonemes,0.002292797877380316
41,French,sub-029,acoustic+phonemes,0.00215582434131807
42,French,sub-033,acoustic+phonemes,0.0020991704517982395
43,French,sub-015,acoustic+phonemes,0.0009339303007323185
