,Language,Word Entropy,hemisphere,subject,model,accuracy
0,French,Low,Right,sub-003,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.050267646316755e-05
1,French,Low,Left,sub-003,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.992603653740375e-05
2,French,Low,Right,sub-020,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-3.0251951010368954e-05
3,French,Low,Left,sub-020,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.0891425677049067e-05
4,French,Low,Right,sub-001,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.4191816898246627e-05
5,French,Low,Left,sub-001,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.0531346305499966e-05
6,French,Low,Right,sub-004,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-9.2282037873107e-06
7,French,Low,Left,sub-004,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.0793013976703505e-05
8,French,Low,Right,sub-021,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.54186918797744e-05
9,French,Low,Left,sub-021,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-9.785724294346649e-06
10,French,Low,Right,sub-009,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.677967816310778e-06
11,French,Low,Left,sub-009,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.5127371160585233e-05
12,French,Low,Right,sub-011,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.7125422689567185e-05
13,French,Low,Left,sub-011,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,6.119636039392385e-06
14,French,Low,Right,sub-018,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.709287955285273e-05
15,French,Low,Left,sub-018,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.8799255140713604e-05
16,French,Low,Right,sub-019,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.6879028479616447e-05
17,French,Low,Left,sub-019,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.1578193798156825e-05
18,French,Low,Right,sub-023,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.435794725130756e-05
19,French,Low,Left,sub-023,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.2344844601884117e-05
20,French,Low,Right,sub-010,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.9696593073589088e-05
21,French,Low,Left,sub-010,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.807729903744174e-05
22,French,Low,Right,sub-008,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.498066497516468e-05
23,French,Low,Left,sub-008,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.1065091876720007e-05
24,French,Low,Right,sub-025,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-3.912585970787633e-06
25,French,Low,Left,sub-025,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,5.113068755292068e-05
26,French,Low,Right,sub-028,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.8162853814304657e-05
27,French,Low,Left,sub-028,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.0553754777985756e-05
28,French,Low,Right,sub-027,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.3215217642799095e-05
29,French,Low,Left,sub-027,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.497807489875244e-05
30,French,Low,Right,sub-014,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-8.83367513151419e-06
31,French,Low,Left,sub-014,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.6518634406158852e-05
32,French,Low,Right,sub-026,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.4796487810991102e-05
33,French,Low,Left,sub-026,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,5.804238709535441e-06
