,Language,Word Entropy,hemisphere,subject,model,accuracy
0,French,Low,Right,sub-003,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.0502676463167547e-05
1,French,Low,Left,sub-003,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.9926036537403743e-05
2,French,Low,Right,sub-020,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-3.025195101036895e-05
3,French,Low,Left,sub-020,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.0891425677049064e-05
4,French,Low,Right,sub-001,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.4191816898246624e-05
5,French,Low,Left,sub-001,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.0531346305499963e-05
6,French,Low,Right,sub-004,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-9.2282037873107e-06
7,French,Low,Left,sub-004,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.07930139767035e-05
8,French,Low,Right,sub-021,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.5418691879774396e-05
9,French,Low,Left,sub-021,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-9.785724294346645e-06
10,French,Low,Right,sub-009,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.6779678163107766e-06
11,French,Low,Left,sub-009,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.5127371160585232e-05
12,French,Low,Right,sub-011,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.7125422689567182e-05
13,French,Low,Left,sub-011,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,6.119636039392389e-06
14,French,Low,Right,sub-018,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.7092879552852726e-05
15,French,Low,Left,sub-018,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.8799255140713597e-05
16,French,Low,Right,sub-019,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.687902847961644e-05
17,French,Low,Left,sub-019,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.1578193798156825e-05
18,French,Low,Right,sub-023,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.4357947251307558e-05
19,French,Low,Left,sub-023,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.2344844601884114e-05
20,French,Low,Right,sub-010,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.9696593073589084e-05
21,French,Low,Left,sub-010,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.807729903744174e-05
22,French,Low,Right,sub-008,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.4980664975164679e-05
23,French,Low,Left,sub-008,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.1065091876720007e-05
24,French,Low,Right,sub-025,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-3.91258597078763e-06
25,French,Low,Left,sub-025,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,5.113068755292069e-05
26,French,Low,Right,sub-028,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.816285381430465e-05
27,French,Low,Left,sub-028,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.0553754777985753e-05
28,French,Low,Right,sub-027,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.321521764279909e-05
29,French,Low,Left,sub-027,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.497807489875244e-05
30,French,Low,Right,sub-014,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-8.833675131514187e-06
31,French,Low,Left,sub-014,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.6518634406158852e-05
32,French,Low,Right,sub-026,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.4796487810991102e-05
33,French,Low,Left,sub-026,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,5.804238709535444e-06
34,French,Low,Right,sub-029,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.8475592497270076e-05
35,French,Low,Left,sub-029,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.4495026653569287e-05
36,French,Low,Right,sub-033,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.143814862430128e-05
37,French,Low,Left,sub-033,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.884762399834907e-05
38,French,Low,Right,sub-015,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.2746521229623135e-05
39,French,Low,Left,sub-015,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.8221741416141494e-05
40,French,Low,Right,sub-017,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,2.7698294903857927e-05
41,French,Low,Left,sub-017,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,4.817136517109468e-06
42,French,Low,Right,sub-032,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,9.773735315765965e-06
43,French,Low,Left,sub-032,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.2517495339751454e-05
44,French,Low,Right,sub-030,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.123604746408566e-05
45,French,Low,Left,sub-030,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-1.4225901327501972e-05
46,French,Low,Right,sub-013,freq2_equal_signal_acoustic+phonemes+surprisal+entropy,-2.1657952062482937e-05
