,Language,subject,model,accuracy
0,French,sub-001,acoustic,0.0016883759695142885
1,French,sub-004,acoustic,0.0016593266227726052
2,French,sub-018,acoustic,0.0009797748148618975
3,French,sub-014,acoustic,0.003972766698277763
4,French,sub-019,acoustic,0.0015685755546736547
5,French,sub-021,acoustic,0.001744705678140328
6,French,sub-015,acoustic,0.0007800982846750976
7,French,sub-020,acoustic,0.0008888515871828313
8,French,sub-003,acoustic,0.0006576536737723615
9,French,sub-033,acoustic,0.0018228179688994089
10,French,sub-009,acoustic,0.0012786888771634088
11,French,sub-029,acoustic,0.0018267463511735574
12,French,sub-008,acoustic,0.0024943241150556326
13,French,sub-030,acoustic,0.002659820851039091
14,French,sub-010,acoustic,0.0014214223899832765
15,French,sub-013,acoustic,0.0016690170623263163
16,French,sub-026,acoustic,0.0019242788646412498
17,French,sub-017,acoustic,0.002907239532711183
18,French,sub-027,acoustic,0.0009302217675168797
19,French,sub-032,acoustic,0.00200769991351501
20,French,sub-011,acoustic,0.0014794931825449118
21,French,sub-025,acoustic,0.00479895838577761
22,French,sub-028,acoustic,0.0013002010584457014
23,French,sub-023,acoustic,0.0014935932495028891
24,French,sub-001,acoustic+phonemes,0.001691042403427179
25,French,sub-004,acoustic+phonemes,0.0016662889015179633
26,French,sub-018,acoustic+phonemes,0.0009805219899273881
27,French,sub-014,acoustic+phonemes,0.003993613292824464
28,French,sub-019,acoustic+phonemes,0.0015812173720179258
29,French,sub-021,acoustic+phonemes,0.0017548648193375272
30,French,sub-015,acoustic+phonemes,0.0007805023315577657
31,French,sub-020,acoustic+phonemes,0.00088662924514513
32,French,sub-003,acoustic+phonemes,0.00066017495610358
33,French,sub-033,acoustic+phonemes,0.0018240805962572485
34,French,sub-009,acoustic+phonemes,0.0012858521534181119
35,French,sub-029,acoustic+phonemes,0.0018311881415482623
36,French,sub-008,acoustic+phonemes,0.0025174725496441407
37,French,sub-030,acoustic+phonemes,0.002660342794920208
38,French,sub-010,acoustic+phonemes,0.0014200535568991202
39,French,sub-013,acoustic+phonemes,0.0016676970219670268
40,French,sub-026,acoustic+phonemes,0.0019161849763287204
41,French,sub-017,acoustic+phonemes,0.0029580742684091658
42,French,sub-027,acoustic+phonemes,0.000932917561226159
43,French,sub-032,acoustic+phonemes,0.002046796140791016
44,French,sub-011,acoustic+phonemes,0.0014975748497779969
45,French,sub-025,acoustic+phonemes,0.0048750342685808246
46,French,sub-028,acoustic+phonemes,0.0012994801239881429
47,French,sub-023,acoustic+phonemes,0.0015123601409986343
48,French,sub-001,acoustic+phonemes+surprisal,0.0016864059753834543
49,French,sub-004,acoustic+phonemes+surprisal,0.0016676525919896584
50,French,sub-018,acoustic+phonemes+surprisal,0.0009779242917945582
51,French,sub-014,acoustic+phonemes+surprisal,0.003991087317613295
52,French,sub-019,acoustic+phonemes+surprisal,0.0015738129130491718
53,French,sub-021,acoustic+phonemes+surprisal,0.0017467743049235777
54,French,sub-015,acoustic+phonemes+surprisal,0.0007782515554823467
55,French,sub-020,acoustic+phonemes+surprisal,0.0008760400865808226
56,French,sub-003,acoustic+phonemes+surprisal,0.0006494813970784709
57,French,sub-033,acoustic+phonemes+surprisal,0.0018148170348466388
58,French,sub-009,acoustic+phonemes+surprisal,0.0012821414419628338
59,French,sub-029,acoustic+phonemes+surprisal,0.001824890099734102
60,French,sub-008,acoustic+phonemes+surprisal,0.002514917860358706
61,French,sub-030,acoustic+phonemes+surprisal,0.0026566867902358474
62,French,sub-010,acoustic+phonemes+surprisal,0.001417361617357764
63,French,sub-013,acoustic+phonemes+surprisal,0.0016552167143268097
64,French,sub-026,acoustic+phonemes+surprisal,0.0019123677139768693
65,French,sub-017,acoustic+phonemes+surprisal,0.002963043771000975
66,French,sub-027,acoustic+phonemes+surprisal,0.0009301192838002286
67,French,sub-032,acoustic+phonemes+surprisal,0.0020513211951453955
68,French,sub-011,acoustic+phonemes+surprisal,0.0014954033051338578
69,French,sub-025,acoustic+phonemes+surprisal,0.004873037021564988
70,French,sub-028,acoustic+phonemes+surprisal,0.0012907611617696767
71,French,sub-023,acoustic+phonemes+surprisal,0.0015073571804035955
72,French,sub-001,acoustic+phonemes+surprisal+entropy,0.0016890480720245812
73,French,sub-004,acoustic+phonemes+surprisal+entropy,0.0016745220759337028
74,French,sub-018,acoustic+phonemes+surprisal+entropy,0.0009709368673433321
75,French,sub-014,acoustic+phonemes+surprisal+entropy,0.0039855435681185715
76,French,sub-019,acoustic+phonemes+surprisal+entropy,0.0015707315704315383
77,French,sub-021,acoustic+phonemes+surprisal+entropy,0.0017525386953112488
78,French,sub-015,acoustic+phonemes+surprisal+entropy,0.0007689924458098593
79,French,sub-020,acoustic+phonemes+surprisal+entropy,0.000864745208076073
