,Language,subject,model,accuracy
0,French,sub-001,first_2_parts_acoustic,0.002803795221728419
1,French,sub-004,first_2_parts_acoustic,0.0020460137204961265
2,French,sub-018,first_2_parts_acoustic,0.0007460539672915075
3,French,sub-014,first_2_parts_acoustic,0.004043056063372692
4,French,sub-019,first_2_parts_acoustic,0.0015134123507317475
5,French,sub-021,first_2_parts_acoustic,0.001961366586015238
6,French,sub-015,first_2_parts_acoustic,0.001241963856249462
7,French,sub-020,first_2_parts_acoustic,0.00046457087377349944
8,French,sub-003,first_2_parts_acoustic,0.001262325988281352
9,French,sub-033,first_2_parts_acoustic,0.0019835954595557176
10,French,sub-009,first_2_parts_acoustic,0.001867176983904078
11,French,sub-029,first_2_parts_acoustic,0.002169805262755734
12,French,sub-008,first_2_parts_acoustic,0.0029690260190742513
13,French,sub-030,first_2_parts_acoustic,0.003925939166642221
14,French,sub-010,first_2_parts_acoustic,0.0023631799316806102
15,French,sub-013,first_2_parts_acoustic,0.0008352509416184129
16,French,sub-026,first_2_parts_acoustic,0.0029806941734099313
17,French,sub-017,first_2_parts_acoustic,0.004806859475300869
18,French,sub-027,first_2_parts_acoustic,0.0009950678111182124
19,French,sub-032,first_2_parts_acoustic,0.0037049242663777884
20,French,sub-011,first_2_parts_acoustic,0.0016305868681807797
21,French,sub-025,first_2_parts_acoustic,0.004291725295357709
22,French,sub-028,first_2_parts_acoustic,0.0021741785543196437
23,French,sub-023,first_2_parts_acoustic,0.0017889163199031378
24,French,sub-001,first_2_parts_acoustic+phonemes,0.0028183242192763346
25,French,sub-004,first_2_parts_acoustic+phonemes,0.0020526598199952107
26,French,sub-018,first_2_parts_acoustic+phonemes,0.000744631937497114
27,French,sub-014,first_2_parts_acoustic+phonemes,0.004056786846932481
28,French,sub-019,first_2_parts_acoustic+phonemes,0.0015211409486052734
29,French,sub-021,first_2_parts_acoustic+phonemes,0.0019691307663721753
30,French,sub-015,first_2_parts_acoustic+phonemes,0.0012445376872253756
31,French,sub-020,first_2_parts_acoustic+phonemes,0.0004582168783474908
32,French,sub-003,first_2_parts_acoustic+phonemes,0.0012608828054886086
33,French,sub-033,first_2_parts_acoustic+phonemes,0.001984395974641625
34,French,sub-009,first_2_parts_acoustic+phonemes,0.0018820575276646849
35,French,sub-029,first_2_parts_acoustic+phonemes,0.0021772314793393685
36,French,sub-008,first_2_parts_acoustic+phonemes,0.0029909435685103476
37,French,sub-030,first_2_parts_acoustic+phonemes,0.003930181516754668
38,French,sub-010,first_2_parts_acoustic+phonemes,0.0023694086835241556
39,French,sub-013,first_2_parts_acoustic+phonemes,0.0008338504153461573
40,French,sub-026,first_2_parts_acoustic+phonemes,0.0029868856319112402
41,French,sub-017,first_2_parts_acoustic+phonemes,0.0048495744874361224
42,French,sub-027,first_2_parts_acoustic+phonemes,0.000999376999975195
43,French,sub-032,first_2_parts_acoustic+phonemes,0.0037767065424358587
44,French,sub-011,first_2_parts_acoustic+phonemes,0.0016412123546010056
45,French,sub-025,first_2_parts_acoustic+phonemes,0.004382666433414885
46,French,sub-028,first_2_parts_acoustic+phonemes,0.0021739995043148367
47,French,sub-023,first_2_parts_acoustic+phonemes,0.001801445429422344
48,French,sub-001,first_2_parts_acoustic+phonemes+surprisal,0.0028261340120235867
49,French,sub-004,first_2_parts_acoustic+phonemes+surprisal,0.002046497768065532
50,French,sub-018,first_2_parts_acoustic+phonemes+surprisal,0.0007349296459026293
51,French,sub-014,first_2_parts_acoustic+phonemes+surprisal,0.00405745576254239
52,French,sub-019,first_2_parts_acoustic+phonemes+surprisal,0.0015208557364436905
53,French,sub-021,first_2_parts_acoustic+phonemes+surprisal,0.0019660736211091143
54,French,sub-015,first_2_parts_acoustic+phonemes+surprisal,0.0012348383142916136
55,French,sub-020,first_2_parts_acoustic+phonemes+surprisal,0.00045392241328988847
