,Language,Word Entropy,hemisphere,model,time,subject,accuracy
0,French,Low,Right,Phoneme_onset,0,sub-001,-5.513087404435796e-07
1,French,Low,Left,Phoneme_onset,0,sub-001,-1.7927535124473168e-06
2,French,Low,Right,Surprisal,0,sub-001,-3.2217242698977235e-06
3,French,Low,Left,Surprisal,0,sub-001,-6.176869854235683e-07
4,French,Low,Right,Entropy,0,sub-001,-9.459426901731051e-06
5,French,Low,Left,Entropy,0,sub-001,-7.046842435822968e-06
6,French,Low,Right,Phoneme_onset,0,sub-003,1.022648164239953e-06
7,French,Low,Left,Phoneme_onset,0,sub-003,-1.2309380526731874e-06
8,French,Low,Right,Surprisal,0,sub-003,-5.045428130985845e-06
9,French,Low,Left,Surprisal,0,sub-003,-1.4477349180161338e-06
10,French,Low,Right,Entropy,0,sub-003,-4.3751437752941575e-06
11,French,Low,Left,Entropy,0,sub-003,-6.83523959934427e-06
12,French,Low,Right,Phoneme_onset,0,sub-004,-2.9262599097839756e-06
13,French,Low,Left,Phoneme_onset,0,sub-004,1.922771405753227e-06
14,French,Low,Right,Surprisal,0,sub-004,-1.486878827280485e-06
15,French,Low,Left,Surprisal,0,sub-004,-2.9333784168939257e-06
16,French,Low,Right,Entropy,0,sub-004,-7.020875831619304e-06
17,French,Low,Left,Entropy,0,sub-004,-7.38853017237954e-06
18,French,Low,Right,Phoneme_onset,0,sub-008,-2.4550767061484662e-06
19,French,Low,Left,Phoneme_onset,0,sub-008,-3.5456208320736156e-07
20,French,Low,Right,Surprisal,0,sub-008,-3.2024383823486804e-06
21,French,Low,Left,Surprisal,0,sub-008,-3.1067138911426725e-06
22,French,Low,Right,Entropy,0,sub-008,-8.338776240192055e-06
23,French,Low,Left,Entropy,0,sub-008,-7.261948044534631e-06
24,French,Low,Right,Phoneme_onset,0,sub-009,-1.561919138041861e-06
25,French,Low,Left,Phoneme_onset,0,sub-009,2.1811700521917609e-07
26,French,Low,Right,Surprisal,0,sub-009,-2.5855977348172626e-06
27,French,Low,Left,Surprisal,0,sub-009,-3.358776172984003e-06
28,French,Low,Right,Entropy,0,sub-009,-6.586068283894568e-06
29,French,Low,Left,Entropy,0,sub-009,-6.1711403275860125e-06
30,French,Low,Right,Phoneme_onset,0,sub-010,-1.9195005465187423e-07
31,French,Low,Left,Phoneme_onset,0,sub-010,-5.375507716975195e-07
32,French,Low,Right,Surprisal,0,sub-010,-2.2059089156714055e-06
33,French,Low,Left,Surprisal,0,sub-010,-2.500672564670426e-06
34,French,Low,Right,Entropy,0,sub-010,-5.334916075044732e-06
35,French,Low,Left,Entropy,0,sub-010,-6.53447785880616e-06
36,French,Low,Right,Phoneme_onset,0,sub-011,1.919980251726881e-06
