,Language,Word Entropy,hemisphere,subject,model,accuracy
0,French,Low,Right,sub-001,equal_signal_acoustic+phonemes+surprisal+entropy,0.0005388836267526322
1,French,Low,Left,sub-001,equal_signal_acoustic+phonemes+surprisal+entropy,0.00046464783785821114
2,French,Low,Right,sub-003,equal_signal_acoustic+phonemes+surprisal+entropy,0.00015532798230637827
3,French,Low,Left,sub-003,equal_signal_acoustic+phonemes+surprisal+entropy,0.0002087101739709006
4,French,Low,Right,sub-004,equal_signal_acoustic+phonemes+surprisal+entropy,0.0004468429521032961
5,French,Low,Left,sub-004,equal_signal_acoustic+phonemes+surprisal+entropy,0.0002482713939257794
6,French,Low,Right,sub-008,equal_signal_acoustic+phonemes+surprisal+entropy,0.0007387026370031363
7,French,Low,Left,sub-008,equal_signal_acoustic+phonemes+surprisal+entropy,0.00019678371105246695
8,French,Low,Right,sub-009,equal_signal_acoustic+phonemes+surprisal+entropy,0.0002954482141316151
9,French,Low,Left,sub-009,equal_signal_acoustic+phonemes+surprisal+entropy,0.0002560741359820375
10,French,Low,Right,sub-010,equal_signal_acoustic+phonemes+surprisal+entropy,0.0004708692699228868
11,French,Low,Left,sub-010,equal_signal_acoustic+phonemes+surprisal+entropy,0.0003530697931449999
12,French,Low,Right,sub-011,equal_signal_acoustic+phonemes+surprisal+entropy,0.0003107777011331496
13,French,Low,Left,sub-011,equal_signal_acoustic+phonemes+surprisal+entropy,0.0002545030855643066
14,French,Low,Right,sub-013,equal_signal_acoustic+phonemes+surprisal+entropy,0.0004517398886430897
15,French,Low,Left,sub-013,equal_signal_acoustic+phonemes+surprisal+entropy,0.00010901013678638795
16,French,Low,Right,sub-014,equal_signal_acoustic+phonemes+surprisal+entropy,0.0007976174991457658
17,French,Low,Left,sub-014,equal_signal_acoustic+phonemes+surprisal+entropy,0.0007403299071301555
18,French,Low,Right,sub-015,equal_signal_acoustic+phonemes+surprisal+entropy,1.8504549486180316e-05
19,French,Low,Left,sub-015,equal_signal_acoustic+phonemes+surprisal+entropy,0.00020658836361658376
20,French,Low,Right,sub-017,equal_signal_acoustic+phonemes+surprisal+entropy,0.00110633435619607
21,French,Low,Left,sub-017,equal_signal_acoustic+phonemes+surprisal+entropy,0.0003133950058970948
22,French,Low,Right,sub-018,equal_signal_acoustic+phonemes+surprisal+entropy,0.00017720603395380812
23,French,Low,Left,sub-018,equal_signal_acoustic+phonemes+surprisal+entropy,0.0001702024757182349
24,French,Low,Right,sub-019,equal_signal_acoustic+phonemes+surprisal+entropy,0.0003034440376780455
25,French,Low,Left,sub-019,equal_signal_acoustic+phonemes+surprisal+entropy,0.00039069891032960893
26,French,Low,Right,sub-020,equal_signal_acoustic+phonemes+surprisal+entropy,0.00010196843189693771
27,French,Low,Left,sub-020,equal_signal_acoustic+phonemes+surprisal+entropy,0.00012114361693434886
