,Language,Word Entropy,hemisphere,subject,model,accuracy
0,French,Low,Right,sub-001,equal_signal_acoustic+phonemes+surprisal+entropy,-9.890498900318195e-06
1,French,Low,Left,sub-001,equal_signal_acoustic+phonemes+surprisal+entropy,-1.1314880690359966e-05
2,French,Low,Right,sub-003,equal_signal_acoustic+phonemes+surprisal+entropy,-1.2434467672860312e-05
3,French,Low,Left,sub-003,equal_signal_acoustic+phonemes+surprisal+entropy,-2.548623555696814e-05
4,French,Low,Right,sub-004,equal_signal_acoustic+phonemes+surprisal+entropy,-7.897908754653474e-06
5,French,Low,Left,sub-004,equal_signal_acoustic+phonemes+surprisal+entropy,-1.1190141548547161e-05
6,French,Low,Right,sub-008,equal_signal_acoustic+phonemes+surprisal+entropy,-1.651451318817849e-06
7,French,Low,Left,sub-008,equal_signal_acoustic+phonemes+surprisal+entropy,-9.289742458012519e-06
8,French,Low,Right,sub-009,equal_signal_acoustic+phonemes+surprisal+entropy,6.088389868091674e-06
9,French,Low,Left,sub-009,equal_signal_acoustic+phonemes+surprisal+entropy,-3.1075226870325376e-06
10,French,Low,Right,sub-010,equal_signal_acoustic+phonemes+surprisal+entropy,-2.4985778305026705e-05
11,French,Low,Left,sub-010,equal_signal_acoustic+phonemes+surprisal+entropy,-2.3788934961208247e-05
12,French,Low,Right,sub-011,equal_signal_acoustic+phonemes+surprisal+entropy,-4.930947618542662e-06
13,French,Low,Left,sub-011,equal_signal_acoustic+phonemes+surprisal+entropy,2.237773811597349e-05
14,French,Low,Right,sub-013,equal_signal_acoustic+phonemes+surprisal+entropy,-1.3749585176452728e-05
15,French,Low,Left,sub-013,equal_signal_acoustic+phonemes+surprisal+entropy,-1.3156632002530116e-05
16,French,Low,Right,sub-014,equal_signal_acoustic+phonemes+surprisal+entropy,-2.464449475823387e-06
17,French,Low,Left,sub-014,equal_signal_acoustic+phonemes+surprisal+entropy,6.631056989072187e-07
18,French,Low,Right,sub-015,equal_signal_acoustic+phonemes+surprisal+entropy,-1.3427294399532422e-05
19,French,Low,Left,sub-015,equal_signal_acoustic+phonemes+surprisal+entropy,-7.805434407204018e-06
20,French,Low,Right,sub-017,equal_signal_acoustic+phonemes+surprisal+entropy,7.148603861133253e-05
21,French,Low,Left,sub-017,equal_signal_acoustic+phonemes+surprisal+entropy,1.8055603698619272e-05
22,French,Low,Right,sub-018,equal_signal_acoustic+phonemes+surprisal+entropy,-1.2484585305389406e-05
23,French,Low,Left,sub-018,equal_signal_acoustic+phonemes+surprisal+entropy,-1.2747520166022897e-05
24,French,Low,Right,sub-019,equal_signal_acoustic+phonemes+surprisal+entropy,-9.017787820239829e-07
25,French,Low,Left,sub-019,equal_signal_acoustic+phonemes+surprisal+entropy,8.154480889119412e-06
26,French,Low,Right,sub-020,equal_signal_acoustic+phonemes+surprisal+entropy,-2.4831144369741276e-05
27,French,Low,Left,sub-020,equal_signal_acoustic+phonemes+surprisal+entropy,-1.3680584756234536e-05
28,French,Low,Right,sub-021,equal_signal_acoustic+phonemes+surprisal+entropy,-1.44008779732666e-05
29,French,Low,Left,sub-021,equal_signal_acoustic+phonemes+surprisal+entropy,-4.942897223546303e-06
30,French,Low,Right,sub-023,equal_signal_acoustic+phonemes+surprisal+entropy,-1.4391975613154925e-05
31,French,Low,Left,sub-023,equal_signal_acoustic+phonemes+surprisal+entropy,7.772239627852551e-07
32,French,Low,Right,sub-025,equal_signal_acoustic+phonemes+surprisal+entropy,1.5478676469954302e-05
33,French,Low,Left,sub-025,equal_signal_acoustic+phonemes+surprisal+entropy,0.00010385624984290559
34,French,Low,Right,sub-026,equal_signal_acoustic+phonemes+surprisal+entropy,-1.9516103000691758e-05
35,French,Low,Left,sub-026,equal_signal_acoustic+phonemes+surprisal+entropy,1.6481687282860266e-05
36,French,Low,Right,sub-027,equal_signal_acoustic+phonemes+surprisal+entropy,-1.5048409771457038e-05
37,French,Low,Left,sub-027,equal_signal_acoustic+phonemes+surprisal+entropy,-1.6883767913501726e-05
38,French,Low,Right,sub-028,equal_signal_acoustic+phonemes+surprisal+entropy,-2.2152417350827885e-05
39,French,Low,Left,sub-028,equal_signal_acoustic+phonemes+surprisal+entropy,-1.6314342433833727e-05
40,French,Low,Right,sub-029,equal_signal_acoustic+phonemes+surprisal+entropy,-5.485312823318044e-06
41,French,Low,Left,sub-029,equal_signal_acoustic+phonemes+surprisal+entropy,-1.2865621753726578e-05
42,French,Low,Right,sub-030,equal_signal_acoustic+phonemes+surprisal+entropy,-9.581694719057828e-06
43,French,Low,Left,sub-030,equal_signal_acoustic+phonemes+surprisal+entropy,-5.878059037145434e-06
44,French,Low,Right,sub-032,equal_signal_acoustic+phonemes+surprisal+entropy,3.742119209582174e-05
45,French,Low,Left,sub-032,equal_signal_acoustic+phonemes+surprisal+entropy,6.6438555430130284e-06
46,French,Low,Right,sub-033,equal_signal_acoustic+phonemes+surprisal+entropy,-1.6329892066652673e-05
47,French,Low,Left,sub-033,equal_signal_acoustic+phonemes+surprisal+entropy,-1.1487795103413051e-05
48,French,High,Right,sub-001,equal_signal_acoustic+phonemes+surprisal+entrop,2.352958093458016e-06
49,French,High,Left,sub-001,equal_signal_acoustic+phonemes+surprisal+entrop,2.9278483411994628e-06
50,French,High,Right,sub-003,equal_signal_acoustic+phonemes+surprisal+entrop,-1.1623437036323216e-05
51,French,High,Left,sub-003,equal_signal_acoustic+phonemes+surprisal+entrop,-1.2075969504646864e-05
52,French,High,Right,sub-004,equal_signal_acoustic+phonemes+surprisal+entrop,3.056779169033337e-06
53,French,High,Left,sub-004,equal_signal_acoustic+phonemes+surprisal+entrop,1.436876352341719e-05
54,French,High,Right,sub-008,equal_signal_acoustic+phonemes+surprisal+entrop,3.3221353109644225e-05
55,French,High,Left,sub-008,equal_signal_acoustic+phonemes+surprisal+entrop,4.22879653971379e-06
56,French,High,Right,sub-009,equal_signal_acoustic+phonemes+surprisal+entrop,8.629641684982795e-06
57,French,High,Left,sub-009,equal_signal_acoustic+phonemes+surprisal+entrop,2.096305358536699e-05
58,French,High,Right,sub-010,equal_signal_acoustic+phonemes+surprisal+entrop,-1.2821447338410892e-05
59,French,High,Left,sub-010,equal_signal_acoustic+phonemes+surprisal+entrop,-1.2019527737226464e-05
60,French,High,Right,sub-011,equal_signal_acoustic+phonemes+surprisal+entrop,6.89902224919905e-06
61,French,High,Left,sub-011,equal_signal_acoustic+phonemes+surprisal+entrop,2.4314268980161788e-05
62,French,High,Right,sub-013,equal_signal_acoustic+phonemes+surprisal+entrop,-1.2831770610328146e-05
63,French,High,Left,sub-013,equal_signal_acoustic+phonemes+surprisal+entrop,-1.6401304761050256e-05
64,French,High,Right,sub-014,equal_signal_acoustic+phonemes+surprisal+entrop,2.7191614812685552e-05
65,French,High,Left,sub-014,equal_signal_acoustic+phonemes+surprisal+entrop,1.11736120130379e-05
66,French,High,Right,sub-015,equal_signal_acoustic+phonemes+surprisal+entrop,-1.584778548350784e-05
67,French,High,Left,sub-015,equal_signal_acoustic+phonemes+surprisal+entrop,-9.35346937611541e-06
68,French,High,Right,sub-017,equal_signal_acoustic+phonemes+surprisal+entrop,0.0001180165982081864
69,French,High,Left,sub-017,equal_signal_acoustic+phonemes+surprisal+entrop,2.9524517748409277e-05
70,French,High,Right,sub-018,equal_signal_acoustic+phonemes+surprisal+entrop,3.405277648510647e-08
71,French,High,Left,sub-018,equal_signal_acoustic+phonemes+surprisal+entrop,-5.79682786010932e-06
72,French,High,Right,sub-019,equal_signal_acoustic+phonemes+surprisal+entrop,7.6249805721198315e-06
73,French,High,Left,sub-019,equal_signal_acoustic+phonemes+surprisal+entrop,1.292214245997195e-06
74,French,High,Right,sub-020,equal_signal_acoustic+phonemes+surprisal+entrop,-2.3030389677368557e-05
75,French,High,Left,sub-020,equal_signal_acoustic+phonemes+surprisal+entrop,-1.2922644781398572e-05
76,French,High,Right,sub-021,equal_signal_acoustic+phonemes+surprisal+entrop,-3.0737520721350186e-06
77,French,High,Left,sub-021,equal_signal_acoustic+phonemes+surprisal+entrop,-1.6182142430229172e-06
78,French,High,Right,sub-023,equal_signal_acoustic+phonemes+surprisal+entrop,-8.605696511785034e-06
79,French,High,Left,sub-023,equal_signal_acoustic+phonemes+surprisal+entrop,4.92125971680931e-06
80,French,High,Right,sub-025,equal_signal_acoustic+phonemes+surprisal+entrop,1.926999877282412e-05
81,French,High,Left,sub-025,equal_signal_acoustic+phonemes+surprisal+entrop,9.860524098604709e-05
82,French,High,Right,sub-026,equal_signal_acoustic+phonemes+surprisal+entrop,6.305443860198475e-06
83,French,High,Left,sub-026,equal_signal_acoustic+phonemes+surprisal+entrop,1.3965871144048078e-05
84,French,High,Right,sub-027,equal_signal_acoustic+phonemes+surprisal+entrop,-9.577191942833616e-06
85,French,High,Left,sub-027,equal_signal_acoustic+phonemes+surprisal+entrop,-7.382059685326628e-06
86,French,High,Right,sub-028,equal_signal_acoustic+phonemes+surprisal+entrop,-1.5192900591351226e-05
87,French,High,Left,sub-028,equal_signal_acoustic+phonemes+surprisal+entrop,-2.530135510081126e-06
88,French,High,Right,sub-029,equal_signal_acoustic+phonemes+surprisal+entrop,2.0989091395725732e-06
89,French,High,Left,sub-029,equal_signal_acoustic+phonemes+surprisal+entrop,-3.559593019939513e-06
90,French,High,Right,sub-030,equal_signal_acoustic+phonemes+surprisal+entrop,2.6106854369528807e-06
91,French,High,Left,sub-030,equal_signal_acoustic+phonemes+surprisal+entrop,5.4689078986466064e-08
92,French,High,Right,sub-032,equal_signal_acoustic+phonemes+surprisal+entrop,2.813962070065752e-05
93,French,High,Left,sub-032,equal_signal_acoustic+phonemes+surprisal+entrop,1.715100287808885e-05
94,French,High,Right,sub-033,equal_signal_acoustic+phonemes+surprisal+entrop,-1.6141170508802747e-06
95,French,High,Left,sub-033,equal_signal_acoustic+phonemes+surprisal+entrop,-1.4525766787966397e-05
96,Dutch,Low,Right,sub-001,equal_signal_acoustic+phonemes+surprisal+entropy,6.058190871617527e-06
97,Dutch,Low,Left,sub-001,equal_signal_acoustic+phonemes+surprisal+entropy,7.99701212867845e-06
98,Dutch,Low,Right,sub-003,equal_signal_acoustic+phonemes+surprisal+entropy,-3.2914581387397034e-06
99,Dutch,Low,Left,sub-003,equal_signal_acoustic+phonemes+surprisal+entropy,1.1558296264393598e-05
100,Dutch,Low,Right,sub-004,equal_signal_acoustic+phonemes+surprisal+entropy,1.8731315755201032e-05
101,Dutch,Low,Left,sub-004,equal_signal_acoustic+phonemes+surprisal+entropy,2.5707494791968773e-05
102,Dutch,Low,Right,sub-008,equal_signal_acoustic+phonemes+surprisal+entropy,1.6550177266739738e-05
103,Dutch,Low,Left,sub-008,equal_signal_acoustic+phonemes+surprisal+entropy,5.531898964371735e-06
104,Dutch,Low,Right,sub-009,equal_signal_acoustic+phonemes+surprisal+entropy,4.102954045721912e-06
105,Dutch,Low,Left,sub-009,equal_signal_acoustic+phonemes+surprisal+entropy,-8.856855281817662e-07
106,Dutch,Low,Right,sub-010,equal_signal_acoustic+phonemes+surprisal+entropy,-7.517635680381375e-06
107,Dutch,Low,Left,sub-010,equal_signal_acoustic+phonemes+surprisal+entropy,-6.6319743314231924e-06
108,Dutch,Low,Right,sub-011,equal_signal_acoustic+phonemes+surprisal+entropy,3.24373489555663e-07
109,Dutch,Low,Left,sub-011,equal_signal_acoustic+phonemes+surprisal+entropy,3.358849628338298e-05
110,Dutch,Low,Right,sub-013,equal_signal_acoustic+phonemes+surprisal+entropy,-1.273628629563197e-05
111,Dutch,Low,Left,sub-013,equal_signal_acoustic+phonemes+surprisal+entropy,-1.3591842090971734e-05
112,Dutch,Low,Right,sub-014,equal_signal_acoustic+phonemes+surprisal+entropy,6.176117898741752e-05
113,Dutch,Low,Left,sub-014,equal_signal_acoustic+phonemes+surprisal+entropy,6.350418302845262e-05
114,Dutch,Low,Right,sub-015,equal_signal_acoustic+phonemes+surprisal+entropy,-7.0705128860889984e-06
115,Dutch,Low,Left,sub-015,equal_signal_acoustic+phonemes+surprisal+entropy,4.0510087819622475e-06
116,Dutch,Low,Right,sub-017,equal_signal_acoustic+phonemes+surprisal+entropy,0.0001401699657800137
117,Dutch,Low,Left,sub-017,equal_signal_acoustic+phonemes+surprisal+entropy,3.9941051216466e-05
118,Dutch,Low,Right,sub-018,equal_signal_acoustic+phonemes+surprisal+entropy,-1.2727074078921847e-05
119,Dutch,Low,Left,sub-018,equal_signal_acoustic+phonemes+surprisal+entropy,2.376307720156038e-05
120,Dutch,Low,Right,sub-019,equal_signal_acoustic+phonemes+surprisal+entropy,1.5479879434196864e-05
121,Dutch,Low,Left,sub-019,equal_signal_acoustic+phonemes+surprisal+entropy,1.0658051925065256e-05
122,Dutch,Low,Right,sub-020,equal_signal_acoustic+phonemes+surprisal+entropy,-7.272048640394171e-06
123,Dutch,Low,Left,sub-020,equal_signal_acoustic+phonemes+surprisal+entropy,2.3650088240142357e-06
124,Dutch,Low,Right,sub-021,equal_signal_acoustic+phonemes+surprisal+entropy,-2.2923667188439434e-06
125,Dutch,Low,Left,sub-021,equal_signal_acoustic+phonemes+surprisal+entropy,9.788385458339365e-06
126,Dutch,Low,Right,sub-023,equal_signal_acoustic+phonemes+surprisal+entropy,-7.851543908531529e-06
127,Dutch,Low,Left,sub-023,equal_signal_acoustic+phonemes+surprisal+entropy,-1.0574115824695964e-05
128,Dutch,Low,Right,sub-025,equal_signal_acoustic+phonemes+surprisal+entropy,3.307443932151349e-07
129,Dutch,Low,Left,sub-025,equal_signal_acoustic+phonemes+surprisal+entropy,6.363766488543454e-05
130,Dutch,Low,Right,sub-026,equal_signal_acoustic+phonemes+surprisal+entropy,-1.489547788925285e-05
131,Dutch,Low,Left,sub-026,equal_signal_acoustic+phonemes+surprisal+entropy,-7.887038563891576e-06
132,Dutch,Low,Right,sub-027,equal_signal_acoustic+phonemes+surprisal+entropy,4.322832688561406e-06
133,Dutch,Low,Left,sub-027,equal_signal_acoustic+phonemes+surprisal+entropy,9.785587725429436e-06
134,Dutch,Low,Right,sub-028,equal_signal_acoustic+phonemes+surprisal+entropy,-1.5311196879897804e-05
135,Dutch,Low,Left,sub-028,equal_signal_acoustic+phonemes+surprisal+entropy,-1.6490584568247347e-05
136,Dutch,Low,Right,sub-029,equal_signal_acoustic+phonemes+surprisal+entropy,-6.817221515423576e-06
137,Dutch,Low,Left,sub-029,equal_signal_acoustic+phonemes+surprisal+entropy,2.2560847562169402e-05
