phonemes;phoneme_onset;phoneme_offset;words;word_onset;word_offset;cohort_entropy;cohort_surprisal;word_freq
@;0.38;0.44;Het;0.38;0.51;4.483571098705468;5.103190997215754;5.312395807632838
t;0.44;0.51;Het;0.38;0.51;0.004261526174980849;4.88741942161911;5.312395807632838
A;0.51;0.61;arme;0.51;0.82;4.483571098705468;5.342409176396768;13.412744719514437
r;0.61;0.72;arme;0.51;0.82;0.13576676623360814;4.743833245157762;13.412744719514437
m;0.72;0.79;arme;0.51;0.82;0.009012474379216165;1.5024934749482433;13.412744719514437
@;0.79;0.82;arme;0.51;0.82;0.0029006721672149055;0.7935331544458323;13.412744719514437
e:;0.82;0.97;eendje;0.82;1.23;4.483571098705468;5.29814972158154;19.61148878451972
n;0.97;1.04;eendje;0.82;1.23;0.14053822446362366;0.15333875791188983;19.61148878451972
t;1.04;1.11;eendje;0.82;1.23;0.02057177750780015;8.580757507999822;19.61148878451972
j;1.11;1.16;eendje;0.82;1.23;0.0008617726318870196;3.4872250912442793;19.61148878451972
@;1.16;1.23;eendje;0.82;1.23;0.00084861074052986;3.4629572343091644;19.61148878451972
h;1.44;1.48;had;1.44;1.59;4.483571098705468;3.919556755624234;8.84845032228653
A;1.48;1.55;had;1.44;1.59;0.24282588730324134;3.378123926718508;8.84845032228653
t;1.55;1.59;had;1.44;1.59;0.03183120876905373;8.714598004761427;8.84845032228653
@;1.59;1.66;het;1.59;1.72;4.483571098705468;5.103190997215754;5.312395807632838
t;1.66;1.72;het;1.59;1.72;0.004261526174980849;4.88741942161911;5.312395807632838
A;1.72;1.78;al;1.72;1.83;4.483571098705468;5.342409176396768;8.693963519673167
l;1.78;1.83;al;1.72;1.83;0.13576676623360814;0.871126380468701;8.693963519673167
h;1.83;1.98;heel;1.83;2.12;4.483571098705468;3.919556755624234;9.86821197237859
e:;1.98;2.04;heel;1.83;2.12;0.24282588730324134;2.3530756708745613;9.86821197237859
l;2.04;2.12;heel;1.83;2.12;0.05416243967231653;2.950065707143083;9.86821197237859
s;2.12;2.28;slecht;2.12;2.56;4.483571098705468;5.246233841626965;11.823834009991185
l;2.28;2.33;slecht;2.12;2.56;0.1855968423441443;3.1966870734442083;11.823834009991185
E;2.33;2.39;slecht;2.12;2.56;0.027277909960418203;2.334435501484423;11.823834009991185
x;2.39;2.51;slecht;2.12;2.56;0.006209835798730262;0.31080730798685463;11.823834009991185
t;2.51;2.56;slecht;2.12;2.56;0.0053410499134307335;0.1331506600081619;11.823834009991185
O;3.29;3.4;Op;3.29;3.46;4.483571098705468;5.174097309189658;6.910739907341347
p;3.4;3.46;Op;3.29;3.46;0.12076763956969211;2.859072617726601;6.910739907341347
