phonemes;phoneme_onset;phoneme_offset;words;word_onset;word_offset;cohort_entropy;cohort_surprisal;word_freq
h;0.15;0.18;hij;0.15;0.29;4.483571098705468;3.9195567556242343;6.773226710587824
Ei;0.18;0.29;hij;0.15;0.29;0.24282588730324134;8.481156837496973;6.773226710587824
h;0.29;0.34;hoopte;0.29;0.73;4.483571098705468;3.9195567556242343;14.776215877818915
o:;0.34;0.55;hoopte;0.29;0.73;0.24282588730324134;3.5734475136668262;14.776215877818915
p;0.55;0.59;hoopte;0.29;0.73;0.028050885409949856;2.3666796898984384;14.776215877818915
t;0.59;0.64;hoopte;0.29;0.73;0.0023359066499015067;3.0749125717323587;14.776215877818915
@;0.64;0.73;hoopte;0.29;0.73;0.0009392695491553391;2.3379021256685957;14.776215877818915
t;0.73;0.79;dat;0.73;0.88;4.483571098705468;5.057095733487645;5.458607691326394
A;0.79;0.85;dat;0.73;0.88;0.14302451918537298;5.300799327779086;5.458607691326394
t;0.85;0.88;dat;0.73;0.88;0.006039389707970382;4.1946845108270585;5.458607691326394
s;0.88;0.96;zijn;0.88;1.04;4.483571098705468;5.246233841626966;6.928835288022308
Ei;0.96;1.04;zijn;0.88;1.04;0.1855968423441443;8.244089242502916;6.928835288022308
x;1.04;1.14;gelukszon;1.04;1.62;4.483571098705468;4.340400290399336;NAN
@;1.14;1.17;gelukszon;1.04;1.62;0.2555261598127255;0.9824867473367125;NAN
l;1.17;1.25;gelukszon;1.04;1.62;0.17533456821203122;2.8826432376553206;NAN
u;1.25;1.29;gelukszon;1.04;1.62;0.028307268123091527;2.262262019325064;NAN
k;1.29;1.37;gelukszon;1.04;1.62;0.006778573429886985;0.2443120759911;NAN
s;1.37;1.45;gelukszon;1.04;1.62;0.004658225711288575;4.856933946532376;NAN
O;1.45;1.55;gelukszon;1.04;1.62;0.0009839808263638536;5.438421816200984;NAN
n;1.55;1.62;gelukszon;1.04;1.62;0.0008015550200124133;5.104982635415569;NAN
n;1.62;1.65;nog;1.62;1.73;4.483571098705468;4.2996423611804;7.913883490456622
O;1.65;1.69;nog;1.62;1.73;0.2768493358712843;6.516341209960368;7.913883490456622
G;1.69;1.73;nog;1.62;1.73;0.006343676493346674;8.86796872045362;7.913883490456622
k;1.73;1.84;klaarder;1.73;2.12;4.483571098705468;4.803206420928256;NAN
l;1.84;1.88;klaarder;1.73;2.12;0.18198847581797384;2.7849993658413728;NAN
a:;1.88;2.01;klaarder;1.73;2.12;0.03347198684530806;1.9960539267591748;NAN
r;2.01;2.05;klaarder;1.73;2.12;0.008203778880867308;0.1774426778710054;NAN
d;2.05;2.09;klaarder;1.73;2.12;0.0018032240895448101;6.371237744883306;NAN
@;2.09;2.12;klaarder;1.73;2.12;0.00080241512497405;5.049705881281498;NAN
z;2.12;2.2;zou;2.12;2.28;4.483571098705468;4.235657497565434;8.597180369864313
Au;2.2;2.28;zou;2.12;2.28;0.28725579252042865;3.5753603593526977;8.597180369864313
x;2.28;2.35;gaan;2.28;2.42;4.483571098705468;4.340400290399336;8.516877394880435
a:;2.35;2.39;gaan;2.28;2.42;0.2555261598127255;2.5808478774447385;8.516877394880435
n;2.39;2.42;gaan;2.28;2.42;0.028146665968770523;0.15149368461923107;8.516877394880435
s;2.42;2.5;schijnen;2.42;2.87;4.483571098705468;5.246233841626966;16.77336242464395
x;2.5;2.58;schijnen;2.42;2.87;0.1855968423441443;2.507121989651761;16.77336242464395
Ei;2.58;2.76;schijnen;2.42;2.87;0.04335501816578645;4.764107078391687;16.77336242464395
n;2.76;2.82;schijnen;2.42;2.87;0.0027854807521968234;1.271581303154862;16.77336242464395
@;2.82;2.87;schijnen;2.42;2.87;0.0016660098626834262;3.2564375105846257;16.77336242464395
t;4.04;4.09;Tegen;4.04;4.26;4.483571098705468;5.057095733487645;9.877995306967579
e:;4.09;4.18;Tegen;4.04;4.26;0.14302451918537298;2.853837895550114;9.877995306967579
G;4.18;4.23;Tegen;4.04;4.26;0.02279975522488934;0.6830012295131237;9.877995306967579
@;4.23;4.26;Tegen;4.04;4.26;0.013305284269431754;0.044189814429166675;9.877995306967579
z;4.26;4.33;zonsondergang;4.26;5.06;4.483571098705468;4.235657497565434;16.37941065336294
O;4.33;4.38;zonsondergang;4.26;5.06;0.28725579252042865;4.516091270710627;16.37941065336294
n;4.38;4.41;zonsondergang;4.26;5.06;0.0171078708601496;1.1514200620237396;16.37941065336294
s;4.41;4.48;zonsondergang;4.26;5.06;0.008599539789630285;4.742140288624504;16.37941065336294
O;4.48;4.63;zonsondergang;4.26;5.06;0.0012027517718157348;1.3141426152078917;16.37941065336294
n;4.63;4.69;zonsondergang;4.26;5.06;0.0012086403598022257;2.3095367949485066;16.37941065336294
@;4.69;4.72;zonsondergang;4.26;5.06;0.0009942883492694726;5.670642087625221;16.37941065336294
G;4.72;4.84;zonsondergang;4.26;5.06;0.0007989615837472102;5.285402218862248;16.37941065336294
A;4.84;4.9;zonsondergang;4.26;5.06;0.0007989615837472102;5.285402218862248;16.37941065336294
N;4.9;5.06;zonsondergang;4.26;5.06;0.0007989615837472102;5.285402218862248;16.37941065336294
k;5.53;5.56;kwam;5.53;5.66;4.483571098705468;4.803206420928256;10.985437043043788
w;5.56;5.59;kwam;5.53;5.66;0.18198847581797384;4.028426642093008;10.985437043043788
A;5.59;5.63;kwam;5.53;5.66;0.014450637662134324;1.087939990823439;10.985437043043788
m;5.63;5.66;kwam;5.53;5.66;0.007334446011875464;0.3033158636834863;10.985437043043788
Ei;5.66;5.74;hij;5.66;5.74;4.483571098705468;9.259177356576865;6.773226710587824
b;5.74;5.8;bij;5.74;5.94;4.483571098705468;4.642635153594779;8.620958256571136
Ei;5.8;5.94;bij;5.74;5.94;0.19463427520225487;4.895575048821243;8.620958256571136
@;5.94;5.98;een;5.94;5.98;4.483571098705468;5.103190997215755;5.755400767726006
A;5.98;6.1;anderen;5.98;6.26;4.483571098705468;5.342409176396769;12.464429143254144
n;6.1;6.13;anderen;5.98;6.26;0.13576676623360812;2.9314529817549855;12.464429143254144
d;6.13;6.16;anderen;5.98;6.26;0.02155110073224908;0.18466770191621604;12.464429143254144
@;6.16;6.19;anderen;5.98;6.26;0.0194449191925435;0.20534200573091954;12.464429143254144
r;6.19;6.22;anderen;5.98;6.26;0.016561540340197033;0.03312418800660083;12.464429143254144
@;6.22;6.26;anderen;5.98;6.26;0.016729142618113018;1.205996552709033;12.464429143254144
k;6.26;6.36;kolenbrander;6.26;7.07;4.483571098705468;4.803206420928256;NAN
o:;6.36;6.51;kolenbrander;6.26;7.07;0.18198847581797384;4.43676880130151;NAN
l;6.51;6.54;kolenbrander;6.26;7.07;0.01256189712788457;3.2606616371601884;NAN
