phonemes;phoneme_onset;phoneme_offset;words;word_onset;word_offset;cohort_entropy;cohort_surprisal;word_freq;word_entropy_GPT;word_surprisal_GPT;word_number;entropy_class
x;0.62;0.85;Goddank;0.62;1.27;4.483571098705468;4.340400290399336;16.35072525526906;9.634052;14.664513;1;1.0
O;0.85;0.91;Goddank;0.62;1.27;0.2555261598127255;6.587424242976118;16.35072525526906;9.634052;14.664513;1;1.0
d;0.91;1.02;Goddank;0.62;1.27;0.0058788149497399;3.514136442828238;16.35072525526906;9.634052;14.664513;1;1.0
A;1.02;1.14;Goddank;0.62;1.27;0.001369900716337;2.418143953083868;16.35072525526906;9.634052;14.664513;1;1.0
N;1.14;1.21;Goddank;0.62;1.27;0.0010095965563178;2.0352141573462523;16.35072525526906;9.634052;14.664513;1;1.0
k;1.21;1.27;Goddank;0.62;1.27;0.0009894182343864;2.0042616726843545;16.35072525526906;9.634052;14.664513;1;1.0
s;1.66;1.72;zei;1.66;1.78;4.483571098705468;5.246233841626965;9.56279791441851;7.5975657;11.234683;2;1.0
Ei;1.72;1.78;zei;1.66;1.78;0.1855968423441443;8.244089242502916;9.56279791441851;7.5975657;11.234683;2;1.0
@;1.78;1.83;het;1.78;1.92;4.483571098705468;5.103190997215755;5.312395807632838;5.193639;5.935792;3;-1.0
t;1.83;1.92;het;1.78;1.92;0.0042615261749808;4.88741942161911;5.312395807632838;5.193639;5.935792;3;-1.0
e:;1.92;2.04;eendje;1.92;2.22;4.483571098705468;5.298149721581541;19.61148878451972;8.140851;18.350471;4;1.0
n;2.04;2.1;eendje;1.92;2.22;0.1405382244636236;0.1533387579118896;19.61148878451972;8.140851;18.350471;4;1.0
t;2.1;2.17;eendje;1.92;2.22;0.0205717775078001;8.580757507999822;19.61148878451972;8.140851;18.350471;4;1.0
j;2.17;2.22;eendje;1.92;2.22;0.000861772631887;3.48722509124428;19.61148878451972;8.140851;18.350471;4;1.0
m;2.22;2.27;met;2.22;2.35;4.483571098705468;3.9508115597336806;7.154985838417888;7.1699023;5.151901;5;-1.0
E;2.27;2.3;met;2.22;2.35;0.2798205593230997;4.243152203484571;7.154985838417888;7.1699023;5.151901;5;-1.0
d;2.3;2.35;met;2.22;2.35;0.0204174730359617;9.134180324564404;7.154985838417888;7.1699023;5.151901;5;-1.0
@;2.35;2.45;een;2.35;2.45;4.483571098705468;5.103190997215755;5.755400767726006;5.912572;1.7311945;6;-1.0
z;2.45;2.54;zucht;2.45;2.69;4.483571098705468;4.235657497565433;18.506543240798937;10.533694;7.1194525;7;1.0
u;2.54;2.61;zucht;2.45;2.69;0.2872557925204285;4.1544827935773005;18.506543240798937;10.533694;7.1194525;7;1.0
x;2.61;2.69;zucht;2.45;2.69;0.0214038144485216;8.726230876314142;18.506543240798937;10.533694;7.1194525;7;1.0
I;3.51;3.61;ik;3.51;3.65499;4.483571098705468;3.740564601064271;4.605390962231866;4.555153;12.988258;8;-1.0
g;3.61;3.65499;ik;3.51;3.65499;0.0781296215112677;13.1529916257863;4.605390962231866;4.555153;12.988258;8;-1.0
b;3.65499;3.69998;ben;3.65499;3.82;4.483571098705468;4.642635153594779;7.47658585007097;8.928574;6.5794325;9;1.0
E;3.69998;3.82;ben;3.65499;3.82;0.1946342752022548;4.380038737974775;7.47658585007097;8.928574;6.5794325;9;1.0
z;3.82;3.89;zoo;3.82;4.05;4.483571098705468;4.235657497565433;19.0356013694342;7.5104136;12.556741;10;1.0
o:;3.89;4.05;zoo;3.82;4.05;0.2872557925204285;4.09885485006108;19.0356013694342;7.5104136;12.556741;10;1.0
l;4.05;4.1;leelijk;4.05;4.37;4.483571098705468;5.658347745405507;10.36967;8.800996;10.830794;11;1.0
e:;4.1;4.23;leelijk;4.05;4.37;0.1205706671428041;2.766809295489604;10.36967;8.800996;10.830794;11;1.0
l;4.23;4.26;leelijk;4.05;4.37;0.0226173756912683;4.820740143730968;10.36967;8.800996;10.830794;11;1.0
@;4.26;4.3;leelijk;4.05;4.37;0.0016882176423112;0.8249367969822871;10.36967;8.800996;10.830794;11;1.0
g;4.3;4.37;leelijk;4.05;4.37;0.0015924728590091;6.556650125389201;10.36967;8.800996;10.830794;11;1.0
t;4.73;4.76;dat;4.73;4.91;4.483571098705468;5.057095733487645;5.458607691326394;6.838868;3.1322153;12;-1.0
A;4.76;4.84;dat;4.73;4.91;0.1430245191853729;5.300799327779086;5.458607691326394;6.838868;3.1322153;12;-1.0
d;4.84;4.91;dat;4.73;4.91;0.0060393897079703;7.457301319135427;5.458607691326394;6.838868;3.1322153;12;-1.0
@;4.91;4.95;de;4.91;4.95;4.483571098705468;5.103190997215755;5.322176977655901;3.52198;4.734089;13;-1.0
h;4.95;4.98;hond;4.95;5.24499;4.483571098705468;3.9195567556242334;12.49098313171749;11.042414;6.8851213;14;1.0
O;4.98;5.16;hond;4.95;5.24499;0.2428258873032413;5.067908068951125;12.49098313171749;11.042414;6.8851213;14;1.0
n;5.16;5.24499;hond;4.95;5.24499;0.0119994805763293;1.4379295169479809;12.49098313171749;11.042414;6.8851213;14;1.0
m;5.24499;5.31998;mij;5.24499;5.41;4.483571098705468;3.9508115597336806;8.577950501559702;7.8964157;4.182456;15;1.0
Ei;5.31998;5.41;mij;5.24499;5.41;0.2798205593230997;5.753874195259906;8.577950501559702;7.8964157;4.182456;15;1.0
z;5.41;5.47;zelfs;5.41;5.62;4.483571098705468;4.235657497565433;11.29211660888747;8.438829;9.234969;16;1.0
E;5.47;5.5;zelfs;5.41;5.62;0.2872557925204285;3.114707941006052;11.29211660888747;8.438829;9.234969;16;1.0
l;5.5;5.56;zelfs;5.41;5.62;0.0397215609665932;1.9707856035106488;11.29211660888747;8.438829;9.234969;16;1.0
f;5.56;5.59;zelfs;5.41;5.62;0.0115060329174934;0.1491272308218193;11.29211660888747;8.438829;9.234969;16;1.0
s;5.59;5.62;zelfs;5.41;5.62;0.0070042203327288;0.4618651585971497;11.29211660888747;8.438829;9.234969;16;1.0
n;5.62;5.67;niet;5.62;5.76;4.483571098705468;4.299642361180399;5.727433304943366;7.9069047;3.2700212;17;1.0
i;5.67;5.72;niet;5.62;5.76;0.2768493358712843;0.9083279326471936;5.727433304943366;7.9069047;3.2700212;17;1.0
t;5.72;5.76;niet;5.62;5.76;0.1296862009137775;0.0942049371591991;5.727433304943366;7.9069047;3.2700212;17;1.0
