phonemes;phoneme_onset;phoneme_offset;words;word_onset;word_offset;cohort_entropy;cohort_surprisal;word_freq;word_entropy_GPT;word_surprisal_GPT;word_number;entropy_class
d;0.86;0.9;De;0.86;0.96;4.483571098705469;3.345837716499959;5.322176977655901;9.634052;8.562404;1;1.0
@;0.9;0.96;De;0.86;0.96;0.226780069259835;7.532001194857413;5.322176977655901;9.634052;8.562404;1;1.0
x;0.96;1.07;gouden;0.96;1.44;4.483571098705469;4.340400290399336;14.861653643816695;10.874454;9.848077;2;1.0
Au;1.07;1.26;gouden;0.96;1.44;0.2555261598127255;10.788235682609749;14.861653643816695;10.874454;9.848077;2;1.0
d;1.26;1.3;gouden;0.96;1.44;0.0011185628396119;3.106834466394497;14.861653643816695;10.874454;9.848077;2;1.0
@;1.3;1.34;gouden;0.96;1.44;0.000901229043551;5.240301424276677;14.861653643816695;10.874454;9.848077;2;1.0
m;1.34;1.44;gouden;0.96;1.44;0.0007989615837472;5.285402218862248;14.861653643816695;10.874454;9.848077;2;1.0
f;1.44;1.55;vogel;1.44;2.08;4.483571098705469;7.950002850545294;14.876908822442468;7.350335;10.290903;3;-1.0
o:;1.55;1.73;vogel;1.44;2.08;0.0409217092307761;3.9423754785265337;14.876908822442468;7.350335;10.290903;3;-1.0
x;1.73;1.84;vogel;1.44;2.08;0.0038479373064092;8.007802664795594;14.876908822442468;7.350335;10.290903;3;-1.0
@;1.84;1.87;vogel;1.44;2.08;0.0007989615837472;5.285402218862248;14.876908822442468;7.350335;10.290903;3;-1.0
l;1.87;2.08;vogel;1.44;2.08;0.0007989615837472;5.285402218862248;14.876908822442468;7.350335;10.290903;3;-1.0
f;7.47;7.53;Voor;7.47;7.63;4.483571098705469;7.950002850545294;7.176803169585433;8.225403;13.883229;4;1.0
o:;7.53;7.6;Voor;7.47;7.63;0.0409217092307761;3.9423754785265337;7.176803169585433;8.225403;13.883229;4;1.0
r;7.6;7.63;Voor;7.47;7.63;0.0038479373064092;3.919711963522374;7.176803169585433;8.225403;13.883229;4;1.0
l;7.63;7.66;lange;7.63;7.91;4.483571098705469;5.658347745405507;13.395431288503433;8.528281;14.138794;5;1.0
A;7.66;7.71;lange;7.63;7.91;0.1205706671428041;2.8017645063394814;13.395431288503433;8.528281;14.138794;5;1.0
N;7.71;7.81;lange;7.63;7.91;0.0198727918138394;0.765095081543526;13.395431288503433;8.528281;14.138794;5;1.0
@;7.81;7.91;lange;7.63;7.91;0.0060667448076597;2.0220871336402144;13.395431288503433;8.528281;14.138794;5;1.0
t;7.91;7.97;tijden;7.91;8.44;4.483571098705469;5.057095733487645;14.27601588212328;1.9748304;10.971592;6;-1.0
Ei;7.97;8.17;tijden;7.91;8.44;0.1430245191853729;3.5849934801062155;14.27601588212328;1.9748304;10.971592;6;-1.0
d;8.17;8.22;tijden;7.91;8.44;0.0135666010746876;2.8398768094215634;14.27601588212328;1.9748304;10.971592;6;-1.0
@;8.22;8.26;tijden;7.91;8.44;0.00307341400786;0.3818727251686527;14.27601588212328;1.9748304;10.971592;6;-1.0
n;8.26;8.44;tijden;7.91;8.44;0.0029271517140322;0.5342804877426102;14.27601588212328;1.9748304;10.971592;6;-1.0
w;8.44;8.47;was;8.44;8.61;4.483571098705469;3.789347436196789;7.516261346529114;9.446382;4.536964;7;1.0
A;8.47;8.52;was;8.44;8.61;0.2729723680853396;2.372972390466157;7.516261346529114;9.446382;4.536964;7;1.0
z;8.52;8.61;was;8.44;8.61;0.059418788111594;10.093778463649278;7.516261346529114;9.446382;4.536964;7;1.0
@;8.61;8.64;er;8.61;8.67;4.483571098705469;5.103190997215755;6.89267080192441;6.929112;4.7421985;8;-1.0
