,onset,offset,phones
0,0.0,0.41,<p:>
1,0.41,0.45,@
2,0.45,0.49,t
3,0.49,0.52,w
4,0.52,0.57,A
5,0.57,0.63,s
6,0.63,0.7,<p:>
7,0.7,0.75,h
8,0.75,0.86,e:
9,0.86,0.89,r
10,0.89,0.94,l
11,0.94,0.97,@
12,0.97,1.02,g
13,1.02,1.11,b
14,1.11,1.28,9y
15,1.28,1.34,t
16,1.34,1.39,O
17,1.39,1.45,p
18,1.45,1.48,@
19,1.48,1.53,t
20,1.53,1.59,l
21,1.59,1.68,A
22,1.68,1.73,n
23,1.73,1.79,t
24,1.79,2.28,<p:>
25,2.28,2.31,t
26,2.31,2.34,w
27,2.34,2.39,A
28,2.39,2.49,s
29,2.49,2.54,s
30,2.54,2.68,o:
31,2.68,2.76,m
32,2.76,2.79,@
33,2.79,2.88,r
34,2.88,3.2,<p:>
35,3.2,3.3,E
36,3.3,3.33,t
37,3.33,3.4,<p:>
38,3.4,3.47,k
39,3.47,3.66,o:
40,3.66,3.69,r
41,3.69,3.72,w
42,3.72,3.78,A
43,3.78,3.84,s
44,3.84,3.93,r
45,3.93,4.07,Ei
46,4.07,4.11,p
47,4.11,4.43,<p:>
48,4.43,4.47,@
49,4.47,4.52,t
50,4.52,4.58,<p:>
51,4.58,4.63,h
52,4.63,4.77,o:
53,4.77,4.81,j
54,4.81,4.86,s
55,4.86,4.93,t
56,4.93,4.99,O
57,4.99,5.02,n
58,5.02,5.05,d
59,5.05,5.1,O
60,5.1,5.16,p
61,5.16,5.19,@
62,5.19,5.26,x
63,5.26,5.29,r
64,5.29,5.37,u
65,5.37,5.4,n
66,5.4,5.46,@
67,5.46,5.51,w
68,5.51,5.69,Ei
69,5.69,5.73,d
70,5.73,5.76,@
71,5.76,5.84,n
72,5.84,5.91,A
73,5.91,5.95,n
74,5.95,6.06,O
75,6.06,6.15,p
76,6.15,6.19,@
77,6.19,6.22,r
78,6.22,6.36,s
79,6.36,6.64,<p:>
80,6.64,6.72,E
81,6.72,6.75,n
82,6.75,6.79,d
83,6.79,7.0,o:
84,7.0,7.05,j
85,7.05,7.08,@
86,7.08,7.15,v
87,7.15,7.3,a:
88,7.3,7.41,r
89,7.41,7.58,<p:>
90,7.58,7.61,l
91,7.61,7.66,i
92,7.66,7.71,p
93,7.71,7.77,O
94,7.77,7.83,p
95,7.83,7.91,s
96,7.91,7.98,@
97,7.98,8.01,n
98,8.01,8.1,l
99,8.1,8.18,A
100,8.18,8.22,N
101,8.22,8.35,@
102,8.35,8.42,<p:>
103,8.42,8.45,r
104,8.45,8.69,o:
105,8.69,8.73,d
106,8.73,8.77,@
107,8.77,8.82,<p:>
108,8.82,8.87,p
