,onset,offset,phones
0,0.0,0.86,<p:>
1,0.86,0.94,t
2,0.94,1.0,Y
3,1.0,1.08,n
4,1.08,1.14,Ei
5,1.14,1.23,a:
6,1.23,1.28,n
7,1.28,1.32,@
8,1.32,1.35,d
9,1.35,1.43,k
10,1.43,1.46,A
11,1.46,1.55,s
12,1.55,1.59,t
13,1.59,1.66,e:
14,1.66,1.74,l
15,1.74,1.85,k
16,1.85,1.89,w
17,1.89,1.98,A
18,1.98,2.19,m
19,2.19,2.37,x
20,2.37,2.6,I
21,2.6,2.65,N
22,2.65,2.71,E
23,2.71,2.75,d
24,2.75,2.9,A
25,2.9,2.96,l
26,2.96,3.0,@
27,3.0,3.13,s
28,3.13,3.19,s
29,3.19,3.23,u
30,3.23,3.26,w
31,3.26,3.29,A
32,3.29,3.41,z
33,3.41,3.45,@
34,3.45,3.55,v
35,3.55,3.65,O
36,3.65,3.8,s
37,3.8,3.87,x
38,3.87,3.9,@
39,3.9,4.02,z
40,4.02,4.06,E
41,4.06,4.2,x
42,4.2,4.24,t
43,4.24,4.28,h
44,4.28,4.34,A
45,4.34,4.56,t
46,4.56,5.24,Ei
47,5.24,5.34,f
48,5.34,5.4,O
49,5.4,5.44,n
50,5.44,5.48,d
51,5.48,5.54,@
52,5.54,5.59,t
53,5.59,5.65,f
54,5.65,5.75,@
55,5.75,5.8,t
56,5.8,5.83,r
57,5.83,5.96,E
58,5.96,6.02,k
59,6.02,6.06,w
60,6.06,6.1,@
61,6.1,6.21,r
62,6.21,6.24,@
63,6.24,6.35,x
64,6.35,6.52,Au
65,6.52,6.55,d
66,6.55,6.68,f
67,6.68,6.83,o:
68,6.83,6.94,G
69,6.94,6.97,@
70,6.97,7.05,l
71,7.05,7.13,I
72,7.13,7.19,n
73,7.19,7.22,@
74,7.22,7.28,n
75,7.28,7.34,h
76,7.34,7.48,Au
77,7.48,7.53,t
78,7.53,7.56,@
79,7.56,7.66,k
80,7.66,7.78,o:
81,7.78,7.83,j
82,7.83,7.94,s
83,7.94,8.12,A
84,8.12,8.23,t
85,8.23,8.72,E
86,8.72,8.76,n
87,8.76,8.79,d
88,8.79,8.82,@
89,8.82,8.93,x
90,8.93,9.09,Au
91,9.09,9.12,d
92,9.12,9.16,@
93,9.16,9.27,k
94,9.27,9.37,o:
95,9.37,9.4,j
96,9.4,9.5,s
97,9.5,9.56,t
98,9.56,9.63,O
99,9.63,9.67,n
100,9.67,9.72,t
101,9.72,9.76,@
102,9.76,9.83,n
103,9.83,9.98,a:
104,9.98,10.2,s
105,10.2,10.34,t
106,10.34,10.71,<p:>
107,10.71,10.78,d
108,10.78,10.81,@
109,10.81,10.84,d
110,10.84,10.87,r
111,10.87,10.97,i
112,10.97,11.09,x
113,11.09,11.23,Au
114,11.23,11.26,d
115,11.26,11.41,A
116,11.41,11.44,p
117,11.44,11.47,E
118,11.47,11.6,l
119,11.6,11.76,s
120,11.76,11.79,l
121,11.79,12.13,a:
122,12.13,12.19,x
123,12.19,12.22,@
124,12.22,12.26,v
125,12.26,12.29,@
126,12.29,12.38,s
127,12.38,12.46,p
128,12.46,12.53,r
129,12.53,12.65,Ei
130,12.65,12.74,t
131,12.74,12.85,I
132,12.85,12.91,n
133,12.91,12.94,d
134,12.94,13.0,@
135,13.0,13.04,k
136,13.04,13.08,a:
137,13.08,13.11,m
138,13.11,13.14,@
139,13.14,13.48,r
140,13.48,14.51,<p:>
141,14.51,14.57,m
142,14.57,14.61,a:
143,14.61,14.64,r
144,14.64,14.73,Ei
145,14.73,14.82,d
146,14.82,14.91,A
147,14.91,15.04,x
148,15.04,15.13,t
149,15.13,15.24,E
150,15.24,15.29,t
151,15.29,15.34,w
152,15.34,15.42,A
153,15.42,15.5,s
154,15.5,15.54,t
155,15.54,15.59,O
156,15.59,15.62,G
157,15.62,15.71,t
158,15.71,15.75,@
159,15.75,15.92,m
160,15.92,16.0,A
161,16.0,16.21,l
162,16.21,16.28,O
163,16.28,16.34,m
164,16.34,16.37,d
165,16.37,16.42,i
166,16.42,16.48,n
167,16.48,16.51,m
168,16.51,16.6,o:
169,16.6,16.67,j
170,16.67,16.7,@
171,16.7,16.83,v
172,16.83,16.97,o:
173,16.97,17.07,G
174,17.07,17.1,@
175,17.1,17.21,l
176,17.21,17.32,I
177,17.32,17.38,N
178,17.38,17.41,d
179,17.41,17.44,@
180,17.44,17.51,l
181,17.51,17.61,e:
182,17.61,17.65,l
183,17.65,17.68,@
184,17.68,17.75,k
185,17.75,17.79,@
186,17.79,17.91,k
187,17.91,18.0,o:
188,18.0,18.07,j
189,18.07,18.14,t
190,18.14,18.17,@
191,18.17,18.23,l
192,18.23,18.4,a:
193,18.4,18.48,t
194,18.48,18.57,@
195,18.57,19.08,<p:>
196,19.08,19.16,E
197,19.16,19.21,n
198,19.21,19.29,Ei
199,19.29,19.35,d
200,19.35,19.5,e:
201,19.5,19.55,t
202,19.55,19.62,@
203,19.62,19.65,d
204,19.65,19.68,d
205,19.68,19.82,2:
206,19.82,19.85,r
207,19.85,19.88,t
208,19.88,19.94,j
209,19.94,20.23,o:
210,20.23,20.3,p
211,20.3,20.5,@
212,20.5,20.61,<p:>
213,20.61,20.67,p
214,20.67,20.8,A
215,20.8,20.85,k
216,20.85,20.9,t
217,20.9,20.94,@
218,20.94,20.97,d
219,20.97,21.0,E
220,21.0,21.09,v
221,21.09,21.22,o:
222,21.22,21.33,x
223,21.33,21.36,@
224,21.36,21.55,l
225,21.55,21.68,E
226,21.68,21.73,N
227,21.73,21.85,z
228,21.85,21.91,E
229,21.91,21.99,t
230,21.99,22.03,@
231,22.03,22.06,h
232,22.06,22.1,E
233,22.1,22.19,m
234,22.19,22.22,I
235,22.22,22.25,n
236,22.25,22.28,d
237,22.28,22.31,@
238,22.31,22.44,x
239,22.44,22.59,Au
240,22.59,22.64,d
241,22.64,22.69,@
242,22.69,22.75,k
243,22.75,22.89,o:
244,22.89,22.96,j
245,22.96,23.7,<p:>
246,23.7,23.78,m
247,23.78,23.86,a:
248,23.86,24.0,r
249,24.0,24.03,O
250,24.03,24.06,p
251,24.06,24.11,t
252,24.11,24.31,A
253,24.31,24.34,d
254,24.34,24.46,o:
255,24.46,24.49,G
256,24.49,24.52,@
257,24.52,24.55,b
258,24.55,24.58,l
259,24.58,24.61,I
260,24.61,24.66,g
261,24.66,24.76,x
262,24.76,24.81,A
263,24.81,24.86,f
264,24.86,24.92,t
265,24.92,24.95,@
266,24.95,25.02,v
267,25.02,25.18,o:
268,25.18,25.26,G
269,25.26,25.29,@
270,25.29,25.32,l
271,25.32,25.35,@
272,25.35,25.44,N
273,25.44,25.48,d
274,25.48,25.51,O
275,25.51,25.54,r
276,25.54,25.63,d
277,25.63,25.68,r
278,25.68,25.76,I
279,25.76,25.83,N
280,25.83,25.86,@
281,25.86,25.92,n
282,25.92,25.95,d
283,25.95,25.98,@
284,25.98,26.04,n
285,26.04,26.1,k
286,26.1,26.14,r
287,26.14,26.32,e:
288,26.32,26.54,t
289,26.54,26.98,<p:>
290,26.98,27.02,d
291,27.02,27.07,@
292,27.07,27.17,s
293,27.17,27.26,O
294,27.26,27.29,l
295,27.29,27.32,d
296,27.32,27.51,a:
297,27.51,27.57,t
298,27.57,27.69,O
299,27.69,27.73,n
300,27.73,27.77,t
301,27.77,27.83,w
302,27.83,28.01,a:
303,28.01,28.1,k
304,28.1,28.18,t
305,28.18,28.21,@
306,28.21,28.31,n
307,28.31,28.43,s
308,28.43,28.5,t
309,28.5,28.57,O
310,28.57,28.62,r
311,28.62,28.68,m
312,28.68,28.71,d
313,28.71,28.75,@
314,28.75,28.81,n
315,28.81,28.85,a:
316,28.85,28.88,r
317,28.88,28.93,b
318,28.93,29.03,I
319,29.03,29.09,n
320,29.09,29.14,@
321,29.14,29.26,E
322,29.26,29.34,n
323,29.34,29.39,b
324,29.39,29.42,r
325,29.42,29.46,A
326,29.46,29.57,x
327,29.57,29.64,t
328,29.64,29.69,E
329,29.69,29.76,m
330,29.76,29.79,I
331,29.79,29.83,n
332,29.83,29.86,@
333,29.86,29.92,G
334,29.92,29.95,@
335,29.95,30.05,v
336,30.05,30.1,A
337,30.1,30.17,N
338,30.17,30.2,@
339,30.2,30.25,n
340,30.25,30.35,i
341,30.35,30.69,s
342,30.69,31.9,<p:>
343,31.9,31.97,d
344,31.97,32.0,E
345,32.0,32.1,f
346,32.1,32.15,O
347,32.15,32.21,l
348,32.21,32.27,G
349,32.27,32.3,@
350,32.3,32.33,n
351,32.33,32.37,d
352,32.37,32.44,m
353,32.44,32.56,O
354,32.56,32.61,r
355,32.61,32.71,x
356,32.71,32.76,@
357,32.76,32.81,w
358,32.81,32.87,E
359,32.87,32.91,r
360,32.91,32.94,t
361,32.94,32.98,@
362,32.98,33.05,G
363,33.05,33.1,@
364,33.1,33.16,r
365,33.16,33.22,E
366,33.22,33.32,x
367,33.32,33.38,t
368,33.38,33.49,o:
369,33.49,33.57,f
370,33.57,33.6,@
371,33.6,33.68,E
372,33.68,33.74,m
373,33.74,33.85,x
374,33.85,33.88,@
375,33.88,33.95,h
376,33.95,34.13,Au
377,34.13,34.17,d
378,34.17,34.2,@
379,34.2,34.31,n
380,34.31,34.39,<p:>
381,34.39,34.71,E
382,34.71,34.75,n
383,34.75,34.8,t
384,34.8,34.86,u
385,34.86,34.9,n
386,34.9,34.95,h
387,34.95,35.0,Ei
388,35.0,35.07,A
389,35.07,35.11,l
390,35.11,35.15,@
391,35.15,35.22,s
392,35.22,35.28,b
393,35.28,35.36,@
394,35.36,35.43,k
395,35.43,35.48,E
396,35.48,35.6,n
397,35.6,35.63,d
398,35.63,35.66,@
399,35.66,35.79,n
400,35.79,35.93,<p:>
401,35.93,35.96,w
402,35.96,36.04,E
403,36.04,36.07,r
404,36.07,36.1,d
405,36.1,36.14,h
406,36.14,36.25,Ei
407,36.25,36.3,t
408,36.3,36.34,E
409,36.34,36.41,d
410,36.41,36.57,o:
411,36.57,36.63,t
412,36.63,36.73,f
413,36.73,36.76,@
414,36.76,36.79,r
415,36.79,36.91,o:
416,36.91,36.94,r
417,36.94,36.98,d
418,36.98,37.08,e:
419,37.08,37.2,l
420,37.2,37.43,t
421,37.43,38.55,<p:>
422,38.55,38.65,m
423,38.65,38.68,A
424,38.68,38.73,r
425,38.73,38.76,d
