phonemes,phoneme_onset,phoneme_offset,words,word_onset,word_offset
x,0.62,0.85,Goddank,0.62,1.27
O,0.85,0.91,Goddank,0.62,1.27
d,0.91,1.02,Goddank,0.62,1.27
A,1.02,1.14,Goddank,0.62,1.27
N,1.14,1.21,Goddank,0.62,1.27
k,1.21,1.27,Goddank,0.62,1.27
s,1.66,1.72,zei,1.66,1.78
Ei,1.72,1.78,zei,1.66,1.78
@,1.78,1.83,het,1.78,1.92
t,1.83,1.92,het,1.78,1.92
e:,1.92,2.04,eendje,1.92,2.22
n,2.04,2.1,eendje,1.92,2.22
t,2.1,2.17,eendje,1.92,2.22
j,2.17,2.22,eendje,1.92,2.22
m,2.22,2.27,met,2.22,2.35
E,2.27,2.3,met,2.22,2.35
d,2.3,2.35,met,2.22,2.35
@,2.35,2.45,een,2.35,2.45
z,2.45,2.54,zucht,2.45,2.69
Y,2.54,2.61,zucht,2.45,2.69
x,2.61,2.69,zucht,2.45,2.69
I,3.51,3.61,ik,3.51,3.65499
g,3.61,3.65499,ik,3.51,3.65499
b,3.65499,3.69998,ben,3.65499,3.82
E,3.69998,3.82,ben,3.65499,3.82
z,3.82,3.89,zoo,3.82,4.05
o:,3.89,4.05,zoo,3.82,4.05
l,4.05,4.1,leelijk,4.05,4.37
e:,4.1,4.23,leelijk,4.05,4.37
l,4.23,4.26,leelijk,4.05,4.37
@,4.26,4.3,leelijk,4.05,4.37
g,4.3,4.37,leelijk,4.05,4.37
t,4.73,4.76,dat,4.73,4.91
A,4.76,4.84,dat,4.73,4.91
d,4.84,4.91,dat,4.73,4.91
@,4.91,4.95,de,4.91,4.95
h,4.95,4.98,hond,4.95,5.24499
O,4.98,5.16,hond,4.95,5.24499
n,5.16,5.24499,hond,4.95,5.24499
m,5.24499,5.31998,mij,5.24499,5.41
Ei,5.31998,5.41,mij,5.24499,5.41
z,5.41,5.47,zelfs,5.41,5.62
E,5.47,5.5,zelfs,5.41,5.62
l,5.5,5.56,zelfs,5.41,5.62
f,5.56,5.59,zelfs,5.41,5.62
s,5.59,5.62,zelfs,5.41,5.62
n,5.62,5.67,niet,5.62,5.76
i,5.67,5.72,niet,5.62,5.76
t,5.72,5.76,niet,5.62,5.76
w,5.76,5.79,wil,5.76,5.92
I,5.79,5.82,wil,5.76,5.92
l,5.82,5.92,wil,5.76,5.92
b,5.92,5.98,bijten,5.92,6.34
Ei,5.98,6.17,bijten,5.92,6.34
t,6.17,6.28,bijten,5.92,6.34
@,6.28,6.34,bijten,5.92,6.34
E,7.43,7.57,En,7.43,7.62
n,7.57,7.62,En,7.43,7.62
s,7.62,7.72,zoo,7.62,7.93
o:,7.72,7.93,zoo,7.62,7.93
b,7.99,8.02,bleef,7.99,8.2
l,8.02,8.06,bleef,7.99,8.2
e:,8.06,8.15,bleef,7.99,8.2
f,8.15,8.2,bleef,7.99,8.2
@,8.2,8.24,het,8.2,8.29
t,8.24,8.29,het,8.2,8.29
r,8.29,8.34,roerloos,8.29,8.83
u,8.34,8.57,roerloos,8.29,8.83
r,8.57,8.6,roerloos,8.29,8.83
l,8.6,8.64,roerloos,8.29,8.83
o:,8.64,8.75,roerloos,8.29,8.83
s,8.75,8.83,roerloos,8.29,8.83
l,8.83,8.88,liggen,8.83,9.14
I,8.88,8.94,liggen,8.83,9.14
G,8.94,9.03,liggen,8.83,9.14
@,9.03,9.06,liggen,8.83,9.14
n,9.06,9.14,liggen,8.83,9.14
t,9.5,9.54,terwijl,9.5,9.68
@,9.54,9.57,terwijl,9.5,9.68
w,9.57,9.6,terwijl,9.5,9.68
Ei,9.6,9.64,terwijl,9.5,9.68
l,9.64,9.68,terwijl,9.5,9.68
d,9.68,9.72,de,9.68,9.75
@,9.72,9.75,de,9.68,9.75
h,9.75,9.89,hagel,9.75,10.25
a:,9.89,10.0,hagel,9.75,10.25
x,10.0,10.13,hagel,9.75,10.25
@,10.13,10.16,hagel,9.75,10.25
l,10.16,10.25,hagel,9.75,10.25
t,10.25,10.34,door,10.25,10.42
o:,10.34,10.42,door,10.25,10.42
@,10.42,10.47,het,10.42,10.54
t,10.47,10.51,het,10.42,10.54
@,10.51,10.54,het,10.42,10.54
r,10.54,10.59,riet,10.54,10.75
i,10.59,10.67,riet,10.54,10.75
t,10.67,10.75,riet,10.54,10.75
s,10.75,10.84,snorde,10.75,11.22
n,10.84,10.92,snorde,10.75,11.22
O,10.92,11.0,snorde,10.75,11.22
r,11.0,11.06,snorde,10.75,11.22
d,11.06,11.1,snorde,10.75,11.22
@,11.1,11.22,snorde,10.75,11.22
E,11.48,11.54,en,11.48,11.58
m,11.54,11.58,en,11.48,11.58
@,11.58,11.61,er,11.58,11.66
r,11.61,11.66,er,11.58,11.66
s,11.66,11.75,schot,11.66,11.97
x,11.75,11.88,schot,11.66,11.97
O,11.88,11.94,schot,11.66,11.97
t,11.94,11.97,schot,11.66,11.97
O,12.16,12.21,op,12.16,12.28
p,12.21,12.28,op,12.16,12.28
s,12.28,12.37,schot,12.28,12.63
x,12.37,12.49,schot,12.28,12.63
O,12.49,12.55,schot,12.28,12.63
t,12.55,12.63,schot,12.28,12.63
k,12.69,12.78,knalde,12.69,13.1
n,12.78,12.81,knalde,12.69,13.1
A,12.81,12.86,knalde,12.69,13.1
l,12.86,13.0,knalde,12.69,13.1
d,13.0,13.03,knalde,12.69,13.1
@,13.03,13.1,knalde,12.69,13.1
e:,14.14,14.2,Eerst,14.14,14.35
r,14.2,14.27,Eerst,14.14,14.35
s,14.27,14.31,Eerst,14.14,14.35
t,14.31,14.35,Eerst,14.14,14.35
l,14.35,14.44,laat,14.35,14.61
a:,14.44,14.58,laat,14.35,14.61
t,14.58,14.61,laat,14.35,14.61
O,14.61,14.69,op,14.61,14.74
p,14.69,14.74,op,14.61,14.74
d,14.74,14.77,den,14.74,14.8
E,14.77,14.8,den,14.74,14.8
d,14.8,14.89,dag,14.8,15.09
A,14.89,14.96,dag,14.8,15.09
x,14.96,15.09,dag,14.8,15.09
w,15.09,15.12,werd,15.09,15.23
E,15.12,15.16,werd,15.09,15.23
r,15.16,15.2,werd,15.09,15.23
d,15.2,15.23,werd,15.09,15.23
@,15.23,15.28,het,15.23,15.34
t,15.28,15.34,het,15.23,15.34
s,15.34,15.44,stil,15.34,15.65
t,15.44,15.5,stil,15.34,15.65
I,15.5,15.54,stil,15.34,15.65
l,15.54,15.65,stil,15.34,15.65
m,16.22,16.29,maar,16.22,16.35
a:,16.29,16.35,maar,16.22,16.35
E,16.35,16.4,het,16.35,16.44
d,16.4,16.44,het,16.35,16.44
A,16.44,16.53,arme,16.44,16.73499
r,16.53,16.63,arme,16.44,16.73499
m,16.63,16.7,arme,16.44,16.73499
@,16.7,16.73499,arme,16.44,16.73499
e:,16.73499,16.82998,eendje,16.73499,17.11
n,16.82998,16.93,eendje,16.73499,17.11
t,16.93,16.99,eendje,16.73499,17.11
j,16.99,17.04,eendje,16.73499,17.11
@,17.04,17.11,eendje,16.73499,17.11
d,17.11,17.2,durfde,17.11,17.43
u,17.2,17.24,durfde,17.11,17.43
r,17.24,17.3,durfde,17.11,17.43
v,17.3,17.33,durfde,17.11,17.43
d,17.33,17.38,durfde,17.11,17.43
@,17.38,17.43,durfde,17.11,17.43
n,17.43,17.47,nog,17.43,17.55
O,17.47,17.51,nog,17.43,17.55
G,17.51,17.55,nog,17.43,17.55
n,17.55,17.58,niet,17.55,17.71
i,17.58,17.65,niet,17.55,17.71
d,17.65,17.71,niet,17.55,17.71
O,17.71,17.79,opstaan,17.71,18.17
p,17.79,17.85,opstaan,17.71,18.17
s,17.85,17.89,opstaan,17.71,18.17
t,17.89,17.96,opstaan,17.71,18.17
a:,17.96,18.07,opstaan,17.71,18.17
n,18.07,18.17,opstaan,17.71,18.17
h,18.68,18.72,het,18.68,18.83
E,18.72,18.78,het,18.68,18.83
t,18.78,18.83,het,18.68,18.83
w,18.83,18.88,wachtte,18.83,19.1
A,18.88,18.93,wachtte,18.83,19.1
x,18.93,18.99,wachtte,18.83,19.1
t,18.99,19.07,wachtte,18.83,19.1
@,19.07,19.1,wachtte,18.83,19.1
n,19.1,19.13,nog,19.1,19.22
O,19.13,19.17,nog,19.1,19.22
x,19.17,19.22,nog,19.1,19.22
f,19.22,19.3,verscheidene,19.22,19.80499
@,19.3,19.33,verscheidene,19.22,19.80499
s,19.33,19.39,verscheidene,19.22,19.80499
x,19.39,19.46,verscheidene,19.22,19.80499
Ei,19.46,19.61,verscheidene,19.22,19.80499
d,19.61,19.65,verscheidene,19.22,19.80499
@,19.65,19.69,verscheidene,19.22,19.80499
n,19.69,19.76,verscheidene,19.22,19.80499
@,19.76,19.80499,verscheidene,19.22,19.80499
y,19.80499,20.00998,uren,19.80499,20.15
r,20.00998,20.05,uren,19.80499,20.15
@,20.05,20.08,uren,19.80499,20.15
n,20.08,20.15,uren,19.80499,20.15
f,20.4,20.5,voordat,20.4,20.77
o:,20.5,20.6,voordat,20.4,20.77
r,20.6,20.63,voordat,20.4,20.77
d,20.63,20.66,voordat,20.4,20.77
A,20.66,20.7,voordat,20.4,20.77
t,20.7,20.77,voordat,20.4,20.77
@,20.77,20.82,het,20.77,20.87
t,20.82,20.87,het,20.77,20.87
O,20.87,20.94,omkeek,20.87,21.36
m,20.94,20.97,omkeek,20.87,21.36
k,20.97,21.14,omkeek,20.87,21.36
e:,21.14,21.26,omkeek,20.87,21.36
k,21.26,21.36,omkeek,20.87,21.36
E,21.66,21.76,en,21.66,21.82
n,21.76,21.82,en,21.66,21.82
t,21.88,21.91,toen,21.88,22.12
u,21.91,22.05,toen,21.88,22.12
n,22.05,22.12,toen,21.88,22.12
s,22.12,22.26,snelde,22.12,22.55
n,22.26,22.33,snelde,22.12,22.55
E,22.33,22.36,snelde,22.12,22.55
l,22.36,22.45,snelde,22.12,22.55
d,22.45,22.48,snelde,22.12,22.55
@,22.48,22.55,snelde,22.12,22.55
t,22.55,22.59,het,22.55,22.59
9y,22.59,22.7,uit,22.59,22.75
t,22.7,22.75,uit,22.59,22.75
@,22.75,22.78,het,22.75,22.87
t,22.78,22.87,het,22.75,22.87
m,22.87,22.93,moeras,22.87,23.25
u,22.93,23.0,moeras,22.87,23.25
r,23.0,23.05,moeras,22.87,23.25
A,23.05,23.12,moeras,22.87,23.25
s,23.12,23.25,moeras,22.87,23.25
w,23.25,23.29,weg,23.25,23.53
E,23.29,23.38,weg,23.25,23.53
x,23.38,23.53,weg,23.25,23.53
s,23.9,23.96,zoo,23.9,24.03
o:,23.96,24.03,zoo,23.9,24.03
f,24.03,24.14,vlug,24.03,24.36
l,24.14,24.2,vlug,24.03,24.36
Y,24.2,24.24,vlug,24.03,24.36
x,24.24,24.36,vlug,24.03,24.36
A,24.36,24.43,als,24.36,24.46
z,24.43,24.46,als,24.36,24.46
@,24.46,24.51,het,24.46,24.54
d,24.51,24.54,het,24.46,24.54
m,24.54,24.6,maar,24.54,24.64
A,24.6,24.64,maar,24.54,24.64
k,24.64,24.75,kon,24.64,24.92
O,24.75,24.83,kon,24.64,24.92
n,24.83,24.92,kon,24.64,24.92
h,25.68,25.73,Het,25.68,25.85
E,25.73,25.79,Het,25.68,25.85
t,25.79,25.85,Het,25.68,25.85
l,25.85,25.96,liep,25.85,26.12
i,25.96,26.04,liep,25.85,26.12
p,26.04,26.12,liep,25.85,26.12
o:,26.12,26.3,over,26.12,26.46
v,26.3,26.38,over,26.12,26.46
@,26.38,26.42,over,26.12,26.46
r,26.42,26.46,over,26.12,26.46
f,26.46,26.57,veld,26.46,26.82
E,26.57,26.6,veld,26.46,26.82
l,26.6,26.73,veld,26.46,26.82
t,26.73,26.82,veld,26.46,26.82
E,26.82,26.92,en,26.82,27.01
m,26.92,27.01,en,26.82,27.01
w,27.01,27.05,weide,27.01,27.37
Ei,27.05,27.27,weide,27.01,27.37
d,27.27,27.3,weide,27.01,27.37
@,27.3,27.37,weide,27.01,27.37
m,27.81,27.88,maar,27.81,28.06
a:,27.88,27.95,maar,27.81,28.06
r,27.95,28.06,maar,27.81,28.06
@,28.06,28.11,er,28.06,28.11
w,28.11,28.16,woei,28.11,28.31
u,28.16,28.25,woei,28.11,28.31
j,28.25,28.31,woei,28.11,28.31
z,28.31,28.45,zulk,28.31,28.67
Y,28.45,28.48,zulk,28.31,28.67
l,28.48,28.59,zulk,28.31,28.67
k,28.59,28.67,zulk,28.31,28.67
@,28.67,28.7,een,28.67,28.75
n,28.7,28.75,een,28.67,28.75
h,28.85,28.89,hevige,28.85,29.24
e:,28.89,29.03,hevige,28.85,29.24
v,29.03,29.07,hevige,28.85,29.24
@,29.07,29.11,hevige,28.85,29.24
G,29.11,29.21,hevige,28.85,29.24
@,29.21,29.24,hevige,28.85,29.24
s,29.24,29.34,storm,29.24,29.61
t,29.34,29.4,storm,29.24,29.61
O,29.4,29.45,storm,29.24,29.61
r,29.45,29.56,storm,29.24,29.61
m,29.56,29.61,storm,29.24,29.61
d,29.95,30.0,dat,29.95,30.11
A,30.0,30.06,dat,29.95,30.11
d,30.06,30.11,dat,29.95,30.11
@,30.11,30.18,het,30.11,30.25
t,30.18,30.25,het,30.11,30.25
w,30.25,30.32,werk,30.25,30.51
E,30.32,30.42,werk,30.25,30.51
r,30.42,30.47,werk,30.25,30.51
k,30.47,30.51,werk,30.25,30.51
h,30.51,30.58,had,30.51,30.7
A,30.58,30.64,had,30.51,30.7
t,30.64,30.7,had,30.51,30.7
O,30.87,30.98,om,30.87,31.01
m,30.98,31.01,om,30.87,31.01
O,31.01,31.05,op,31.01,31.09
p,31.05,31.09,op,31.01,31.09
s,31.09,31.17,zijn,31.09,31.28
@,31.17,31.23,zijn,31.09,31.28
n,31.23,31.28,zijn,31.09,31.28
p,31.28,31.37,pooten,31.28,31.56
u,31.37,31.5,pooten,31.28,31.56
t,31.5,31.56,pooten,31.28,31.56
t,31.63,31.68,te,31.63,31.71
@,31.68,31.71,te,31.63,31.71
b,31.71,31.76,blijven,31.71,32.02
l,31.76,31.81,blijven,31.71,32.02
Ei,31.81,31.9,blijven,31.71,32.02
v,31.9,31.97,blijven,31.71,32.02
@,31.97,32.02,blijven,31.71,32.02
s,32.02,32.06,staan,32.02,32.32
