phonemes,phoneme_onset,phoneme_offset,words,word_onset,word_offset
d,2.57,2.64,De,2.57,2.7
@,2.64,2.7,De,2.57,2.7
r,2.7,2.76,Ransel,2.7,3.26
A,2.76,2.85,Ransel,2.7,3.26
n,2.85,2.91,Ransel,2.7,3.26
s,2.91,3.07,Ransel,2.7,3.26
@,3.07,3.1,Ransel,2.7,3.26
l,3.1,3.26,Ransel,2.7,3.26
h,3.74,3.77,het,3.74,3.89
E,3.77,3.82,het,3.74,3.89
t,3.82,3.89,het,3.74,3.89
h,3.89,3.94,Hoedje,3.89,4.34
u,3.94,4.08,Hoedje,3.89,4.34
t,4.08,4.11,Hoedje,3.89,4.34
j,4.11,4.21,Hoedje,3.89,4.34
@,4.21,4.28,Hoedje,3.89,4.34
n,4.28,4.34,Hoedje,3.89,4.34
E,4.71,4.79,en,4.71,4.83
n,4.79,4.83,en,4.71,4.83
E,4.83,4.9,het,4.83,4.95
t,4.9,4.95,het,4.83,4.95
h,4.95,4.98,Hoorntje,4.95,5.5
o:,4.98,5.17,Hoorntje,4.95,5.5
r,5.17,5.24,Hoorntje,4.95,5.5
n,5.24,5.3,Hoorntje,4.95,5.5
t,5.3,5.38,Hoorntje,4.95,5.5
j,5.38,5.43,Hoorntje,4.95,5.5
@,5.43,5.5,Hoorntje,4.95,5.5
E,7.47,7.54,Er,7.47,7.6
r,7.54,7.6,Er,7.47,7.6
w,7.6,7.63,waren,7.6,7.89
a:,7.63,7.77,waren,7.6,7.89
r,7.77,7.8,waren,7.6,7.89
@,7.8,7.89,waren,7.6,7.89
e:,7.89,7.96,eens,7.89,8.07
n,7.96,7.99,eens,7.89,8.07
s,7.99,8.07,eens,7.89,8.07
d,8.07,8.14,drie,8.07,8.35
r,8.14,8.17,drie,8.07,8.35
i,8.17,8.35,drie,8.07,8.35
b,8.35,8.39,broêrs,8.35,8.9
r,8.39,8.45,broêrs,8.35,8.9
u,8.45,8.65,broêrs,8.35,8.9
r,8.65,8.7,broêrs,8.35,8.9
s,8.7,8.9,broêrs,8.35,8.9
t,9.24,9.28,die,9.24,9.36
i,9.28,9.36,die,9.24,9.36
l,9.36,9.44,langzamerhand,9.36,10.09
A,9.44,9.49,langzamerhand,9.36,10.09
N,9.49,9.56,langzamerhand,9.36,10.09
s,9.56,9.69,langzamerhand,9.36,10.09
a:,9.69,9.74,langzamerhand,9.36,10.09
m,9.74,9.81,langzamerhand,9.36,10.09
@,9.81,9.84,langzamerhand,9.36,10.09
r,9.84,9.87,langzamerhand,9.36,10.09
h,9.87,9.92,langzamerhand,9.36,10.09
A,9.92,9.97,langzamerhand,9.36,10.09
n,9.97,10.04,langzamerhand,9.36,10.09
t,10.04,10.09,langzamerhand,9.36,10.09
t,10.09,10.12,tot,10.09,10.21
O,10.12,10.17,tot,10.09,10.21
t,10.17,10.21,tot,10.09,10.21
A,10.21,10.37,armoede,10.21,10.71
r,10.37,10.41,armoede,10.21,10.71
@,10.41,10.45,armoede,10.21,10.71
m,10.45,10.53,armoede,10.21,10.71
u,10.53,10.62,armoede,10.21,10.71
d,10.62,10.67,armoede,10.21,10.71
@,10.67,10.71,armoede,10.21,10.71
w,10.71,10.75,waren,10.71,10.96
a:,10.75,10.88,waren,10.71,10.96
r,10.88,10.91,waren,10.71,10.96
@,10.91,10.96,waren,10.71,10.96
v,10.96,11.04,vervallen,10.96,11.4
@,11.04,11.07,vervallen,10.96,11.4
r,11.07,11.1,vervallen,10.96,11.4
f,11.1,11.2,vervallen,10.96,11.4
A,11.2,11.29,vervallen,10.96,11.4
l,11.29,11.32,vervallen,10.96,11.4
@,11.32,11.4,vervallen,10.96,11.4
Ei,12.59,12.71,eindelijk,12.59,12.95
n,12.71,12.76,eindelijk,12.59,12.95
d,12.76,12.79,eindelijk,12.59,12.95
l,12.79,12.85,eindelijk,12.59,12.95
@,12.85,12.92,eindelijk,12.59,12.95
k,12.92,12.95,eindelijk,12.59,12.95
w,12.95,12.98,was,12.95,13.16
A,12.98,13.04,was,12.95,13.16
s,13.04,13.16,was,12.95,13.16
@,13.16,13.2,de,13.16,13.2
n,13.2,13.27,nood,13.2,13.49
o:,13.27,13.43,nood,13.2,13.49
t,13.43,13.49,nood,13.2,13.49
s,13.49,13.61,zoo,13.49,13.82
o:,13.61,13.82,zoo,13.49,13.82
h,13.82,13.85,hoog,13.82,14.04
o:,13.85,13.98,hoog,13.82,14.04
x,13.98,14.04,hoog,13.82,14.04
x,14.04,14.07,gestegen,14.04,14.67
E,14.07,14.1,gestegen,14.04,14.67
s,14.1,14.22,gestegen,14.04,14.67
t,14.22,14.28,gestegen,14.04,14.67
e:,14.28,14.45,gestegen,14.04,14.67
G,14.45,14.57,gestegen,14.04,14.67
@,14.57,14.67,gestegen,14.04,14.67
t,15.05,15.13,dat,15.05,15.24
A,15.13,15.19,dat,15.05,15.24
t,15.19,15.24,dat,15.05,15.24
z,15.24,15.29,zij,15.24,15.33
Ei,15.29,15.33,zij,15.24,15.33
n,15.33,15.44,niets,15.33,15.66
i,15.44,15.54,niets,15.33,15.66
t,15.54,15.58,niets,15.33,15.66
s,15.58,15.66,niets,15.33,15.66
m,15.66,15.7,meer,15.66,15.83
e:,15.7,15.83,meer,15.66,15.83
t,15.83,15.88,te,15.83,15.91
@,15.88,15.91,te,15.83,15.91
e:,15.91,16.15,eten,15.91,16.26
t,16.15,16.22,eten,15.91,16.26
@,16.22,16.26,eten,15.91,16.26
h,16.26,16.34,hadden,16.26,16.57
A,16.34,16.44,hadden,16.26,16.57
d,16.44,16.48,hadden,16.26,16.57
@,16.48,16.57,hadden,16.26,16.57
E,16.84,16.92,en,16.84,16.95
n,16.92,16.95,en,16.84,16.95
h,16.95,16.98,honger,16.95,17.23
O,16.98,17.08,honger,16.95,17.23
N,17.08,17.15,honger,16.95,17.23
@,17.15,17.2,honger,16.95,17.23
r,17.2,17.23,honger,16.95,17.23
m,17.23,17.26,moesten,17.23,17.52
u,17.26,17.34,moesten,17.23,17.52
s,17.34,17.41,moesten,17.23,17.52
t,17.41,17.48,moesten,17.23,17.52
@,17.48,17.52,moesten,17.23,17.52
l,17.52,17.57,lijden,17.52,17.92
Ei,17.57,17.77,lijden,17.52,17.92
d,17.77,17.8,lijden,17.52,17.92
@,17.8,17.92,lijden,17.52,17.92
t,18.81,18.88,Toen,18.81,18.94
Y,18.88,18.91,Toen,18.81,18.94
n,18.91,18.94,Toen,18.81,18.94
z,18.94,19.04,zeiden,18.94,19.24
Ei,19.04,19.18,zeiden,18.94,19.24
d,19.18,19.21,zeiden,18.94,19.24
@,19.21,19.24,zeiden,18.94,19.24
z,19.24,19.34,zij,19.24,19.57
Ei,19.34,19.57,zij,19.24,19.57
z,20.17,20.3,Zoo,20.17,20.43
o:,20.3,20.43,Zoo,20.17,20.43
k,20.43,20.5,kan,20.43,20.59
A,20.5,20.54,kan,20.43,20.59
n,20.54,20.59,kan,20.43,20.59
@,20.59,20.63,het,20.59,20.66
t,20.63,20.66,het,20.59,20.66
n,20.66,20.69,niet,20.66,20.79
i,20.69,20.76,niet,20.66,20.79
d,20.76,20.79,niet,20.66,20.79
b,20.79,20.84,blijven,20.79,21.27
l,20.84,20.88,blijven,20.79,21.27
Ei,20.88,21.1,blijven,20.79,21.27
f,21.1,21.19,blijven,20.79,21.27
@,21.19,21.27,blijven,20.79,21.27
w,21.65,21.68,wij,21.65,21.8
Ei,21.68,21.8,wij,21.65,21.8
s,21.8,21.93,zullen,21.8,22.1
Y,21.93,21.98,zullen,21.8,22.1
l,21.98,22.01,zullen,21.8,22.1
@,22.01,22.1,zullen,21.8,22.1
d,22.1,22.14,de,22.1,22.2
@,22.14,22.2,de,22.1,22.2
w,22.2,22.25,wereld,22.2,22.56
e:,22.25,22.37,wereld,22.2,22.56
r,22.37,22.41,wereld,22.2,22.56
@,22.41,22.44,wereld,22.2,22.56
l,22.44,22.5,wereld,22.2,22.56
t,22.5,22.56,wereld,22.2,22.56
I,22.56,22.65,in,22.56,22.73
m,22.65,22.73,in,22.56,22.73
m,22.73,22.76,moeten,22.73,23.05
u,22.76,22.86,moeten,22.73,23.05
t,22.86,22.99,moeten,22.73,23.05
@,22.99,23.05,moeten,22.73,23.05
E,23.49,23.6,en,23.49,23.6
O,23.6,23.64,ons,23.6,23.75
n,23.64,23.67,ons,23.6,23.75
s,23.67,23.75,ons,23.6,23.75
x,23.75,23.81,geluk,23.75,24.04
@,23.81,23.88,geluk,23.75,24.04
l,23.88,23.91,geluk,23.75,24.04
Y,23.91,23.98,geluk,23.75,24.04
k,23.98,24.04,geluk,23.75,24.04
s,24.04,24.12,zoeken,24.04,24.41
u,24.12,24.23,zoeken,24.04,24.41
k,24.23,24.31,zoeken,24.04,24.41
@,24.31,24.41,zoeken,24.04,24.41
E,25.17,25.24,En,25.17,25.24
z,25.24,25.34,zij,25.24,25.38
Ei,25.34,25.38,zij,25.24,25.38
t,25.38,25.48,trokken,25.38,25.69
r,25.48,25.51,trokken,25.38,25.69
O,25.51,25.56,trokken,25.38,25.69
k,25.56,25.66,trokken,25.38,25.69
@,25.66,25.69,trokken,25.38,25.69
w,25.69,25.76,weg,25.69,26.09
E,25.76,25.83,weg,25.69,26.09
x,25.83,26.09,weg,25.69,26.09
O,28.0,28.1,Op,28.0,28.13
p,28.1,28.13,Op,28.0,28.13
f,28.13,28.29,verre,28.13,28.51
E,28.29,28.38,verre,28.13,28.51
r,28.38,28.42,verre,28.13,28.51
@,28.42,28.51,verre,28.13,28.51
w,28.51,28.55,wegen,28.51,28.85
e:,28.55,28.69,wegen,28.51,28.85
G,28.69,28.78,wegen,28.51,28.85
@,28.78,28.85,wegen,28.51,28.85
w,28.85,28.9,waren,28.85,29.1
a:,28.9,29.03,waren,28.85,29.1
r,29.03,29.06,waren,28.85,29.1
@,29.06,29.1,waren,28.85,29.1
z,29.1,29.2,zij,29.1,29.24
Ei,29.2,29.24,zij,29.1,29.24
A,29.24,29.3,al,29.24,29.36
l,29.3,29.36,al,29.24,29.36
G,29.36,29.43,gegaan,29.36,29.86
@,29.43,29.46,gegaan,29.36,29.86
G,29.46,29.61,gegaan,29.36,29.86
a:,29.61,29.76,gegaan,29.36,29.86
m,29.76,29.86,gegaan,29.36,29.86
E,30.2,30.3,en,30.2,30.3
f,30.3,30.43,veel,30.3,30.56
e:,30.43,30.51,veel,30.3,30.56
l,30.51,30.56,veel,30.3,30.56
x,30.56,30.69,grassprietjes,30.56,31.4
r,30.69,30.73,grassprietjes,30.56,31.4
A,30.73,30.82,grassprietjes,30.56,31.4
s,30.82,30.95,grassprietjes,30.56,31.4
p,30.95,31.0,grassprietjes,30.56,31.4
r,31.0,31.04,grassprietjes,30.56,31.4
i,31.04,31.17,grassprietjes,30.56,31.4
t,31.17,31.21,grassprietjes,30.56,31.4
j,31.21,31.26,grassprietjes,30.56,31.4
@,31.26,31.29,grassprietjes,30.56,31.4
s,31.29,31.4,grassprietjes,30.56,31.4
h,31.4,31.47,hadden,31.4,31.59
A,31.47,31.53,hadden,31.4,31.59
d,31.53,31.56,hadden,31.4,31.59
@,31.56,31.59,hadden,31.4,31.59
z,31.59,31.68,zij,31.59,31.72
Ei,31.68,31.72,zij,31.59,31.72
A,31.72,31.79,al,31.72,31.83
l,31.79,31.83,al,31.72,31.83
p,31.83,31.94,plat,31.83,32.1
l,31.94,31.97,plat,31.83,32.1
A,31.97,32.05,plat,31.83,32.1
t,32.05,32.1,plat,31.83,32.1
x,32.1,32.19,getreden,32.1,32.7
@,32.19,32.23,getreden,32.1,32.7
t,32.23,32.32,getreden,32.1,32.7
r,32.32,32.39,getreden,32.1,32.7
e:,32.39,32.56,getreden,32.1,32.7
d,32.56,32.61,getreden,32.1,32.7
@,32.61,32.7,getreden,32.1,32.7
m,33.16,33.22,maar,33.16,33.3
a:,33.22,33.3,maar,33.16,33.3
@,33.3,33.35,het,33.3,33.41
t,33.35,33.41,het,33.3,33.41
x,33.41,33.51,geluk,33.41,33.81
@,33.51,33.55,geluk,33.41,33.81
l,33.55,33.62,geluk,33.41,33.81
Y,33.62,33.71,geluk,33.41,33.81
k,33.71,33.81,geluk,33.41,33.81
h,33.81,33.89,hadden,33.81,33.99
A,33.89,33.92,hadden,33.81,33.99
d,33.92,33.96,hadden,33.81,33.99
@,33.96,33.99,hadden,33.81,33.99
z,33.99,34.1,zij,33.99,34.2
Ei,34.1,34.2,zij,33.99,34.2
n,34.2,34.23,nog,34.2,34.31
O,34.23,34.27,nog,34.2,34.31
G,34.27,34.31,nog,34.2,34.31
n,34.31,34.38,niet,34.31,34.52
i,34.38,34.46,niet,34.31,34.52
t,34.46,34.52,niet,34.31,34.52
O,34.52,34.57,ontmoet,34.52,34.94
n,34.57,34.61,ontmoet,34.52,34.94
t,34.61,34.64,ontmoet,34.52,34.94
m,34.64,34.71,ontmoet,34.52,34.94
u,34.71,34.82,ontmoet,34.52,34.94
t,34.82,34.94,ontmoet,34.52,34.94
O,36.13,36.24,Op,36.13,36.29
b,36.24,36.29,Op,36.13,36.29
@,36.29,36.32,een,36.29,36.38
N,36.32,36.38,een,36.29,36.38
d,36.38,36.42,dag,36.38,36.52
A,36.42,36.49,dag,36.38,36.52
x,36.49,36.52,dag,36.38,36.52
x,36.52,36.62,gebeurde,36.52,36.99
@,36.62,36.7,gebeurde,36.52,36.99
b,36.7,36.74,gebeurde,36.52,36.99
2:,36.74,36.88,gebeurde,36.52,36.99
r,36.88,36.92,gebeurde,36.52,36.99
d,36.92,36.95,gebeurde,36.52,36.99
@,36.95,36.99,gebeurde,36.52,36.99
h,36.99,37.03,het,36.99,37.18
@,37.03,37.1,het,36.99,37.18
t,37.1,37.18,het,36.99,37.18
d,37.56,37.61,dat,37.56,37.72
A,37.61,37.67,dat,37.56,37.72
t,37.67,37.72,dat,37.56,37.72
s,37.72,37.78,zij,37.72,37.84
Ei,37.78,37.84,zij,37.72,37.84
I,37.84,37.87,in,37.84,37.93
n,37.87,37.93,in,37.84,37.93
@,37.93,37.97,een,37.93,37.97
x,37.97,38.07,groot,37.97,38.28
r,38.07,38.11,groot,37.97,38.28
o:,38.11,38.25,groot,37.97,38.28
t,38.25,38.28,groot,37.97,38.28
b,38.28,38.39,bosch,38.28,38.59
O,38.39,38.48,bosch,38.28,38.59
s,38.48,38.59,bosch,38.28,38.59
k,38.59,38.65,kwamen,38.59,39.02
w,38.65,38.69,kwamen,38.59,39.02
a:,38.69,38.88,kwamen,38.59,39.02
m,38.88,38.95,kwamen,38.59,39.02
@,38.95,39.02,kwamen,38.59,39.02
E,39.34,39.42,en,39.34,39.54
N,39.42,39.54,en,39.34,39.54
m,39.54,39.59,midden,39.54,39.76
I,39.59,39.66,midden,39.54,39.76
d,39.66,39.73,midden,39.54,39.76
@,39.73,39.76,midden,39.54,39.76
d,39.76,39.84,daarin,39.76,40.18
a:,39.84,39.9,daarin,39.76,40.18
r,39.9,39.94,daarin,39.76,40.18
I,39.94,40.05,daarin,39.76,40.18
n,40.05,40.18,daarin,39.76,40.18
w,40.18,40.21,was,40.18,40.31
A,40.21,40.24,was,40.18,40.31
z,40.24,40.31,was,40.18,40.31
@,40.31,40.34,een,40.31,40.44
n,40.34,40.44,een,40.31,40.44
b,40.44,40.51,berg,40.44,40.88
E,40.51,40.54,berg,40.44,40.88
r,40.54,40.65,berg,40.44,40.88
@,40.65,40.7,berg,40.44,40.88
x,40.7,40.88,berg,40.44,40.88
E,41.55,41.64,en,41.55,41.7
n,41.64,41.7,en,41.55,41.7
d,41.7,41.74,dichterbij,41.7,42.18
I,41.74,41.79,dichterbij,41.7,42.18
x,41.79,41.89,dichterbij,41.7,42.18
t,41.89,41.94,dichterbij,41.7,42.18
@,41.94,41.97,dichterbij,41.7,42.18
r,41.97,42.0,dichterbij,41.7,42.18
b,42.0,42.03,dichterbij,41.7,42.18
Ei,42.03,42.18,dichterbij,41.7,42.18
G,42.18,42.29,gekomen,42.18,42.67
@,42.29,42.32,gekomen,42.18,42.67
k,42.32,42.41,gekomen,42.18,42.67
o:,42.41,42.6,gekomen,42.18,42.67
m,42.6,42.63,gekomen,42.18,42.67
@,42.63,42.67,gekomen,42.18,42.67
s,42.67,42.78,zagen,42.67,43.03
a:,42.78,42.91,zagen,42.67,43.03
G,42.91,43.0,zagen,42.67,43.03
@,43.0,43.03,zagen,42.67,43.03
z,43.03,43.14,zij,43.03,43.39
Ei,43.14,43.39,zij,43.03,43.39
t,43.86,43.92,dat,43.86,44.05
A,43.92,43.97,dat,43.86,44.05
t,43.97,44.05,dat,43.86,44.05
@,44.05,44.08,de,44.05,44.08
b,44.08,44.18,berg,44.08,44.39
E,44.18,44.25,berg,44.08,44.39
r,44.25,44.29,berg,44.08,44.39
@,44.29,44.32,berg,44.08,44.39
x,44.32,44.39,berg,44.08,44.39
h,44.39,44.48,heelemaal,44.39,44.72
e:,44.48,44.52,heelemaal,44.39,44.72
l,44.52,44.56,heelemaal,44.39,44.72
@,44.56,44.59,heelemaal,44.39,44.72
m,44.59,44.64,heelemaal,44.39,44.72
a:,44.64,44.68,heelemaal,44.39,44.72
l,44.68,44.72,heelemaal,44.39,44.72
f,44.72,44.76,van,44.72,44.81
A,44.76,44.81,van,44.72,44.81
z,44.81,44.94,zilver,44.81,45.15
I,44.94,44.97,zilver,44.81,45.15
l,44.97,45.06,zilver,44.81,45.15
v,45.06,45.12,zilver,44.81,45.15
@,45.12,45.15,zilver,44.81,45.15
w,45.15,45.22,was,45.15,45.53
A,45.22,45.33,was,45.15,45.53
s,45.33,45.53,was,45.15,45.53
t,47.17,47.23,Toen,47.17,47.33
u,47.23,47.3,Toen,47.17,47.33
n,47.3,47.33,Toen,47.17,47.33
z,47.33,47.42,zei,47.33,47.54
Ei,47.42,47.54,zei,47.33,47.54
d,47.54,47.58,de,47.54,47.61
@,47.58,47.61,de,47.54,47.61
Au,47.61,47.84,oudste,47.61,48.15
t,47.84,47.88,oudste,47.61,48.15
s,47.88,47.97,oudste,47.61,48.15
t,47.97,48.02,oudste,47.61,48.15
@,48.02,48.15,oudste,47.61,48.15
n,49.01,49.08,nu,49.01,49.18
y,49.08,49.18,nu,49.01,49.18
E,49.18,49.31,heb,49.18,49.34
p,49.31,49.34,heb,49.18,49.34
@,49.34,49.38,ik,49.34,49.44
k,49.38,49.44,ik,49.34,49.44
E,49.44,49.5,het,49.44,49.54
t,49.5,49.54,het,49.44,49.54
f,49.54,49.64,verlangde,49.54,49.99
@,49.64,49.68,verlangde,49.54,49.99
l,49.68,49.72,verlangde,49.54,49.99
A,49.72,49.79,verlangde,49.54,49.99
N,49.79,49.91,verlangde,49.54,49.99
d,49.91,49.95,verlangde,49.54,49.99
@,49.95,49.99,verlangde,49.54,49.99
G,49.99,50.07,geluk,49.99,50.28
@,50.07,50.1,geluk,49.99,50.28
l,50.1,50.14,geluk,49.99,50.28
Y,50.14,50.17,geluk,49.99,50.28
k,50.17,50.28,geluk,49.99,50.28
x,50.28,50.35,gevonden,50.28,50.84
@,50.35,50.39,gevonden,50.28,50.84
f,50.39,50.48,gevonden,50.28,50.84
O,50.48,50.55,gevonden,50.28,50.84
n,50.55,50.67,gevonden,50.28,50.84
d,50.67,50.71,gevonden,50.28,50.84
@,50.71,50.79,gevonden,50.28,50.84
n,50.79,50.84,gevonden,50.28,50.84
E,51.13,51.2,en,51.13,51.24
n,51.2,51.24,en,51.13,51.24
E,51.24,51.32,heb,51.24,51.35
p,51.32,51.35,heb,51.24,51.35
n,51.35,51.48,niets,51.35,51.71
