,onset,offset,words
0,0.0,0.41,
1,0.41,0.49,Het
2,0.49,0.63,was
3,0.63,0.7,
4,0.7,1.02,heerlijk
5,1.02,1.34,buiten
6,1.34,1.45,op
7,1.45,1.53,het
8,1.53,1.79,land
9,1.79,2.28,
10,2.28,2.31,t
11,2.31,2.49,Was
12,2.49,2.88,zomer
13,2.88,3.2,
14,3.2,3.33,het
15,3.33,3.4,
16,3.4,3.69,koren
17,3.69,3.84,was
18,3.84,4.11,rijp
19,4.11,4.43,
20,4.43,4.52,het
21,4.52,4.58,
22,4.58,4.81,hooi
23,4.81,5.05,stond
24,5.05,5.16,op
25,5.16,5.19,de
26,5.19,5.46,groene
27,5.46,5.84,weiden
28,5.84,5.95,aan
29,5.95,6.36,oppers
30,6.36,6.64,
31,6.64,6.75,en
32,6.75,6.79,de
33,6.79,7.41,ooievaar
34,7.41,7.58,
35,7.58,7.71,liep
36,7.71,7.83,op
37,7.83,8.01,zijn
38,8.01,8.35,lange
39,8.35,8.42,
40,8.42,8.77,roode
41,8.77,8.82,
42,8.82,9.2,pooten
43,9.2,9.37,
44,9.37,9.49,en
45,9.49,9.81,praatte
46,9.81,10.32,Egyptisch
47,10.32,10.74,
48,10.74,10.87,want
49,10.87,11.2,deze
50,11.2,11.43,taal
51,11.43,11.59,had
52,11.59,11.63,hij
53,11.63,11.78,van
54,11.78,11.96,zijn
55,11.96,12.11,moeder
56,12.11,12.54,geleerd
57,12.54,13.54,
58,13.54,13.94,Rondom
59,13.94,14.03,de
60,14.03,14.69,korenvelden
61,14.69,14.77,
62,14.77,14.87,en
63,14.87,14.94,de
64,14.94,15.35,weiden
65,15.35,15.61,
66,15.61,15.82,waren
67,15.82,16.44,uitgestrekte
68,16.44,16.8,bosschen
69,16.8,17.17,
70,17.17,17.24,en
71,17.24,17.53,midden
72,17.53,17.67,in
73,17.67,17.74,de
74,17.74,18.14,bosschen
75,18.14,18.4,
76,18.4,18.67,diepe
77,18.67,19.1,meren
78,19.1,19.86,
79,19.86,20.13,Ja
80,20.13,20.41,
81,20.41,20.52,het
82,20.52,20.67,was
83,20.67,21.18,werkelijk
84,21.18,21.29,
85,21.29,21.76,heerlijk
86,21.76,21.91,daar
87,21.91,22.23,buiten
88,22.23,22.35,op
89,22.35,22.42,het
90,22.42,22.68,land
91,22.68,23.49,
92,23.49,23.61,Door
93,23.61,23.68,den
94,23.68,24.07,glans
95,24.07,24.25,der
96,24.25,24.49,zon
97,24.49,25.03,beschenen
98,25.03,25.31,
99,25.31,25.51,stond
100,25.51,25.66,daar
101,25.66,25.73,een
102,25.73,25.99,oud
103,25.99,26.53,kasteel
104,26.53,26.8,
105,26.8,26.96,dat
106,26.96,27.07,door
107,27.07,27.19,een
108,27.19,27.24,
109,27.24,27.49,diepe
110,27.49,27.88,gracht
111,27.88,28.3,omgeven
112,28.3,28.59,was
113,28.59,29.12,
114,29.12,29.21,en
115,29.21,29.39,van
116,29.39,29.45,den
117,29.45,29.82,muur
118,29.82,30.03,tot
119,30.03,30.13,aan
120,30.13,30.23,het
121,30.23,30.62,water
122,30.62,30.94,
123,30.94,31.39,groeide
124,31.39,31.65,dicht
125,31.65,31.71,
126,31.71,32.32,kreupelhout
127,32.32,33.18,
128,33.18,33.29,Te
129,33.29,33.6,midden
130,33.6,33.99,hiervan
131,33.99,34.25,
132,34.25,34.4,zat
133,34.4,34.53,in
134,34.53,34.64,haar
135,34.64,35.02,nest
136,35.02,35.11,een
137,35.11,35.18,
138,35.18,35.47,eend
139,35.47,35.71,
140,35.71,35.86,die
141,35.86,35.95,haar
142,35.95,36.17,jongen
143,36.17,36.39,moest
144,36.39,36.9,uitbroeden
145,36.9,37.6,
146,37.6,37.68,maar
147,37.68,37.75,het
148,37.75,38.04,begon
149,38.04,38.18,haar
150,38.18,38.52,bijna
151,38.52,38.65,te
152,38.65,39.17,vervelen
153,39.17,39.54,
154,39.54,39.72,zoo
155,39.72,39.89,lang
156,39.89,40.27,duurde
157,40.27,40.35,het
158,40.35,40.62,
159,40.62,40.77,eer
160,40.77,40.8,de
161,40.8,41.05,jongen
162,41.05,41.65,uitkwamen
163,41.65,42.34,
164,42.34,42.74,daarbij
165,42.74,42.99,kreeg
166,42.99,43.09,zij
167,43.09,43.38,zelden
168,43.38,43.76,bezoek
