,onset,offset,words
0,0.0,0.15,
1,0.15,0.29,hij
2,0.29,0.73,hoopte
3,0.73,0.88,dat
4,0.88,1.04,zijn
5,1.04,1.62,gelukszon
6,1.62,1.73,nog
7,1.73,2.12,klaarder
8,2.12,2.28,zou
9,2.28,2.42,gaan
10,2.42,2.87,schijnen
11,2.87,4.04,
12,4.04,4.26,Tegen
13,4.26,5.06,zonsondergang
14,5.06,5.53,
15,5.53,5.66,kwam
16,5.66,5.74,hij
17,5.74,5.94,bij
18,5.94,5.98,een
19,5.98,6.26,anderen
20,6.26,7.07,kolenbrander
21,7.07,7.18,die
22,7.18,7.46,bij
23,7.46,7.5,het
24,7.5,7.72,vuur
25,7.72,7.85,zijn
26,7.85,8.36,avondmaal
27,8.36,8.65,klaar
28,8.65,9.08,maakte
29,9.08,12.18,
30,12.18,12.31,Wil
31,12.31,12.44,je
32,12.44,12.61,met
33,12.61,12.7,mij
34,12.7,13.13,eten
35,13.13,13.52,
36,13.52,13.73,zei
37,13.73,13.79,de
38,13.79,14.12,zwarte
39,14.12,14.56,gezel
40,14.56,15.21,
41,15.21,15.73,aardappelen
42,15.73,15.89,met
43,15.89,16.25,zout
44,16.25,16.3,
45,16.3,16.4,maar
46,16.4,16.71,zonder
47,16.71,17.07,vet
48,17.07,17.7,
49,17.7,17.82,ga
50,17.82,17.93,dan
51,17.93,18.02,maar
52,18.02,18.35,zitten
53,18.35,19.97,
54,19.97,20.38,Neen
55,20.38,20.58,
56,20.58,20.75,zei
57,20.75,21.03,hij
58,21.03,21.42,
59,21.42,21.55,van
60,21.55,21.89,daag
61,21.89,22.07,moet
62,22.07,22.17,je
63,22.17,22.41,mijn
64,22.41,22.65,gast
65,22.65,23.01,zijn
66,23.01,23.42,
67,23.42,23.54,en
68,23.54,23.63,hij
69,23.63,24.1,spreidde
70,24.1,24.22,zijn
71,24.22,24.61,kleedje
72,24.61,24.97,uit
73,24.97,25.08,en
74,25.08,25.14,’t
75,25.14,25.31,was
76,25.31,25.37,
77,25.37,25.78,dadelijk
78,25.78,25.93,met
79,25.93,26.06,de
80,26.06,26.6,heerlijkste
81,26.6,27.06,gerechten
82,27.06,27.49,bezet
83,27.49,28.03,
84,28.03,28.16,Zij
85,28.16,28.61,aten
86,28.61,28.79,en
87,28.79,29.11,dronken
88,29.11,29.6,samen
89,29.6,30.02,
90,30.02,30.16,en
91,30.16,30.34,hadden
92,30.34,30.66,schik
93,30.66,32.14,
94,32.14,32.32,Na
95,32.32,32.4,het
96,32.4,32.66,eten
97,32.66,32.84,zei
98,32.84,32.9,de
99,32.9,33.63,kolenbrander
100,33.63,34.68,
101,34.68,34.83,ik
102,34.83,34.89,heb
103,34.89,34.95,
104,34.95,35.01,een
105,35.01,35.1,
106,35.1,35.32,oud
107,35.32,35.82,versleten
108,35.82,36.18,hoedje
109,36.18,36.84,
110,36.84,36.98,dat
111,36.98,37.16,heeft
112,37.16,37.83,zeldzame
113,37.83,38.56,eigenschappen
114,38.56,39.55,
115,39.55,39.69,als
116,39.69,39.96499,iemand
117,39.96499,40.03998,het
118,40.03998,40.11,
119,40.11,40.71,opzet
120,40.71,41.05,
121,41.05,41.19,en
122,41.19,41.3,op
123,41.3,41.5,zijn
124,41.5,41.85,hoofd
125,41.85,42.5,ronddraait
126,42.5,42.88,
127,42.88,43.0,dan
128,43.0,43.41,schieten
129,43.41,43.51,de
130,43.51,43.56,
131,43.56,43.98,kanonnen
132,43.98,44.3,of
133,44.3,44.36,er
134,44.36,44.5,
135,44.5,44.91,twaalf
136,44.91,44.98,
137,44.98,45.25,naast
138,45.25,45.67,elkander
139,45.67,45.86,waren
140,45.86,46.55,opgesteld
141,46.55,47.58,
142,47.58,47.68,en
143,47.68,47.79,ze
144,47.79,48.1,schieten
145,48.1,48.41,alles
146,48.41,48.72,neêr
147,48.72,49.01,
148,49.01,49.17,dat
149,49.17,49.66,niemand
150,49.66,49.76,er
151,49.76,49.95,iets
152,49.95,50.1,aan
153,50.1,50.48,verhelpen
154,50.48,50.82,kan
155,50.82,52.06,
156,52.06,52.17,Aan
157,52.17,52.26,het
158,52.26,52.52,hoedje
159,52.52,52.77,heb
160,52.77,52.84,ik
161,52.84,52.89,
162,52.89,53.21,niets
163,53.21,53.62,
164,53.62,53.74,en
165,53.74,53.85,ik
166,53.85,53.95,wil
167,53.95,54.04,het
168,54.04,54.1,
169,54.1,54.36499,graag
170,54.36499,54.68,geven
171,54.68,54.81,voor
172,54.81,54.93,je
173,54.93,55.44,kleedje
174,55.44,56.77,
175,56.77,56.97,Dat
176,56.97,57.03,
177,57.03,57.32,geloof
178,57.32,57.45,ik
179,57.45,57.76,wel
180,57.76,57.91,zei
181,57.91,58.21,hij
182,58.21,58.59,
183,58.59,58.76,nam
184,58.76,58.88,het
185,58.88,59.21,hoedje
186,59.21,59.53,
187,59.53,59.61,en
188,59.61,59.76,liet
189,59.76,59.89,zijn
190,59.89,59.94,
191,59.94,60.27,kleedje
192,60.27,60.78,achter
193,60.78,62.77,
194,62.77,62.93,Maar
195,62.93,63.02,
196,63.02,63.27,toen
197,63.27,63.48,hij
198,63.48,63.51,een
199,63.51,63.83,eindje
200,63.83,64.13,ver
201,64.13,64.44,was
202,64.44,64.79,klopte
203,64.79,64.94,hij
204,64.94,65.06,op
205,65.06,65.14,het
206,65.14,65.73,ranseltje
207,65.73,66.07,
208,66.07,66.16,en
209,66.16,66.35,zijn
210,66.35,67.06,soldaten
211,67.06,67.3,
212,67.3,67.58,moesten
213,67.58,67.76,toen
214,67.76,67.79,het
215,67.79,68.04,doekje
216,68.04,68.76,terughalen
217,68.76,70.52,
218,70.52,70.66,Het
219,70.66,70.89,komt
220,70.89,71.13,alles
221,71.13,71.21,bij
222,71.21,71.62,elkaâr
223,71.62,71.81,dacht
224,71.81,72.09,hij
225,72.09,72.51,
226,72.51,72.65,en
227,72.65,72.7,
228,72.7,72.75,’t
229,72.75,72.98,is
230,72.98,73.07,of
231,73.07,73.23,mijn
232,73.23,73.57,geluk
233,73.57,73.65,
234,73.65,73.76,nog
235,73.76,73.99,niet
236,73.99,74.09,ten
237,74.09,74.49,einde
238,74.49,74.54,
239,74.54,74.87,is
240,74.87,76.72,
241,76.72,76.82,En
242,76.82,76.99,zijn
243,76.99,77.49,gedachten
244,77.49,77.69,hadden
245,77.69,77.77,hem
246,77.77,77.89,niet
247,77.89,78.51,bedrogen
248,78.51,79.45,
249,79.45,79.57,Toen
250,79.57,79.73,hij
251,79.73,79.99,weêr
252,79.99,80.09,een
253,80.09,80.27,dag
254,80.27,80.72,geloopen
255,80.72,81.02,had
256,81.02,81.45,
257,81.45,81.61,kwam
258,81.61,81.69,hij
259,81.69,81.87,bij
260,81.87,81.96,een
261,81.96,82.21,derden
262,82.21,82.98,kolenbrander
263,82.98,83.38,
264,83.38,83.55,die
265,83.55,83.7,hem
266,83.7,83.9,als
267,83.9,84.0,de
268,84.0,84.61,vorigen
269,84.61,85.03,
270,85.03,85.16,op
271,85.16,85.55,droge
272,85.55,86.12,aardappelen
273,86.12,86.56,noodde
274,86.56,87.83,
275,87.83,88.02,Hij
276,88.02,88.23,liet
277,88.23,88.38,hem
278,88.38,88.66,weêr
279,88.66,88.77,van
280,88.77,88.9,zijn
281,88.9,88.95,
