phonemes;phoneme_onset;phoneme_offset;words;word_onset;word_offset;cohort_entropy;cohort_surprisal;word_freq
9~;0.19;0.29;un;0.19;0.38;4.409139780035068;6.148275262534002;6.151914241151773
n;0.29;0.38;un;0.19;0.38;0.0009961997993174622;5.5530532527664125;6.151914241151773
a~;0.38;0.53;ange;0.38;0.62;4.409139780035068;5.5578611269601135;14.20085894069856
Z;0.53;0.62;ange;0.38;0.62;0.08080481839981873;6.927172317990447;14.20085894069856
d;0.62;0.69;de;0.62;0.77;4.409139780035068;3.5165938505373138;5.160477121150187
@;0.69;0.77;de;0.62;0.77;0.31645900118546794;0.6054282932040684;5.160477121150187
d;0.77;0.85;Dieu;0.77;1.08;4.409139780035068;3.5165938505373138;10.04656298696297
j;0.85;0.97;Dieu;0.77;1.08;0.31645900118546794;5.69552198599517;10.04656298696297
2;0.97;1.08;Dieu;0.77;1.08;0.010373560879902476;0.06557745359122011;10.04656298696297
d;1.08;1.15;descend;1.08;1.48;4.409139780035068;3.5165938505373138;15.07738765250465
E;1.15;1.22;descend;1.08;1.48;0.31645900118546794;5.001925846239344;15.07738765250465
s;1.22;1.36;descend;1.08;1.48;0.012502659396464253;1.556001295775884;15.07738765250465
a~;1.36;1.48;descend;1.08;1.48;0.005536624924801625;0.5300477592411357;15.07738765250465
s;1.48;1.59;sur;1.48;1.7;4.409139780035068;3.6495300689728554;8.45384611352167
y;1.59;1.63;sur;1.48;1.7;0.27960237707783975;4.6210875512534155;8.45384611352167
R;1.63;1.7;sur;1.48;1.7;0.016267838227612293;0.9157639223786174;8.45384611352167
l;1.7;1.75;la;1.7;1.82;4.409139780035068;3.755260160408023;5.814498696260873
a;1.75;1.82;la;1.7;1.82;0.2258054342494332;1.7693520610671603;5.814498696260873
t;1.82;1.97;terre;1.82;2.24;4.409139780035068;3.9974562187304596;11.671363993059703
E;1.97;2.21;terre;1.82;2.24;0.1801079616834537;4.688395637973554;11.671363993059703
R;2.21;2.24;terre;1.82;2.24;0.011830046851965653;1.7214610958353882;11.671363993059703
p;2.61;2.73;prend;2.61;2.95;4.409139780035068;3.5300816532272266;12.29883572831112
R;2.73;2.82;prend;2.61;2.95;0.3111310643031198;2.6666723586729733;12.29883572831112
a~;2.82;2.95;prend;2.61;2.95;0.0650434435005669;1.6763046035837532;12.29883572831112
l;2.95;2.98;l';2.95;2.98;4.409139780035068;3.755260160408023;6.307238837151082
a~;2.98;3.1;enfant;2.98;3.33;4.409139780035068;5.5578611269601135;11.61659938540503
f;3.1;3.25;enfant;2.98;3.33;0.08080481839981873;2.2982200859619266;11.61659938540503
a~;3.25;3.33;enfant;2.98;3.33;0.019272943675244084;0.7738564630691308;11.61659938540503
m;3.33;3.45;mort;3.33;3.68;4.409139780035068;4.216572460592083;10.241522438852298
O;3.45;3.68;mort;3.33;3.68;0.20937620241266594;3.8424203165607924;10.241522438852298
d;3.68;3.72;dans;3.68;3.82;4.409139780035068;3.5165938505373138;7.597135041666439
a~;3.72;3.82;dans;3.68;3.82;0.31645900118546794;7.062559624207903;7.597135041666439
s;3.82;3.95;ses;3.82;4.01;4.409139780035068;3.6495300689728554;10.217063212178532
e;3.95;4.01;ses;3.82;4.01;0.27960237707783975;3.3939713518181915;10.217063212178532
b;4.01;4.07;bras;4.01;4.34;4.409139780035068;5.580931033330403;12.561128910536404
R;4.07;4.18;bras;4.01;4.34;0.1086612429825166;3.919177416673403;12.561128910536404
a;4.18;4.34;bras;4.01;4.34;0.010778919140323832;1.7664087494128327;12.561128910536404
u;4.77;4.99;ouvre;4.77;5.18;4.409139780035068;6.699320083304942;12.638664325038485
v;4.99;5.04;ouvre;4.77;5.18;0.011175551494344519;3.039086501177291;12.638664325038485
R;5.04;5.18;ouvre;4.77;5.18;0.002407048829582794;1.1574936551684247;12.638664325038485
s;5.18;5.31;ses;5.18;5.36;4.409139780035068;3.6495300689728554;10.217063212178532
e;5.31;5.36;ses;5.18;5.36;0.27960237707783975;3.3939713518181915;10.217063212178532
l;5.36;5.41;larges;5.36;5.69;4.409139780035068;3.755260160408023;17.55939014161244
