phonemes;phoneme_onset;phoneme_offset;words;word_onset;word_offset;cohort_entropy;cohort_surprisal;word_freq
p;0.04;0.11;Puis;0.04;0.26;4.409139780035069;3.530081653227226;10.727692975189267
H;0.11;0.19;Puis;0.04;0.26;0.3111310643031198;7.655393076308873;10.727692975189267
i;0.19;0.26;Puis;0.04;0.26;0.0032984898761035377;0.2658456278586869;10.727692975189267
i;0.26;0.41;ils;0.26;0.41;4.409139780035069;5.083806629288413;8.196409154968887
a~;0.5;0.6;s'en;0.5;0.6;4.409139780035069;5.5578611269601135;NAN
f;0.6;0.73;furent;0.6;0.85;4.409139780035069;5.1197770207622835;15.833277758530365
y;0.73;0.78;furent;0.6;0.85;0.14435107234724465;6.287146212305613;15.833277758530365
R;0.78;0.85;furent;0.6;0.85;0.00368575258107668;1.9380087372975665;15.833277758530365
t;0.85;0.94;tous;0.85;1.01;4.409139780035069;3.9974562187304596;9.452982724463585
u;0.94;1.01;tous;0.85;1.01;0.18010796168345372;3.278416644151088;9.452982724463585
t;1.01;1.09;trois;1.01;1.22;4.409139780035069;3.9974562187304596;11.209923023126795
R;1.09;1.14;trois;1.01;1.22;0.18010796168345372;1.0022456348444526;11.209923023126795
w;1.14;1.17;trois;1.01;1.22;0.09021057839220219;4.601997795433878;11.209923023126795
a;1.17;1.22;trois;1.01;1.22;0.006056391539346276;0.11946990887876718;11.209923023126795
a~;1.22;1.37;ensemble;1.22;1.88;4.409139780035069;5.5578611269601135;11.637033354706213
s;1.37;1.51;ensemble;1.22;1.88;0.08080481839981876;4.744122171036267;11.637033354706213
a~;1.51;1.67;ensemble;1.22;1.88;0.004937809042583458;5.33543640084687;11.637033354706213
b;1.67;1.74;ensemble;1.22;1.88;0.0009615264241333251;3.089075331684092;11.637033354706213
l;1.74;1.78;ensemble;1.22;1.88;0.0009128581751556822;3.0061580626426387;11.637033354706213
@;1.78;1.88;ensemble;1.22;1.88;0.0008333963937691516;5.247927513443586;11.637033354706213
e;2.07;2.18;et;2.07;2.18;4.409139780035069;4.815820454336018;6.126714125197328
p;2.18;2.22;parvinrent;2.18;2.58;4.409139780035069;3.530081653227226;24.4266688813221
a;2.22;2.31;parvinrent;2.18;2.58;0.3111310643031198;3.304444954031691;24.4266688813221
R;2.31;2.36;parvinrent;2.18;2.58;0.039570269746988795;0.5137488120570814;24.4266688813221
v;2.36;2.41;parvinrent;2.18;2.58;0.0336545255177201;6.762835408504446;24.4266688813221
e~;2.41;2.55;parvinrent;2.18;2.58;0.0012451387792861014;4.922753653225534;24.4266688813221
R;2.55;2.58;parvinrent;2.18;2.58;0.0008342084147243336;5.192861812719472;24.4266688813221
d;2.58;2.61;dans;2.58;2.75;4.409139780035069;3.5165938505373133;7.597135041666439
a~;2.61;2.75;dans;2.58;2.75;0.31645900118546794;7.062559624207903;7.597135041666439
9~;2.75;2.86;un;2.75;2.86;4.409139780035069;6.148275262534002;6.151914241151773
p;2.86;2.94;pays;2.86;3.18;4.409139780035069;3.530081653227226;12.120535970555366
E;2.94;3.03;pays;2.86;3.18;0.3111310643031198;4.618915031868996;12.120535970555366
