phonemes;phoneme_onset;phoneme_offset;words;word_onset;word_offset;cohort_entropy;cohort_surprisal;word_freq;word_entropy_GPT;word_surprisal_GPT;word_number;entropy_class
9~;0.19;0.29;un;0.19;0.38;4.409139780035068;6.148275262534002;6.151914241151773;8.97444;9.82121;1;1.0
n;0.29;0.38;un;0.19;0.38;0.0009961997993174;5.5530532527664125;6.151914241151773;8.97444;9.82121;1;1.0
a~;0.38;0.53;ange;0.38;0.62;4.409139780035068;5.5578611269601135;14.20085894069856;10.405104;11.99226;2;1.0
Z;0.53;0.62;ange;0.38;0.62;0.0808048183998187;6.927172317990447;14.20085894069856;10.405104;11.99226;2;1.0
d;0.62;0.69;de;0.62;0.77;4.409139780035068;3.5165938505373138;5.160477121150187;7.584049;3.574857;3;1.0
@;0.69;0.77;de;0.62;0.77;0.3164590011854679;0.6054282932040684;5.160477121150187;7.584049;3.574857;3;1.0
d;0.77;0.85;Dieu;0.77;1.08;4.409139780035068;3.5165938505373138;10.04656298696297;7.78609;3.9589653;4;1.0
j;0.85;0.97;Dieu;0.77;1.08;0.3164590011854679;5.69552198599517;10.04656298696297;7.78609;3.9589653;4;1.0
2;0.97;1.08;Dieu;0.77;1.08;0.0103735608799024;0.0655774535912201;10.04656298696297;7.78609;3.9589653;4;1.0
d;1.08;1.15;descend;1.08;1.48;4.409139780035068;3.5165938505373138;15.07738765250465;6.064387;12.211853;5;-1.0
E;1.15;1.22;descend;1.08;1.48;0.3164590011854679;5.001925846239344;15.07738765250465;6.064387;12.211853;5;-1.0
s;1.22;1.36;descend;1.08;1.48;0.0125026593964642;1.556001295775884;15.07738765250465;6.064387;12.211853;5;-1.0
a~;1.36;1.48;descend;1.08;1.48;0.0055366249248016;0.5300477592411357;15.07738765250465;6.064387;12.211853;5;-1.0
s;1.48;1.59;sur;1.48;1.7;4.409139780035068;3.649530068972856;8.45384611352167;4.8405313;3.229567;6;-1.0
y;1.59;1.63;sur;1.48;1.7;0.2796023770778397;4.621087551253416;8.45384611352167;4.8405313;3.229567;6;-1.0
R;1.63;1.7;sur;1.48;1.7;0.0162678382276122;0.9157639223786174;8.45384611352167;4.8405313;3.229567;6;-1.0
l;1.7;1.75;la;1.7;1.82;4.409139780035068;3.755260160408023;5.814498696260873;4.2319946;2.676258;7;-1.0
a;1.75;1.82;la;1.7;1.82;0.2258054342494332;1.7693520610671605;5.814498696260873;4.2319946;2.676258;7;-1.0
t;1.82;1.97;terre;1.82;2.24;4.409139780035068;3.99745621873046;11.671363993059703;2.399184;0.48653755;8;-1.0
E;1.97;2.21;terre;1.82;2.24;0.1801079616834537;4.688395637973554;11.671363993059703;2.399184;0.48653755;8;-1.0
R;2.21;2.24;terre;1.82;2.24;0.0118300468519656;1.7214610958353882;11.671363993059703;2.399184;0.48653755;8;-1.0
p;2.61;2.73;prend;2.61;2.95;4.409139780035068;3.5300816532272266;12.29883572831112;4.4633904;17.317677;9;-1.0
R;2.73;2.82;prend;2.61;2.95;0.3111310643031198;2.6666723586729733;12.29883572831112;4.4633904;17.317677;9;-1.0
a~;2.82;2.95;prend;2.61;2.95;0.0650434435005669;1.6763046035837532;12.29883572831112;4.4633904;17.317677;9;-1.0
l;2.95;2.98;l';2.95;2.98;4.409139780035068;3.755260160408023;6.307238837151082;5.75401;4.7484093;10;-1.0
a~;2.98;3.1;enfant;2.98;3.33;4.409139780035068;5.5578611269601135;11.61659938540503;5.3757286;2.5386145;11;-1.0
f;3.1;3.25;enfant;2.98;3.33;0.0808048183998187;2.2982200859619266;11.61659938540503;5.3757286;2.5386145;11;-1.0
a~;3.25;3.33;enfant;2.98;3.33;0.019272943675244;0.7738564630691308;11.61659938540503;5.3757286;2.5386145;11;-1.0
m;3.33;3.45;mort;3.33;3.68;4.409139780035068;4.216572460592083;10.241522438852298;5.039305;9.516797;12;-1.0
O;3.45;3.68;mort;3.33;3.68;0.2093762024126659;3.842420316560792;10.241522438852298;5.039305;9.516797;12;-1.0
d;3.68;3.72;dans;3.68;3.82;4.409139780035068;3.5165938505373138;7.597135041666439;4.3141284;3.507131;13;-1.0
a~;3.72;3.82;dans;3.68;3.82;0.3164590011854679;7.062559624207903;7.597135041666439;4.3141284;3.507131;13;-1.0
s;3.82;3.95;ses;3.82;4.01;4.409139780035068;3.649530068972856;10.217063212178532;2.9175649;1.3009963;14;-1.0
e;3.95;4.01;ses;3.82;4.01;0.2796023770778397;3.3939713518181915;10.217063212178532;2.9175649;1.3009963;14;-1.0
b;4.01;4.07;bras;4.01;4.34;4.409139780035068;5.580931033330403;12.561128910536404;0.28459674;0.045232777;15;-1.0
R;4.07;4.18;bras;4.01;4.34;0.1086612429825166;3.919177416673403;12.561128910536404;0.28459674;0.045232777;15;-1.0
a;4.18;4.34;bras;4.01;4.34;0.0107789191403238;1.7664087494128329;12.561128910536404;0.28459674;0.045232777;15;-1.0
u;4.77;4.99;ouvre;4.77;5.18;4.409139780035068;6.699320083304942;12.638664325038485;3.299532;13.729614;16;-1.0
v;4.99;5.04;ouvre;4.77;5.18;0.0111755514943445;3.039086501177291;12.638664325038485;3.299532;13.729614;16;-1.0
R;5.04;5.18;ouvre;4.77;5.18;0.0024070488295827;1.1574936551684247;12.638664325038485;3.299532;13.729614;16;-1.0
s;5.18;5.31;ses;5.18;5.36;4.409139780035068;3.649530068972856;10.217063212178532;3.4818692;4.814987;17;-1.0
e;5.31;5.36;ses;5.18;5.36;0.2796023770778397;3.3939713518181915;10.217063212178532;3.4818692;4.814987;17;-1.0
l;5.36;5.41;larges;5.36;5.69;4.409139780035068;3.755260160408023;17.55939014161244;3.760178;9.142432;18;-1.0
a;5.41;5.52;larges;5.36;5.69;0.2258054342494332;1.7693520610671605;17.55939014161244;3.760178;9.142432;18;-1.0
R;5.52;5.56;larges;5.36;5.69;0.0061799205430713;1.7321662427546247;17.55939014161244;3.760178;9.142432;18;-1.0
Z;5.56;5.69;larges;5.36;5.69;0.0026021671754688;3.1466911680536804;17.55939014161244;3.760178;9.142432;18;-1.0
E;5.81;6.01;ailes;5.81;6.15;4.409139780035068;4.0795115792220695;15.577263780374343;3.2922716;5.175814;19;-1.0
l;6.01;6.15;ailes;5.81;6.15;0.2597697586726957;4.50722243512356;15.577263780374343;3.2922716;5.175814;19;-1.0
p;6.53;6.62;parcourt;6.53;7.03;4.409139780035068;3.5300816532272266;18.581178830377727;5.481398;12.3048525;20;-1.0
a;6.62;6.72;parcourt;6.53;7.03;0.3111310643031198;3.304444954031691;18.581178830377727;5.481398;12.3048525;20;-1.0
R;6.72;6.81;parcourt;6.53;7.03;0.0395702697469888;0.5137488120570814;18.581178830377727;5.481398;12.3048525;20;-1.0
k;6.81;6.85;parcourt;6.53;7.03;0.0336545255177201;7.108436878732469;18.581178830377727;5.481398;12.3048525;20;-1.0
u;6.85;6.99;parcourt;6.53;7.03;0.0011437414825344;1.8505968262365824;18.581178830377727;5.481398;12.3048525;20;-1.0
R;6.99;7.03;parcourt;6.53;7.03;0.0010818606129428;1.7666364608425495;18.581178830377727;5.481398;12.3048525;20;-1.0
t;7.03;7.11;tous;7.03;7.18;4.409139780035068;3.99745621873046;9.452982724463585;3.496837;8.199013;21;-1.0
u;7.11;7.18;tous;7.03;7.18;0.1801079616834537;3.278416644151088;9.452982724463585;3.496837;8.199013;21;-1.0
l;7.18;7.21;les;7.18;7.35;4.409139780035068;3.755260160408023;6.500718994619602;1.0917969;0.25224155;22;-1.0
e;7.21;7.35;les;7.18;7.35;0.2258054342494332;7.962187142842412;6.500718994619602;1.0917969;0.25224155;22;-1.0
l;7.35;7.38;lieux;7.35;7.6;4.409139780035068;3.755260160408023;14.938326603789577;3.8144457;5.942806;23;-1.0
i;7.38;7.5;lieux;7.35;7.6;0.2258054342494332;5.034828540808481;14.938326603789577;3.8144457;5.942806;23;-1.0
2;7.5;7.6;lieux;7.35;7.6;0.013450706648516;3.3428324235443454;14.938326603789577;3.8144457;5.942806;23;-1.0
k;7.6;7.67;que;7.6;7.71;4.409139780035068;4.296214187739292;7.781087842752731;5.5301547;6.7960463;24;-1.0
@;7.67;7.71;que;7.6;7.71;0.385222146039297;3.5707096236999503;7.781087842752731;5.5301547;6.7960463;24;-1.0
l;7.71;7.77;l';7.71;7.77;4.409139780035068;3.755260160408023;6.307238837151082;4.194751;3.994635;25;-1.0
a~;7.77;7.88;enfant;7.77;8.21;4.409139780035068;5.5578611269601135;11.61659938540503;3.5044215;4.3031607;26;-1.0
f;7.88;8.03;enfant;7.77;8.21;0.0808048183998187;2.2982200859619266;11.61659938540503;3.5044215;4.3031607;26;-1.0
a~;8.03;8.21;enfant;7.77;8.21;0.019272943675244;0.7738564630691308;11.61659938540503;3.5044215;4.3031607;26;-1.0
a;8.21;8.25;a;8.21;8.25;4.409139780035068;3.794193287838337;6.240432503543438;6.238289;1.8371172;27;1.0
E;8.25;8.46;aimés;8.25;8.8;4.409139780035068;4.0795115792220695;17.632253014971994;6.6785254;4.015105;28;1.0
m;8.46;8.57;aimés;8.25;8.8;0.2597697586726957;5.87473606913028;17.632253014971994;6.6785254;4.015105;28;1.0
e;8.57;8.8;aimés;8.25;8.8;0.0053510128575603;3.432442972073709;17.632253014971994;6.6785254;4.015105;28;1.0
e;9.19;9.32;et;9.19;9.32;4.409139780035068;4.815820454336018;6.126714125197328;4.14992;1.7949346;29;-1.0
k;9.32;9.41;cueille;9.32;9.58;4.409139780035068;4.296214187739292;18.84924005328635;8.256396;10.1373415;30;1.0
2;9.41;9.5;cueille;9.32;9.58;0.385222146039297;11.288457985572888;18.84924005328635;8.256396;10.1373415;30;1.0
j;9.5;9.58;cueille;9.32;9.58;0.001072570554725;2.305401556062341;18.84924005328635;8.256396;10.1373415;30;1.0
y;9.58;9.63;une;9.58;9.74;4.409139780035068;6.506829787871369;6.793146780513575;4.889104;6.148233;31;-1.0
n;9.63;9.74;une;9.58;9.74;0.0080592974642714;1.8264142311162208;6.793146780513575;4.889104;6.148233;31;-1.0
p;9.74;9.87;poignée;9.74;10.12;4.409139780035068;3.5300816532272266;16.24055464178046;2.943815;8.003234;32;-1.0
