phonemes;phoneme_onset;phoneme_offset;words;word_onset;word_offset;cohort_entropy;cohort_surprisal;word_freq;word_entropy_GPT;word_surprisal_GPT;word_number;entropy_class
l;0.52;0.59;Le;0.52;0.71;4.409139780035069;3.755260160408023;5.733517167758018;8.97444;9.832565;1;1.0
@;0.59;0.71;Le;0.52;0.71;0.2258054342494331;0.8278069017369155;5.733517167758018;8.97444;9.832565;1;1.0
b;0.71;0.75;ballon;0.71;1.2;4.409139780035069;5.580931033330403;15.013569896406837;11.116479;12.206375;2;1.0
a;0.75;0.9;ballon;0.71;1.2;0.1086612429825166;3.712846837800014;15.013569896406837;11.116479;12.206375;2;1.0
l;0.9;0.97;ballon;0.71;1.2;0.0114904548199226;3.056015765568063;15.013569896406837;11.116479;12.206375;2;1.0
o~;0.97;1.2;ballon;0.71;1.2;0.0022464386790081;3.2755643205246843;15.013569896406837;11.116479;12.206375;2;1.0
m;1.53;1.57;marchait;1.53;1.91;4.409139780035069;4.216572460592083;16.18230504620159;6.891529;15.733524;3;1.0
a;1.57;1.67;marchait;1.53;1.91;0.2093762024126659;3.509233286394972;16.18230504620159;6.891529;15.733524;3;1.0
R;1.67;1.74;marchait;1.53;1.91;0.0253246519836843;1.4364691092189286;16.18230504620159;6.891529;15.733524;3;1.0
S;1.74;1.85;marchait;1.53;1.91;0.0106350287431545;2.4364956084672893;16.18230504620159;6.891529;15.733524;3;1.0
E;1.85;1.91;marchait;1.53;1.91;0.0024427672069804;1.8339993994964647;16.18230504620159;6.891529;15.733524;3;1.0
a;1.91;2.05;avec;1.91;2.24;4.409139780035069;3.794193287838337;7.927597698041188;5.8731084;6.9823427;4;-1.0
v;2.05;2.1;avec;1.91;2.24;0.2290040949793378;1.660654159802574;7.927597698041188;5.8731084;6.9823427;4;-1.0
E;2.1;2.18;avec;1.91;2.24;0.0678906809470008;0.2283406347506437;7.927597698041188;5.8731084;6.9823427;4;-1.0
k;2.18;2.24;avec;1.91;2.24;0.0335738898199015;0.0185394136993344;7.927597698041188;5.8731084;6.9823427;4;-1.0
