phonemes;phoneme_onset;phoneme_offset;words;word_onset;word_offset;cohort_entropy;cohort_surprisal;word_freq;word_entropy_GPT;word_surprisal_GPT;word_number;entropy_class
i;0.01;0.11;Il;0.01;0.11;4.409139780035069;5.083806629288414;6.09201368788793;8.97444;11.021946;1;1.0
e;0.11;0.19;était;0.11;0.3;4.409139780035069;4.815820454336018;8.380035098324694;6.873826;5.702163;2;1.0
t;0.19;0.24;était;0.11;0.3;0.1119471762885376;0.2644813232583665;8.380035098324694;6.873826;5.702163;2;1.0
E;0.24;0.3;était;0.11;0.3;0.0887536094610283;0.1013428745692294;8.380035098324694;6.873826;5.702163;2;1.0
y;0.3;0.43;une;0.3;0.46;4.409139780035069;6.506829787871369;6.793146780513575;8.476179;5.865871;3;1.0
n;0.43;0.46;une;0.3;0.46;0.0080592974642714;1.826414231116221;6.793146780513575;8.476179;5.865871;3;1.0
f;0.46;0.63;fois;0.46;0.71;4.409139780035069;5.119777020762284;9.970234247411996;0.5101742;0.049912352;4;-1.0
w;0.63;0.67;fois;0.46;0.71;0.1443510723472446;1.981674478144335;9.970234247411996;0.5101742;0.049912352;4;-1.0
a;0.67;0.71;fois;0.46;0.71;0.0327275478438506;0.0152337500630231;9.970234247411996;0.5101742;0.049912352;4;-1.0
9~;0.71;0.79;un;0.71;0.79;4.409139780035069;6.148275262534002;6.151914241151773;4.6805477;2.5481343;5;-1.0
R;0.79;0.98;roi;0.79;1.16;4.409139780035069;5.400144139330587;12.39997254707214;8.596155;5.6295652;6;1.0
w;0.98;1.13;roi;0.79;1.16;0.0953729016601603;7.897322038837397;12.39997254707214;8.596155;5.6295652;6;1.0
a;1.13;1.16;roi;0.79;1.16;0.0014275525764924;0.9760464157217696;12.39997254707214;8.596155;5.6295652;6;1.0
k;1.16;1.23;qui;1.16;1.31;4.409139780035069;4.296214187739292;7.353269951835012;7.2030735;3.1687844;7;1.0
i;1.23;1.31;qui;1.16;1.31;0.385222146039297;1.5390330520759636;7.353269951835012;7.2030735;3.1687844;7;1.0
t;1.31;1.38;tomba;1.31;1.63;4.409139780035069;3.99745621873046;17.722765307877438;7.3028116;8.777952;8;1.0
o~;1.38;1.42;tomba;1.31;1.63;0.1801079616834537;6.9199734549472405;17.722765307877438;7.3028116;8.777952;8;1.0
b;1.42;1.55;tomba;1.31;1.63;0.0030719774414406;0.3476980841476429;17.722765307877438;7.3028116;8.777952;8;1.0
a;1.55;1.63;tomba;1.31;1.63;0.0025247419065825;4.383741798031949;17.722765307877438;7.3028116;8.777952;8;1.0
m;1.63;1.7;malade;1.63;2.16;4.409139780035069;4.216572460592083;12.34676748279347;3.749255;4.0056915;9;-1.0
a;1.7;1.76;malade;1.63;2.16;0.2093762024126659;3.509233286394972;12.34676748279347;3.749255;4.0056915;9;-1.0
l;1.76;1.86;malade;1.63;2.16;0.0253246519836843;2.7562735814526973;12.34676748279347;3.749255;4.0056915;9;-1.0
a;1.86;2.0;malade;1.63;2.16;0.0051710517207452;1.828245893312535;12.34676748279347;3.749255;4.0056915;9;-1.0
d;2.0;2.16;malade;1.63;2.16;0.002138272398295;0.5742155841484675;12.34676748279347;3.749255;4.0056915;9;-1.0
e;2.65;2.71;et;2.65;2.71;4.409139780035069;4.815820454336018;6.126714125197328;4.496436;2.3588781;10;-1.0
p;2.71;2.79;personne;2.71;3.14;4.409139780035069;3.5300816532272266;10.196798609034857;4.401873;15.30722;11;-1.0
E;2.79;2.83;personne;2.71;3.14;0.3111310643031198;4.618915031868996;10.196798609034857;4.401873;15.30722;11;-1.0
R;2.83;2.91;personne;2.71;3.14;0.0184821073247751;0.5308192718555578;10.196798609034857;4.401873;15.30722;11;-1.0
s;2.91;2.99;personne;2.71;3.14;0.0133046662498714;1.4432602071848246;10.196798609034857;4.401873;15.30722;11;-1.0
O;2.99;3.06;personne;2.71;3.14;0.0057928064097238;0.8565669507576091;10.196798609034857;4.401873;15.30722;11;-1.0
n;3.06;3.14;personne;2.71;3.14;0.0036517351106282;0.2314763373311431;10.196798609034857;4.401873;15.30722;11;-1.0
n;3.14;3.18;ne;3.14;3.24;4.409139780035069;4.963258404314488;6.077501058722607;1.89287;0.54448676;12;-1.0
@;3.18;3.24;ne;3.14;3.24;0.2947261550779699;1.6557989144332277;6.077501058722607;1.89287;0.54448676;12;-1.0
k;3.24;3.29;croyait;3.24;3.59;4.409139780035069;4.296214187739292;15.268059193107623;5.0463367;7.543812;13;-1.0
R;3.29;3.35;croyait;3.24;3.59;0.385222146039297;5.200267484062547;15.268059193107623;5.0463367;7.543812;13;-1.0
w;3.35;3.4;croyait;3.24;3.59;0.0181846271151068;1.2254626801580772;15.268059193107623;5.0463367;7.543812;13;-1.0
a;3.4;3.43;croyait;3.24;3.59;0.0076830794136166;0.0919793418523065;15.268059193107623;5.0463367;7.543812;13;-1.0
j;3.43;3.54;croyait;3.24;3.59;0.0084910894052819;1.3189040711614617;15.268059193107623;5.0463367;7.543812;13;-1.0
E;3.54;3.59;croyait;3.24;3.59;0.0043753264927208;2.016492835129774;15.268059193107623;5.0463367;7.543812;13;-1.0
k;3.59;3.67;qu'il;3.59;3.76;4.409139780035069;4.296214187739292;10.76702;3.7444417;2.67361;14;-1.0
y;3.67;3.7;qu'il;3.59;3.76;0.385222146039297;8.334905208781201;10.76702;3.7444417;2.67361;14;-1.0
i;3.7;3.73;qu'il;3.59;3.76;0.0030131537440004;7.474273787722556;10.76702;3.7444417;2.67361;14;-1.0
j;3.73;3.76;qu'il;3.59;3.76;0.0008333963937691;5.247927513443586;10.76702;3.7444417;2.67361;14;-1.0
p;3.76;3.87;pût;3.76;3.93;4.409139780035069;3.5300816532272266;20.782812691547377;5.2867684;2.9782329;15;-1.0
y;3.87;3.93;pût;3.76;3.93;0.3111310643031198;7.320677527000215;20.782812691547377;5.2867684;2.9782329;15;-1.0
k;3.93;4.01;conserver;3.93;4.54;4.409139780035069;4.296214187739292;17.352527418569597;6.1818757;11.508115;16;1.0
o~;4.01;4.1;conserver;3.93;4.54;0.385222146039297;3.8550514903652857;17.352527418569597;6.1818757;11.508115;16;1.0
s;4.1;4.21;conserver;3.93;4.54;0.0402219776573224;3.0407247155849992;17.352527418569597;6.1818757;11.508115;16;1.0
E;4.21;4.27;conserver;3.93;4.54;0.0069382134248903;1.3607215957840084;17.352527418569597;6.1818757;11.508115;16;1.0
R;4.27;4.38;conserver;3.93;4.54;0.0034144638966836;1.634380186031027;17.352527418569597;6.1818757;11.508115;16;1.0
v;4.38;4.45;conserver;3.93;4.54;0.0017568879139103;2.290083227147414;17.352527418569597;6.1818757;11.508115;16;1.0
e;4.45;4.54;conserver;3.93;4.54;0.0010189077233129;3.321324330475584;17.352527418569597;6.1818757;11.508115;16;1.0
l;4.54;4.66;la;4.54;4.69;4.409139780035069;3.755260160408023;5.814498696260873;4.606662;2.3772995;17;-1.0
a;4.66;4.69;la;4.54;4.69;0.2258054342494331;1.7693520610671596;5.814498696260873;4.606662;2.3772995;17;-1.0
v;4.69;4.76;vie;4.69;4.89;4.409139780035069;4.287664674052159;9.836505837411586;4.9460244;2.0464299;18;-1.0
i;4.76;4.89;vie;4.69;4.89;0.4276229925312583;4.895406208944401;9.836505837411586;4.9460244;2.0464299;18;-1.0
s;5.96;6.07;Ce;5.96;6.07;4.409139780035069;3.649530068972856;6.82455905822299;3.5793707;13.249782;19;-1.0
R;6.07;6.19;roi;6.07;6.37;4.409139780035069;5.400144139330587;12.39997254707214;6.7535763;8.355638;20;1.0
w;6.19;6.26;roi;6.07;6.37;0.0953729016601603;7.897322038837397;12.39997254707214;6.7535763;8.355638;20;1.0
a;6.26;6.37;roi;6.07;6.37;0.0014275525764924;0.9760464157217696;12.39997254707214;6.7535763;8.355638;20;1.0
a;6.37;6.46;avait;6.37;6.56;4.409139780035069;3.794193287838337;9.828107455548036;7.0101004;4.7220397;21;1.0
v;6.46;6.5;avait;6.37;6.56;0.2290040949793377;1.6606541598025744;9.828107455548036;7.0101004;4.7220397;21;1.0
E;6.5;6.56;avait;6.37;6.56;0.0678906809470009;0.2283406347506437;9.828107455548036;7.0101004;4.7220397;21;1.0
t;6.56;6.64;trois;6.56;6.83;4.409139780035069;3.99745621873046;11.209923023126795;7.819479;8.225368;22;1.0
R;6.64;6.69;trois;6.56;6.83;0.1801079616834537;1.0022456348444526;11.209923023126795;7.819479;8.225368;22;1.0
w;6.69;6.78;trois;6.56;6.83;0.0902105783922021;4.601997795433878;11.209923023126795;7.819479;8.225368;22;1.0
a;6.78;6.83;trois;6.56;6.83;0.0060563915393462;0.1194699088787671;11.209923023126795;7.819479;8.225368;22;1.0
f;6.83;6.97;fils;6.83;7.1;4.409139780035069;5.119777020762284;10.836666699879377;5.5237703;1.8461574;23;-1.0
i;6.97;7.1;fils;6.83;7.1;0.1443510723472446;1.8983860241084427;10.836666699879377;5.5237703;1.8461574;23;-1.0
k;7.25;7.31;qui;7.25;7.38;4.409139780035069;4.296214187739292;7.353269951835012;3.8403378;4.4686112;24;-1.0
i;7.31;7.38;qui;7.25;7.38;0.385222146039297;1.5390330520759636;7.353269951835012;3.8403378;4.4686112;24;-1.0
a~;7.38;7.51;en;7.38;7.51;4.409139780035069;5.5578611269601135;6.5845242063489335;6.662878;7.814473;25;1.0
R;7.51;7.58;ressentirent;7.51;8.13;4.409139780035069;5.400144139330587;10.76702;6.756215;15.132921;26;1.0
@;7.58;7.61;ressentirent;7.51;8.13;0.0953729016601603;1.4613692023253284;10.76702;6.756215;15.132921;26;1.0
s;7.61;7.72;ressentirent;7.51;8.13;0.0426173616487669;3.5077661055680887;10.76702;6.756215;15.132921;26;1.0
a~;7.72;7.81;ressentirent;7.51;8.13;0.0052794705904814;1.415980830895344;10.76702;6.756215;15.132921;26;1.0
t;7.81;7.93;ressentirent;7.51;8.13;0.0025509151876098;2.360074314330995;10.76702;6.756215;15.132921;26;1.0
i;7.93;7.99;ressentirent;7.51;8.13;0.0013190940028056;2.1165843428221995;10.76702;6.756215;15.132921;26;1.0
R;7.99;8.13;ressentirent;7.51;8.13;0.001043465620784;2.084133821870984;10.76702;6.756215;15.132921;26;1.0
9~;8.13;8.19;un;8.13;8.19;4.409139780035069;6.148275262534002;6.151914241151773;4.6656013;4.434307;27;-1.0
v;8.19;8.24;vif;8.19;8.5;4.409139780035069;4.287664674052159;16.263019205306275;6.583919;4.5780153;28;1.0
i;8.24;8.39;vif;8.19;8.5;0.4276229925312583;4.895406208944401;16.263019205306275;6.583919;4.5780153;28;1.0
f;8.39;8.5;vif;8.19;8.5;0.0288557624305797;8.3522038560844;16.263019205306275;6.583919;4.5780153;28;1.0
S;8.5;8.65;chagrin;8.5;9.03;4.409139780035069;6.628288652147766;15.319451805730719;4.2905135;2.0679665;29;-1.0
a;8.65;8.73;chagrin;8.5;9.03;0.0657095430179095;3.103105305359028;15.319451805730719;4.2905135;2.0679665;29;-1.0
g;8.73;8.8;chagrin;8.5;9.03;0.0099939483469352;7.441632662364401;15.319451805730719;4.2905135;2.0679665;29;-1.0
R;8.8;8.9;chagrin;8.5;9.03;0.0008913150912714;3.355708080210247;15.319451805730719;4.2905135;2.0679665;29;-1.0
9~;8.9;9.03;chagrin;8.5;9.03;0.0008914546571673;3.5671318006904924;15.319451805730719;4.2905135;2.0679665;29;-1.0
e;9.37;9.4;et;9.37;9.4;4.409139780035069;4.815820454336018;6.126714125197328;3.0640678;3.315627;30;-1.0
k;10.47;10.56;comme;10.47;10.66;4.409139780035069;4.296214187739292;8.27912606308575;6.41756;9.100859;31;1.0
O;10.56;10.6;comme;10.47;10.66;0.385222146039297;2.6740760742407703;8.27912606308575;6.41756;9.100859;31;1.0
m;10.6;10.66;comme;10.47;10.66;0.061112686963894;0.0444403121054927;8.27912606308575;6.41756;9.100859;31;1.0
i;10.66;10.76;ils;10.66;10.88;4.409139780035069;5.083806629288414;8.196409154968887;7.4390883;4.729628;32;1.0
l;10.76;10.79;ils;10.66;10.88;0.0463767441475439;5.529353029942596;8.196409154968887;7.4390883;4.729628;32;1.0
z;10.79;10.88;ils;10.66;10.88;0.0016070931557069;6.445594291341182;8.196409154968887;7.4390883;4.729628;32;1.0
a;10.88;10.91;allaient;10.88;11.04;4.409139780035069;3.794193287838337;15.734053379627522;6.4611454;8.570831;33;1.0
l;10.91;10.97;allaient;10.88;11.04;0.2290040949793377;2.822961061731484;15.734053379627522;6.4611454;8.570831;33;1.0
E;10.97;11.04;allaient;10.88;11.04;0.0407948838050389;3.0984225462905823;15.734053379627522;6.4611454;8.570831;33;1.0
d;11.04;11.1;dans;11.04;11.21;4.409139780035069;3.5165938505373138;7.597135041666439;6.1794643;7.5753884;34;1.0
