,onset,offset,phones
0,0.0,0.19,<p:>
1,0.19,0.29,9~
2,0.29,0.38,n
3,0.38,0.53,a~
4,0.53,0.62,Z
5,0.62,0.69,d
6,0.69,0.77,@
7,0.77,0.85,d
8,0.85,0.97,j
9,0.97,1.08,2
10,1.08,1.15,d
11,1.15,1.22,E
12,1.22,1.36,s
13,1.36,1.48,a~
14,1.48,1.59,s
15,1.59,1.63,y
16,1.63,1.7,R
17,1.7,1.75,l
18,1.75,1.82,a
19,1.82,1.97,t
20,1.97,2.21,E
21,2.21,2.24,R
22,2.24,2.61,<p:>
23,2.61,2.73,p
24,2.73,2.82,R
25,2.82,2.95,a~
26,2.95,2.98,l
27,2.98,3.1,a~
28,3.1,3.25,f
29,3.25,3.33,a~
30,3.33,3.45,m
31,3.45,3.68,O
32,3.68,3.72,d
33,3.72,3.82,a~
34,3.82,3.95,s
35,3.95,4.01,e
36,4.01,4.07,b
37,4.07,4.18,R
38,4.18,4.34,a
39,4.34,4.77,<p:>
40,4.77,4.99,u
41,4.99,5.04,v
42,5.04,5.18,R
43,5.18,5.31,s
44,5.31,5.36,e
45,5.36,5.41,l
46,5.41,5.52,a
47,5.52,5.56,R
48,5.56,5.69,Z
49,5.69,5.81,<p:>
50,5.81,6.01,E
51,6.01,6.15,l
52,6.15,6.53,<p:>
53,6.53,6.62,p
54,6.62,6.72,a
55,6.72,6.81,R
56,6.81,6.85,k
57,6.85,6.99,u
58,6.99,7.03,R
59,7.03,7.11,t
60,7.11,7.18,u
61,7.18,7.21,l
62,7.21,7.35,e
63,7.35,7.38,l
64,7.38,7.5,i
65,7.5,7.6,2
66,7.6,7.67,k
67,7.67,7.71,@
68,7.71,7.77,l
69,7.77,7.88,a~
70,7.88,8.03,f
71,8.03,8.21,a~
72,8.21,8.25,a
73,8.25,8.46,E
74,8.46,8.57,m
75,8.57,8.8,e
76,8.8,9.19,<p:>
77,9.19,9.32,e
78,9.32,9.41,k
79,9.41,9.5,2
80,9.5,9.58,j
81,9.58,9.63,y
82,9.63,9.74,n
83,9.74,9.87,p
84,9.87,9.92,w
85,9.92,9.95,a
86,9.95,10.07,J
87,10.07,10.12,e
88,10.12,10.16,d
89,10.16,10.22,@
90,10.22,10.38,f
91,10.38,10.43,l
92,10.43,10.61,9
93,10.61,10.64,R
94,10.64,11.49,<p:>
95,11.49,11.63,s
96,11.63,11.69,e
97,11.69,11.85,f
98,11.85,11.91,l
99,11.91,12.13,9
100,12.13,12.33,R
101,12.33,12.56,<p:>
102,12.56,12.64,t
103,12.64,12.71,u
104,12.71,12.77,d
105,12.77,12.86,2
106,12.86,12.92,l
107,12.92,13.06,e
108,13.06,13.09,p
109,13.09,13.21,O
110,13.21,13.27,R
111,13.27,13.32,t
112,13.32,13.38,o
113,13.38,13.49,b
114,13.49,13.6,o~
115,13.6,13.67,n
116,13.67,13.72,d
117,13.72,13.85,j
118,13.85,13.95,2
119,13.95,13.98,p
120,13.98,14.05,u
121,14.05,14.08,R
122,14.08,14.17,k
123,14.17,14.21,y
124,14.21,14.24,i
125,14.24,14.27,j
126,14.27,14.3,l
127,14.3,14.36,e
128,14.36,14.45,f
129,14.45,14.55,a
130,14.55,14.62,s
131,14.62,14.7,R
132,14.7,14.74,@
133,14.74,14.84,f
134,14.84,14.89,l
135,14.89,14.96,2
136,14.96,14.99,R
137,14.99,15.16,i
138,15.16,15.19,R
139,15.19,15.24,l
140,15.24,15.32,a
141,15.32,15.35,?
142,15.35,15.64,o
143,15.64,15.88,<p:>
144,15.88,15.99,p
145,15.99,16.02,l
146,16.02,16.12,y
147,16.12,16.16,b
148,16.16,16.33,E
149,16.33,16.39,l
150,16.39,16.43,@
151,16.43,16.46,k
152,16.46,16.51,@
153,16.51,16.63,s
154,16.63,16.67,y
155,16.67,16.72,R
156,16.72,16.78,l
157,16.78,16.89,a
158,16.89,16.97,t
159,16.97,17.23,E
160,17.23,17.4,R
161,17.4,18.21,<p:>
162,18.21,18.24,l
163,18.24,18.5,<p:>
164,18.5,18.59,b
165,18.59,18.72,o~
166,18.72,18.78,d
167,18.78,18.87,j
168,18.87,18.94,2
169,18.94,18.97,p
170,18.97,19.07,R
171,19.07,19.15,E
172,19.15,19.27,s
173,19.27,19.3,l
174,19.3,19.38,e
175,19.38,19.49,f
176,19.49,19.53,l
177,19.53,19.64,9
178,19.64,19.7,R
179,19.7,19.77,s
180,19.77,19.81,y
181,19.81,19.86,R
182,19.86,19.95,s
183,19.95,20.05,o~
184,20.05,20.11,n
185,20.11,20.16,k
186,20.16,20.46,9
187,20.46,20.52,R
188,20.52,20.93,<p:>
189,20.93,21.01,e
190,21.01,21.15,s
191,21.15,21.3,E
192,21.3,21.33,k
193,21.33,21.36,y
194,21.36,21.45,i
195,21.45,21.48,j
196,21.48,21.55,p
197,21.55,21.63,R
198,21.63,21.68,e
199,21.68,21.82,f
200,21.82,22.02,E
201,22.02,22.05,R
202,22.05,22.55,<p:>
