,onset,offset,phones
0,0.0,0.52,<p:>
1,0.52,0.59,l
2,0.59,0.71,@
3,0.71,0.75,b
4,0.75,0.9,a
5,0.9,0.97,l
6,0.97,1.2,o~
7,1.2,1.53,<p:>
8,1.53,1.57,m
9,1.57,1.67,a
10,1.67,1.74,R
11,1.74,1.85,S
12,1.85,1.91,E
13,1.91,2.05,a
14,2.05,2.1,v
15,2.1,2.18,E
16,2.18,2.24,k
17,2.24,2.32,y
18,2.32,2.36,n
19,2.36,2.45,a
20,2.45,2.6,s
21,2.6,2.69,y
22,2.69,2.75,R
23,2.75,2.92,a~
24,2.92,2.97,s
25,2.97,3.08,s
26,3.08,3.21,e~
27,3.21,3.24,g
28,3.24,3.4,y
29,3.4,3.43,l
30,3.43,3.55,j
31,3.55,3.73,E
32,3.73,3.76,R
33,3.76,4.18,<p:>
34,4.18,4.29,e
35,4.29,4.52,a
36,4.52,4.55,v
37,4.55,4.69,E
38,4.69,4.74,t
39,4.74,4.88,e~
40,4.88,5.0,a
41,5.0,5.11,s
42,5.11,5.18,p
43,5.18,5.29,E
44,5.29,5.37,m
45,5.37,5.45,a
46,5.45,5.51,J
47,5.51,5.66,i
48,5.66,5.83,f
49,5.83,5.99,i
50,5.99,6.1,k
51,6.1,6.74,<p:>
52,6.74,6.79,d
53,6.79,6.96,i
54,6.96,6.99,s
55,6.99,7.02,m
56,7.02,7.16,i
57,7.16,7.19,n
58,7.19,7.36,y
59,7.36,7.42,t
60,7.42,7.62,a~
61,7.62,7.65,v
62,7.65,7.76,i
63,7.76,7.83,R
64,7.83,8.06,o~
65,8.06,8.14,a
66,8.14,8.17,p
67,8.17,8.29,R
68,8.29,8.47,E
69,8.47,8.5,n
70,8.5,8.53,o
71,8.53,8.59,t
72,8.59,8.68,R
73,8.68,8.75,d
74,8.75,8.88,e
75,8.88,8.98,p
76,8.98,9.23,a
77,9.23,9.28,R
78,9.28,9.67,<p:>
79,9.67,9.72,l
80,9.72,9.82,@
81,9.82,9.85,b
82,9.85,9.97,a
83,9.97,10.03,R
84,10.03,10.12,o
85,10.12,10.2,m
86,10.2,10.35,E
87,10.35,10.41,t
88,10.41,10.46,R
89,10.46,10.68,e~
90,10.68,10.71,d
91,10.71,10.85,i
92,10.85,10.92,k
93,10.92,11.07,E
94,11.07,11.28,y
95,11.28,11.31,n
96,11.31,11.38,@
97,11.38,11.46,?
98,11.46,11.49,o
99,11.49,11.52,t
100,11.52,11.63,9
101,11.63,11.73,R
102,11.73,11.8,d
103,11.8,11.9,@
104,11.9,11.96,k
105,11.96,12.11,e~
106,12.11,12.22,z
107,12.22,12.31,<p:>
108,12.31,12.35,z
109,12.35,12.46,e
110,12.46,12.49,R
111,12.49,12.52,o
112,12.52,12.55,p
113,12.55,12.7,j
114,12.7,12.9,e
115,12.9,13.92,<p:>
116,13.92,13.97,l
117,13.97,14.08,@
118,14.08,14.17,t
119,14.17,14.34,a~
120,14.34,14.48,e
121,14.48,14.57,t
122,14.57,14.68,E
123,14.68,14.78,R
124,14.78,14.85,m
125,14.85,14.95,a
126,14.95,15.01,R
127,15.01,15.09,k
128,15.09,15.21,a
129,15.21,15.28,b
130,15.28,15.34,l
131,15.34,15.37,@
132,15.37,15.46,m
133,15.46,15.6,a~
134,15.6,15.73,b
135,15.73,15.97,o
136,15.97,16.43,<p:>
137,16.43,16.55,e
138,16.55,16.59,l
139,16.59,16.69,a
140,16.69,16.84,s
141,16.84,16.89,p
142,16.89,16.98,E
143,16.98,17.03,<p:>
144,17.03,17.12,d
145,17.12,17.17,l
146,17.17,17.26,a
147,17.26,17.32,<p:>
148,17.32,17.38,k
149,17.38,17.6,a~
150,17.6,17.64,p
151,17.64,17.8,a
152,17.8,17.96,J
153,17.96,18.03,<p:>
154,18.03,18.14,p
155,18.14,18.17,l
156,18.17,18.26,a
157,18.26,18.42,s
158,18.42,18.51,e
159,18.51,18.62,s
160,18.62,18.72,u
161,18.72,18.8,n
162,18.8,18.99,o
163,18.99,19.03,p
164,19.03,19.17,j
165,19.17,19.43,e
166,19.43,19.79,<p:>
167,19.79,20.03,9~
168,20.03,20.13,d
169,20.13,20.3,e
170,20.3,20.35,p
171,20.35,20.38,l
172,20.38,20.41,y
173,20.41,20.44,R
174,20.44,20.58,o
175,20.58,20.68,m
176,20.68,20.92,a~
177,20.92,20.98,t
178,20.98,21.11,i
179,21.11,21.22,k
180,21.22,21.29,<p:>
181,21.29,21.42,a
182,21.42,21.51,t
183,21.51,21.58,u
184,21.58,21.63,l
185,21.63,21.8,e
186,21.8,21.85,p
187,21.85,21.91,w
188,21.91,22.01,e~
189,22.01,22.08,d
190,22.08,22.11,v
191,22.11,22.52,y
192,22.52,22.76,<p:>
193,22.76,22.88,e
194,22.88,22.96,t
195,22.96,23.07,E
196,23.07,23.12,z
197,23.12,23.24,a
198,23.24,23.3,l
199,23.3,23.4,O
200,23.4,23.52,R
201,23.52,23.56,p
202,23.56,23.64,a
203,23.64,23.71,R
204,23.71,23.77,t
205,23.77,23.84,i
206,23.84,23.91,k
207,23.91,24.01,y
208,24.01,24.04,l
209,24.04,24.15,j
210,24.15,24.19,E
211,24.19,24.23,R
212,24.23,24.31,m
213,24.31,24.43,a~
214,24.43,24.57,s
215,24.57,24.67,y
216,24.67,24.74,b
217,24.74,24.77,l
218,24.77,25.01,i
