,onset,offset,phones
0,0.0,0.04,<p:>
1,0.04,0.11,p
2,0.11,0.19,H
3,0.19,0.26,i
4,0.26,0.41,i
5,0.41,0.5,<p:>
6,0.5,0.6,a~
7,0.6,0.73,f
8,0.73,0.78,y
9,0.78,0.85,R
10,0.85,0.94,t
11,0.94,1.01,u
12,1.01,1.09,t
13,1.09,1.14,R
14,1.14,1.17,w
15,1.17,1.22,a
16,1.22,1.37,a~
17,1.37,1.51,s
18,1.51,1.67,a~
19,1.67,1.74,b
20,1.74,1.78,l
21,1.78,1.88,@
22,1.88,2.07,<p:>
23,2.07,2.18,e
24,2.18,2.22,p
25,2.22,2.31,a
26,2.31,2.36,R
27,2.36,2.41,v
28,2.41,2.55,e~
29,2.55,2.58,R
30,2.58,2.61,d
31,2.61,2.75,a~
32,2.75,2.86,9~
33,2.86,2.94,p
34,2.94,3.03,E
35,3.03,3.18,i
36,3.18,3.31,a~
37,3.31,3.39,p
38,3.39,3.43,R
39,3.43,3.63,w
40,3.63,3.72,a
41,3.72,3.75,a
42,3.75,3.94,l
43,3.94,4.09499,a
44,4.09499,4.24998,f
45,4.24998,4.34,a
46,4.34,4.41,m
47,4.41,4.52,i
48,4.52,4.62,n
49,4.62,4.67,e
50,4.67,4.79,a
51,4.79,4.83,l
52,4.83,4.92,a
53,4.92,5.06,g
54,5.06,5.31,E
55,5.31,5.42,R
56,5.42,5.5,<p:>
57,5.5,5.58,e
58,5.58,5.62,d
59,5.62,5.74,o~
60,5.74,5.77,l
61,5.77,5.81,@
62,5.81,5.89,R
63,5.89,6.0,w
64,6.0,6.04,a
65,6.04,6.15,s
66,6.15,6.21,@
67,6.21,6.24,k
68,6.24,6.29,R
69,6.29,6.33,w
70,6.33,6.37,a
71,6.37,6.47,j
72,6.47,6.51,E
73,6.51,6.58,d
74,6.58,6.64,e
75,6.64,6.72,Z
76,6.72,6.79,a
77,6.79,6.88,p
78,6.88,6.93,R
79,6.93,6.98,E
80,6.98,7.01,d
81,7.01,7.14,s
82,7.14,7.21,y
83,7.21,7.29,k
84,7.29,7.33,o~
85,7.33,7.46,b
86,7.46,7.52,e
87,7.52,7.58,d
88,7.58,7.67,a~
89,7.67,7.74,s
90,7.74,7.85,p
91,7.85,7.99,e
92,7.99,8.05,R
93,8.05,8.19,i
94,8.19,8.26,l
95,8.26,8.51,<p:>
96,8.51,8.54,l
97,8.54,8.58,@
98,8.58,8.64,p
99,8.64,8.71,R
100,8.71,8.8,e~
101,8.8,8.91,s
102,8.91,8.96,a
103,8.96,9.0,l
104,9.0,9.04,a
105,9.04,9.19,S
106,9.19,9.31,e
107,9.31,9.34,l
108,9.34,9.37,H
109,9.37,9.4,i
110,9.4,9.51,o
111,9.51,9.66,s
112,9.66,9.71,i
113,9.71,9.8,t
114,9.8,9.93,o
115,9.93,9.99,e
