phonemes;phoneme_onset;phoneme_offset;words;word_onset;word_offset;cohort_entropy;cohort_surprisal;word_freq;word_entropy_GPT;word_surprisal_GPT;word_number
p;0.04;0.11;Puis;0.04;0.26;4.409139780035069;3.530081653227226;10.727692975189267;8.97444;16.406391;1
H;0.11;0.19;Puis;0.04;0.26;0.3111310643031198;7.655393076308873;10.727692975189267;8.97444;16.406391;1
i;0.19;0.26;Puis;0.04;0.26;0.0032984898761035;0.2658456278586869;10.727692975189267;8.97444;16.406391;1
i;0.26;0.41;ils;0.26;0.41;4.409139780035069;5.083806629288413;8.196409154968887;7.0399175;6.8281794;2
a~;0.5;0.6;s'en;0.5;0.6;4.409139780035069;5.5578611269601135;NAN;7.744884;4.4930897;3
f;0.6;0.73;furent;0.6;0.85;4.409139780035069;5.119777020762284;15.833277758530365;7.0220027;6.807298;4
y;0.73;0.78;furent;0.6;0.85;0.1443510723472446;6.287146212305613;15.833277758530365;7.0220027;6.807298;4
R;0.78;0.85;furent;0.6;0.85;0.0036857525810766;1.9380087372975665;15.833277758530365;7.0220027;6.807298;4
t;0.85;0.94;tous;0.85;1.01;4.409139780035069;3.99745621873046;9.452982724463585;6.7814164;2.2432804;5
u;0.94;1.01;tous;0.85;1.01;0.1801079616834537;3.278416644151088;9.452982724463585;6.7814164;2.2432804;5
t;1.01;1.09;trois;1.01;1.22;4.409139780035069;3.99745621873046;11.209923023126795;6.659052;4.551794;6
R;1.09;1.14;trois;1.01;1.22;0.1801079616834537;1.0022456348444526;11.209923023126795;6.659052;4.551794;6
w;1.14;1.17;trois;1.01;1.22;0.0902105783922021;4.601997795433878;11.209923023126795;6.659052;4.551794;6
a;1.17;1.22;trois;1.01;1.22;0.0060563915393462;0.1194699088787671;11.209923023126795;6.659052;4.551794;6
a~;1.22;1.37;ensemble;1.22;1.88;4.409139780035069;5.5578611269601135;11.637033354706213;7.330631;7.8552136;7
s;1.37;1.51;ensemble;1.22;1.88;0.0808048183998187;4.744122171036267;11.637033354706213;7.330631;7.8552136;7
a~;1.51;1.67;ensemble;1.22;1.88;0.0049378090425834;5.33543640084687;11.637033354706213;7.330631;7.8552136;7
b;1.67;1.74;ensemble;1.22;1.88;0.0009615264241333;3.089075331684092;11.637033354706213;7.330631;7.8552136;7
l;1.74;1.78;ensemble;1.22;1.88;0.0009128581751556;3.0061580626426387;11.637033354706213;7.330631;7.8552136;7
@;1.78;1.88;ensemble;1.22;1.88;0.0008333963937691;5.247927513443586;11.637033354706213;7.330631;7.8552136;7
e;2.07;2.18;et;2.07;2.18;4.409139780035069;4.815820454336018;6.126714125197328;5.2993846;5.4349313;8
p;2.18;2.22;parvinrent;2.18;2.58;4.409139780035069;3.530081653227226;24.4266688813221;8.108453;8.312452;9
a;2.22;2.31;parvinrent;2.18;2.58;0.3111310643031198;3.304444954031691;24.4266688813221;8.108453;8.312452;9
R;2.31;2.36;parvinrent;2.18;2.58;0.0395702697469887;0.5137488120570814;24.4266688813221;8.108453;8.312452;9
v;2.36;2.41;parvinrent;2.18;2.58;0.0336545255177201;6.762835408504446;24.4266688813221;8.108453;8.312452;9
e~;2.41;2.55;parvinrent;2.18;2.58;0.0012451387792861;4.922753653225534;24.4266688813221;8.108453;8.312452;9
R;2.55;2.58;parvinrent;2.18;2.58;0.0008342084147243;5.192861812719472;24.4266688813221;8.108453;8.312452;9
d;2.58;2.61;dans;2.58;2.75;4.409139780035069;3.5165938505373133;7.597135041666439;2.8729522;6.1128526;10
a~;2.61;2.75;dans;2.58;2.75;0.3164590011854679;7.062559624207903;7.597135041666439;2.8729522;6.1128526;10
9~;2.75;2.86;un;2.75;2.86;4.409139780035069;6.148275262534002;6.151914241151773;2.9150574;2.7812672;11
p;2.86;2.94;pays;2.86;3.18;4.409139780035069;3.530081653227226;12.120535970555366;7.195356;6.994506;12
E;2.94;3.03;pays;2.86;3.18;0.3111310643031198;4.618915031868996;12.120535970555366;7.195356;6.994506;12
i;3.03;3.18;pays;2.86;3.18;0.0184821073247751;2.699540556718285;12.120535970555366;7.195356;6.994506;12
a~;3.18;3.31;en;3.18;3.31;4.409139780035069;5.5578611269601135;6.5845242063489335;6.8696747;8.405119;13
p;3.31;3.39;proie;3.31;3.72;4.409139780035069;3.530081653227226;16.582747830033068;7.637699;4.004317;14
R;3.39;3.43;proie;3.31;3.72;0.3111310643031198;2.6666723586729733;16.582747830033068;7.637699;4.004317;14
w;3.43;3.63;proie;3.31;3.72;0.0650434435005669;10.571374917446546;16.582747830033068;7.637699;4.004317;14
a;3.63;3.72;proie;3.31;3.72;0.0008874183751377;3.4108046501566456;16.582747830033068;7.637699;4.004317;14
a;3.72;3.75;à;3.72;3.75;4.409139780035069;3.7941932878383366;6.209354846536233;2.1610394;0.8498643;15
l;3.75;3.94;la;3.75;4.09499;4.409139780035069;3.755260160408023;5.814498696260873;3.8052425;2.2005904;16
a;3.94;4.09499;la;3.75;4.09499;0.2258054342494331;1.7693520610671605;5.814498696260873;3.8052425;2.2005904;16
f;4.09499;4.24998;famine;4.09499;4.62;4.409139780035069;5.119777020762284;17.645309167797443;5.4552846;1.663771;17
a;4.24998;4.34;famine;4.09499;4.62;0.1443510723472446;3.4095690059351007;17.645309167797443;5.4552846;1.663771;17
m;4.34;4.41;famine;4.09499;4.62;0.018750768058533;1.2673039757734723;17.645309167797443;5.4552846;1.663771;17
i;4.41;4.52;famine;4.09499;4.62;0.0021719529212706;0.8246147258800398;17.645309167797443;5.4552846;1.663771;17
n;4.52;4.62;famine;4.09499;4.62;0.0019285753398708;5.772634385448702;17.645309167797443;5.4552846;1.663771;17
e;4.62;4.67;et;4.62;4.67;4.409139780035069;4.815820454336018;6.126714125197328;2.5398753;2.7561488;18
a;4.67;4.79;à;4.67;4.79;4.409139780035069;3.7941932878383366;6.209354846536233;3.807427;1.6696459;19
l;4.79;4.83;la;4.79;4.92;4.409139780035069;3.755260160408023;5.814498696260873;1.9744635;0.58593285;20
a;4.83;4.92;la;4.79;4.92;0.2258054342494331;1.7693520610671605;5.814498696260873;1.9744635;0.58593285;20
g;4.92;5.06;guerre;4.92;5.42;4.409139780035069;7.296423783610177;12.049322765665757;5.011121;2.4923215;21
E;5.06;5.31;guerre;4.92;5.42;0.0340556203406821;4.742535990499068;12.049322765665757;5.011121;2.4923215;21
R;5.31;5.42;guerre;4.92;5.42;0.0021480973090369;0.7339140089849252;12.049322765665757;5.011121;2.4923215;21
e;5.5;5.58;et;5.5;5.58;4.409139780035069;4.815820454336018;6.126714125197328;2.4870813;8.849092;22
d;5.58;5.62;dont;5.58;5.74;4.409139780035069;3.5165938505373133;11.979198163716354;5.7097974;3.8383918;23
o~;5.62;5.74;dont;5.58;5.74;0.3164590011854679;5.1082371986025485;11.979198163716354;5.7097974;3.8383918;23
l;5.74;5.77;le;5.74;5.81;4.409139780035069;3.755260160408023;5.733517167758018;3.8335211;2.5103173;24
@;5.77;5.81;le;5.74;5.81;0.2258054342494331;0.8278069017369164;5.733517167758018;3.8335211;2.5103173;24
R;5.81;5.89;roi;5.81;6.04;4.409139780035069;5.400144139330587;12.39997254707214;6.722661;3.716969;25
w;5.89;6.0;roi;5.81;6.04;0.0953729016601603;7.897322038837397;12.39997254707214;6.722661;3.716969;25
a;6.0;6.04;roi;5.81;6.04;0.0014275525764924;0.9760464157217696;12.39997254707214;6.722661;3.716969;25
