phonemes,phoneme_onset,phoneme_offset,words,word_onset,word_offset
9~,0.19,0.29,un,0.19,0.38
n,0.29,0.38,un,0.19,0.38
a~,0.38,0.53,ange,0.38,0.62
Z,0.53,0.62,ange,0.38,0.62
d,0.62,0.69,de,0.62,0.77
@,0.69,0.77,de,0.62,0.77
d,0.77,0.85,Dieu,0.77,1.08
j,0.85,0.97,Dieu,0.77,1.08
2,0.97,1.08,Dieu,0.77,1.08
d,1.08,1.15,descend,1.08,1.48
E,1.15,1.22,descend,1.08,1.48
s,1.22,1.36,descend,1.08,1.48
a~,1.36,1.48,descend,1.08,1.48
s,1.48,1.59,sur,1.48,1.7
y,1.59,1.63,sur,1.48,1.7
R,1.63,1.7,sur,1.48,1.7
l,1.7,1.75,la,1.7,1.82
a,1.75,1.82,la,1.7,1.82
t,1.82,1.97,terre,1.82,2.24
E,1.97,2.21,terre,1.82,2.24
R,2.21,2.24,terre,1.82,2.24
p,2.61,2.73,prend,2.61,2.95
R,2.73,2.82,prend,2.61,2.95
a~,2.82,2.95,prend,2.61,2.95
l,2.95,2.98,l’,2.95,2.98
a~,2.98,3.1,enfant,2.98,3.33
f,3.1,3.25,enfant,2.98,3.33
a~,3.25,3.33,enfant,2.98,3.33
m,3.33,3.45,mort,3.33,3.68
O,3.45,3.68,mort,3.33,3.68
d,3.68,3.72,dans,3.68,3.82
a~,3.72,3.82,dans,3.68,3.82
s,3.82,3.95,ses,3.82,4.01
e,3.95,4.01,ses,3.82,4.01
b,4.01,4.07,bras,4.01,4.34
R,4.07,4.18,bras,4.01,4.34
a,4.18,4.34,bras,4.01,4.34
u,4.77,4.99,ouvre,4.77,5.18
v,4.99,5.04,ouvre,4.77,5.18
R,5.04,5.18,ouvre,4.77,5.18
s,5.18,5.31,ses,5.18,5.36
e,5.31,5.36,ses,5.18,5.36
l,5.36,5.41,larges,5.36,5.69
a,5.41,5.52,larges,5.36,5.69
R,5.52,5.56,larges,5.36,5.69
Z,5.56,5.69,larges,5.36,5.69
E,5.81,6.01,ailes,5.81,6.15
l,6.01,6.15,ailes,5.81,6.15
p,6.53,6.62,parcourt,6.53,7.03
a,6.62,6.72,parcourt,6.53,7.03
R,6.72,6.81,parcourt,6.53,7.03
k,6.81,6.85,parcourt,6.53,7.03
u,6.85,6.99,parcourt,6.53,7.03
R,6.99,7.03,parcourt,6.53,7.03
t,7.03,7.11,tous,7.03,7.18
u,7.11,7.18,tous,7.03,7.18
l,7.18,7.21,les,7.18,7.35
e,7.21,7.35,les,7.18,7.35
l,7.35,7.38,lieux,7.35,7.6
i,7.38,7.5,lieux,7.35,7.6
2,7.5,7.6,lieux,7.35,7.6
k,7.6,7.67,que,7.6,7.71
@,7.67,7.71,que,7.6,7.71
l,7.71,7.77,l’,7.71,7.77
a~,7.77,7.88,enfant,7.77,8.21
f,7.88,8.03,enfant,7.77,8.21
a~,8.03,8.21,enfant,7.77,8.21
a,8.21,8.25,a,8.21,8.25
E,8.25,8.46,aimés,8.25,8.8
m,8.46,8.57,aimés,8.25,8.8
e,8.57,8.8,aimés,8.25,8.8
e,9.19,9.32,et,9.19,9.32
k,9.32,9.41,cueille,9.32,9.58
2,9.41,9.5,cueille,9.32,9.58
j,9.5,9.58,cueille,9.32,9.58
y,9.58,9.63,une,9.58,9.74
n,9.63,9.74,une,9.58,9.74
p,9.74,9.87,poignée,9.74,10.12
w,9.87,9.92,poignée,9.74,10.12
a,9.92,9.95,poignée,9.74,10.12
J,9.95,10.07,poignée,9.74,10.12
e,10.07,10.12,poignée,9.74,10.12
d,10.12,10.16,de,10.12,10.22
@,10.16,10.22,de,10.12,10.22
f,10.22,10.38,fleurs,10.22,10.64
l,10.38,10.43,fleurs,10.22,10.64
9,10.43,10.61,fleurs,10.22,10.64
R,10.61,10.64,fleurs,10.22,10.64
s,11.49,11.63,Ces,11.49,11.69
e,11.63,11.69,Ces,11.49,11.69
f,11.69,11.85,fleurs,11.69,12.33
l,11.85,11.91,fleurs,11.69,12.33
9,11.91,12.13,fleurs,11.69,12.33
R,12.13,12.33,fleurs,11.69,12.33
t,12.56,12.64,tous,12.56,12.71
u,12.64,12.71,tous,12.56,12.71
d,12.71,12.77,deux,12.71,12.86
2,12.77,12.86,deux,12.71,12.86
l,12.86,12.92,les,12.86,13.06
e,12.92,13.06,les,12.86,13.06
p,13.06,13.09,portent,13.06,13.32
O,13.09,13.21,portent,13.06,13.32
R,13.21,13.27,portent,13.06,13.32
t,13.27,13.32,portent,13.06,13.32
o,13.32,13.38,au,13.32,13.38
b,13.38,13.49,bon,13.38,13.67
o~,13.49,13.6,bon,13.38,13.67
n,13.6,13.67,bon,13.38,13.67
d,13.67,13.72,Dieu,13.67,13.95
j,13.72,13.85,Dieu,13.67,13.95
2,13.85,13.95,Dieu,13.67,13.95
p,13.95,13.98,pour,13.95,14.08
u,13.98,14.05,pour,13.95,14.08
R,14.05,14.08,pour,13.95,14.08
k,14.08,14.17,qu’il,14.08,14.27
y,14.17,14.21,qu’il,14.08,14.27
i,14.21,14.24,qu’il,14.08,14.27
j,14.24,14.27,qu’il,14.08,14.27
l,14.27,14.3,les,14.27,14.36
e,14.3,14.36,les,14.27,14.36
f,14.36,14.45,fasse,14.36,14.62
a,14.45,14.55,fasse,14.36,14.62
s,14.55,14.62,fasse,14.36,14.62
R,14.62,14.7,refleurir,14.62,15.19
