phonemes,phoneme_onset,phoneme_offset,words,word_onset,word_offset
l,0.52,0.59,Le,0.52,0.71
@,0.59,0.71,Le,0.52,0.71
b,0.71,0.75,ballon,0.71,1.2
a,0.75,0.9,ballon,0.71,1.2
l,0.9,0.97,ballon,0.71,1.2
o~,0.97,1.2,ballon,0.71,1.2
m,1.53,1.57,marchait,1.53,1.91
a,1.57,1.67,marchait,1.53,1.91
R,1.67,1.74,marchait,1.53,1.91
S,1.74,1.85,marchait,1.53,1.91
E,1.85,1.91,marchait,1.53,1.91
a,1.91,2.05,avec,1.91,2.24
v,2.05,2.1,avec,1.91,2.24
E,2.1,2.18,avec,1.91,2.24
k,2.18,2.24,avec,1.91,2.24
y,2.24,2.32,une,2.24,2.36
n,2.32,2.36,une,2.24,2.36
a,2.36,2.45,assurance,2.36,2.97
s,2.45,2.6,assurance,2.36,2.97
y,2.6,2.69,assurance,2.36,2.97
R,2.69,2.75,assurance,2.36,2.97
a~,2.75,2.92,assurance,2.36,2.97
s,2.92,2.97,assurance,2.36,2.97
s,2.97,3.08,singulière,2.97,3.76
e~,3.08,3.21,singulière,2.97,3.76
g,3.21,3.24,singulière,2.97,3.76
y,3.24,3.4,singulière,2.97,3.76
l,3.4,3.43,singulière,2.97,3.76
j,3.43,3.55,singulière,2.97,3.76
E,3.55,3.73,singulière,2.97,3.76
R,3.73,3.76,singulière,2.97,3.76
e,4.18,4.29,et,4.18,4.29
a,4.29,4.52,avait,4.29,4.74
v,4.52,4.55,avait,4.29,4.74
E,4.55,4.69,avait,4.29,4.74
t,4.69,4.74,avait,4.29,4.74
e~,4.74,4.88,un,4.74,4.88
a,4.88,5.0,aspect,4.88,5.29
s,5.0,5.11,aspect,4.88,5.29
p,5.11,5.18,aspect,4.88,5.29
E,5.18,5.29,aspect,4.88,5.29
m,5.29,5.37,magnifique,5.29,6.1
a,5.37,5.45,magnifique,5.29,6.1
J,5.45,5.51,magnifique,5.29,6.1
i,5.51,5.66,magnifique,5.29,6.1
f,5.66,5.83,magnifique,5.29,6.1
i,5.83,5.99,magnifique,5.29,6.1
k,5.99,6.1,magnifique,5.29,6.1
d,6.74,6.79,Dix,6.74,6.99
i,6.79,6.96,Dix,6.74,6.99
s,6.96,6.99,Dix,6.74,6.99
m,6.99,7.02,minutes,6.99,7.42
i,7.02,7.16,minutes,6.99,7.42
n,7.16,7.19,minutes,6.99,7.42
y,7.19,7.36,minutes,6.99,7.42
t,7.36,7.42,minutes,6.99,7.42
a~,7.42,7.62,environ,7.42,8.06
v,7.62,7.65,environ,7.42,8.06
i,7.65,7.76,environ,7.42,8.06
R,7.76,7.83,environ,7.42,8.06
o~,7.83,8.06,environ,7.42,8.06
a,8.06,8.14,après,8.06,8.47
p,8.14,8.17,après,8.06,8.47
R,8.17,8.29,après,8.06,8.47
E,8.29,8.47,après,8.06,8.47
n,8.47,8.5,notre,8.47,8.68
o,8.5,8.53,notre,8.47,8.68
t,8.53,8.59,notre,8.47,8.68
R,8.59,8.68,notre,8.47,8.68
d,8.68,8.75,départ,8.68,9.28
e,8.75,8.88,départ,8.68,9.28
p,8.88,8.98,départ,8.68,9.28
a,8.98,9.23,départ,8.68,9.28
R,9.23,9.28,départ,8.68,9.28
l,9.67,9.72,le,9.67,9.82
@,9.72,9.82,le,9.67,9.82
b,9.82,9.85,baromètre,9.82,10.46
a,9.85,9.97,baromètre,9.82,10.46
R,9.97,10.03,baromètre,9.82,10.46
o,10.03,10.12,baromètre,9.82,10.46
m,10.12,10.2,baromètre,9.82,10.46
E,10.2,10.35,baromètre,9.82,10.46
t,10.35,10.41,baromètre,9.82,10.46
R,10.41,10.46,baromètre,9.82,10.46
e~,10.46,10.68,indiquait,10.46,11.07
d,10.68,10.71,indiquait,10.46,11.07
i,10.71,10.85,indiquait,10.46,11.07
k,10.85,10.92,indiquait,10.46,11.07
E,10.92,11.07,indiquait,10.46,11.07
y,11.07,11.28,une,11.07,11.38
n,11.28,11.31,une,11.07,11.38
@,11.31,11.38,une,11.07,11.38
?,11.38,11.46,hauteur,11.38,11.73
o,11.46,11.49,hauteur,11.38,11.73
t,11.49,11.52,hauteur,11.38,11.73
9,11.52,11.63,hauteur,11.38,11.73
R,11.63,11.73,hauteur,11.38,11.73
d,11.73,11.8,de,11.73,11.9
@,11.8,11.9,de,11.73,11.9
k,11.9,11.96,quinze,11.9,12.22
e~,11.96,12.11,quinze,11.9,12.22
z,12.11,12.22,quinze,11.9,12.22
z,12.31,12.35,zéro,12.31,12.52
e,12.35,12.46,zéro,12.31,12.52
R,12.46,12.49,zéro,12.31,12.52
o,12.49,12.52,zéro,12.31,12.52
p,12.52,12.55,pieds,12.52,12.9
j,12.55,12.7,pieds,12.52,12.9
e,12.7,12.9,pieds,12.52,12.9
l,13.92,13.97,Le,13.92,14.08
@,13.97,14.08,Le,13.92,14.08
t,14.08,14.17,temps,14.08,14.34
a~,14.17,14.34,temps,14.08,14.34
e,14.34,14.48,était,14.34,14.68
t,14.48,14.57,était,14.34,14.68
E,14.57,14.68,était,14.34,14.68
R,14.68,14.78,remarquablement,14.68,15.6
m,14.78,14.85,remarquablement,14.68,15.6
a,14.85,14.95,remarquablement,14.68,15.6
R,14.95,15.01,remarquablement,14.68,15.6
k,15.01,15.09,remarquablement,14.68,15.6
a,15.09,15.21,remarquablement,14.68,15.6
b,15.21,15.28,remarquablement,14.68,15.6
l,15.28,15.34,remarquablement,14.68,15.6
@,15.34,15.37,remarquablement,14.68,15.6
m,15.37,15.46,remarquablement,14.68,15.6
a~,15.46,15.6,remarquablement,14.68,15.6
b,15.6,15.73,beau,15.6,15.97
o,15.73,15.97,beau,15.6,15.97
e,16.43,16.55,et,16.43,16.55
l,16.55,16.59,l,16.55,16.59
a,16.59,16.69,aspect,16.59,16.98
s,16.69,16.84,aspect,16.59,16.98
p,16.84,16.89,aspect,16.59,16.98
E,16.89,16.98,aspect,16.59,16.98
d,17.03,17.12,de,17.03,17.12
l,17.12,17.17,la,17.12,17.26
a,17.17,17.26,la,17.12,17.26
k,17.32,17.38,campagne,17.32,17.96
a~,17.38,17.6,campagne,17.32,17.96
p,17.6,17.64,campagne,17.32,17.96
a,17.64,17.8,campagne,17.32,17.96
J,17.8,17.96,campagne,17.32,17.96
p,18.03,18.14,placée,18.03,18.51
l,18.14,18.17,placée,18.03,18.51
a,18.17,18.26,placée,18.03,18.51
s,18.26,18.42,placée,18.03,18.51
e,18.42,18.51,placée,18.03,18.51
s,18.51,18.62,sous,18.51,18.72
u,18.62,18.72,sous,18.51,18.72
n,18.72,18.8,nos,18.72,18.99
o,18.8,18.99,nos,18.72,18.99
p,18.99,19.03,pieds,18.99,19.43
j,19.03,19.17,pieds,18.99,19.43
e,19.17,19.43,pieds,18.99,19.43
9~,19.79,20.03,un,19.79,20.03
d,20.03,20.13,des,20.03,20.3
e,20.13,20.3,des,20.03,20.3
p,20.3,20.35,plus,20.3,20.41
l,20.35,20.38,plus,20.3,20.41
y,20.38,20.41,plus,20.3,20.41
R,20.41,20.44,romantiques,20.41,21.22
o,20.44,20.58,romantiques,20.41,21.22
m,20.58,20.68,romantiques,20.41,21.22
a~,20.68,20.92,romantiques,20.41,21.22
t,20.92,20.98,romantiques,20.41,21.22
i,20.98,21.11,romantiques,20.41,21.22
k,21.11,21.22,romantiques,20.41,21.22
a,21.29,21.42,à,21.29,21.42
t,21.42,21.51,tous,21.42,21.58
u,21.51,21.58,tous,21.42,21.58
l,21.58,21.63,les,21.58,21.8
e,21.63,21.8,les,21.58,21.8
p,21.8,21.85,points,21.8,22.01
w,21.85,21.91,points,21.8,22.01
e~,21.91,22.01,points,21.8,22.01
d,22.01,22.08,de,22.01,22.08
v,22.08,22.11,vue,22.08,22.52
y,22.11,22.52,vue,22.08,22.52
e,22.76,22.88,était,22.76,23.12
t,22.88,22.96,était,22.76,23.12
E,22.96,23.07,était,22.76,23.12
z,23.07,23.12,était,22.76,23.12
a,23.12,23.24,alors,23.12,23.52
l,23.24,23.3,alors,23.12,23.52
O,23.3,23.4,alors,23.12,23.52
R,23.4,23.52,alors,23.12,23.52
p,23.52,23.56,particulièrement,23.52,24.43
a,23.56,23.64,particulièrement,23.52,24.43
R,23.64,23.71,particulièrement,23.52,24.43
t,23.71,23.77,particulièrement,23.52,24.43
i,23.77,23.84,particulièrement,23.52,24.43
k,23.84,23.91,particulièrement,23.52,24.43
y,23.91,24.01,particulièrement,23.52,24.43
l,24.01,24.04,particulièrement,23.52,24.43
j,24.04,24.15,particulièrement,23.52,24.43
E,24.15,24.19,particulièrement,23.52,24.43
R,24.19,24.23,particulièrement,23.52,24.43
m,24.23,24.31,particulièrement,23.52,24.43
a~,24.31,24.43,particulièrement,23.52,24.43
s,24.43,24.57,sublime,24.43,25.2
