phonemes,phoneme_onset,phoneme_offset,words,word_onset,word_offset
p,0.04,0.11,Puis,0.04,0.26
H,0.11,0.19,Puis,0.04,0.26
i,0.19,0.26,Puis,0.04,0.26
i,0.26,0.41,ils,0.26,0.41
a~,0.5,0.6,s’en,0.5,0.6
f,0.6,0.73,furent,0.6,0.85
y,0.73,0.78,furent,0.6,0.85
R,0.78,0.85,furent,0.6,0.85
t,0.85,0.94,tous,0.85,1.01
u,0.94,1.01,tous,0.85,1.01
t,1.01,1.09,trois,1.01,1.22
R,1.09,1.14,trois,1.01,1.22
w,1.14,1.17,trois,1.01,1.22
a,1.17,1.22,trois,1.01,1.22
a~,1.22,1.37,ensemble,1.22,1.88
s,1.37,1.51,ensemble,1.22,1.88
a~,1.51,1.67,ensemble,1.22,1.88
b,1.67,1.74,ensemble,1.22,1.88
l,1.74,1.78,ensemble,1.22,1.88
@,1.78,1.88,ensemble,1.22,1.88
e,2.07,2.18,et,2.07,2.18
p,2.18,2.22,parvinrent,2.18,2.58
a,2.22,2.31,parvinrent,2.18,2.58
R,2.31,2.36,parvinrent,2.18,2.58
v,2.36,2.41,parvinrent,2.18,2.58
e~,2.41,2.55,parvinrent,2.18,2.58
R,2.55,2.58,parvinrent,2.18,2.58
d,2.58,2.61,dans,2.58,2.75
a~,2.61,2.75,dans,2.58,2.75
9~,2.75,2.86,un,2.75,2.86
p,2.86,2.94,pays,2.86,3.18
E,2.94,3.03,pays,2.86,3.18
i,3.03,3.18,pays,2.86,3.18
a~,3.18,3.31,en,3.18,3.31
p,3.31,3.39,proie,3.31,3.72
R,3.39,3.43,proie,3.31,3.72
w,3.43,3.63,proie,3.31,3.72
a,3.63,3.72,proie,3.31,3.72
a,3.72,3.75,à,3.72,3.75
l,3.75,3.94,la,3.75,4.09499
a,3.94,4.09499,la,3.75,4.09499
f,4.09499,4.24998,famine,4.09499,4.62
a,4.24998,4.34,famine,4.09499,4.62
m,4.34,4.41,famine,4.09499,4.62
i,4.41,4.52,famine,4.09499,4.62
n,4.52,4.62,famine,4.09499,4.62
e,4.62,4.67,et,4.62,4.67
a,4.67,4.79,à,4.67,4.79
l,4.79,4.83,la,4.79,4.92
a,4.83,4.92,la,4.79,4.92
g,4.92,5.06,guerre,4.92,5.42
E,5.06,5.31,guerre,4.92,5.42
R,5.31,5.42,guerre,4.92,5.42
e,5.5,5.58,et,5.5,5.58
d,5.58,5.62,dont,5.58,5.74
o~,5.62,5.74,dont,5.58,5.74
l,5.74,5.77,le,5.74,5.81
@,5.77,5.81,le,5.74,5.81
R,5.81,5.89,roi,5.81,6.04
w,5.89,6.0,roi,5.81,6.04
a,6.0,6.04,roi,5.81,6.04
s,6.04,6.15,se,6.04,6.21
@,6.15,6.21,se,6.04,6.21
k,6.21,6.24,croyait,6.21,6.51
R,6.24,6.29,croyait,6.21,6.51
w,6.29,6.33,croyait,6.21,6.51
a,6.33,6.37,croyait,6.21,6.51
j,6.37,6.47,croyait,6.21,6.51
E,6.47,6.51,croyait,6.21,6.51
d,6.51,6.58,déjà,6.51,6.79
e,6.58,6.64,déjà,6.51,6.79
Z,6.64,6.72,déjà,6.51,6.79
a,6.72,6.79,déjà,6.51,6.79
p,6.79,6.88,près,6.79,6.98
R,6.88,6.93,près,6.79,6.98
E,6.93,6.98,près,6.79,6.98
d,6.98,7.01,de,6.98,7.01
s,7.01,7.14,succomber,7.01,7.52
y,7.14,7.21,succomber,7.01,7.52
k,7.21,7.29,succomber,7.01,7.52
o~,7.29,7.33,succomber,7.01,7.52
b,7.33,7.46,succomber,7.01,7.52
e,7.46,7.52,succomber,7.01,7.52
d,7.52,7.58,dans,7.52,7.67
a~,7.58,7.67,dans,7.52,7.67
s,7.67,7.74,ce,7.67,7.74
p,7.74,7.85,péril,7.74,8.26
e,7.85,7.99,péril,7.74,8.26
R,7.99,8.05,péril,7.74,8.26
i,8.05,8.19,péril,7.74,8.26
l,8.19,8.26,péril,7.74,8.26
l,8.51,8.54,Le,8.51,8.58
@,8.54,8.58,Le,8.51,8.58
p,8.58,8.64,prince,8.58,8.91
R,8.64,8.71,prince,8.58,8.91
e~,8.71,8.8,prince,8.58,8.91
s,8.8,8.91,prince,8.58,8.91
a,8.91,8.96,alla,8.91,9.04
l,8.96,9.0,alla,8.91,9.04
a,9.0,9.04,alla,8.91,9.04
S,9.04,9.19,chez,9.04,9.31
e,9.19,9.31,chez,9.04,9.31
l,9.31,9.34,lui,9.31,9.4
H,9.34,9.37,lui,9.31,9.4
i,9.37,9.4,lui,9.31,9.4
o,9.4,9.51,aussitôt,9.4,9.93
s,9.51,9.66,aussitôt,9.4,9.93
i,9.66,9.71,aussitôt,9.4,9.93
t,9.71,9.8,aussitôt,9.4,9.93
o,9.8,9.93,aussitôt,9.4,9.93
e,9.93,9.99,et,9.93,9.99
l,9.99,10.08,lui,9.99,10.19
H,10.08,10.12,lui,9.99,10.19
i,10.12,10.19,lui,9.99,10.19
d,10.19,10.27,donna,10.19,10.49
o,10.27,10.34,donna,10.19,10.49
n,10.34,10.43,donna,10.19,10.49
a,10.43,10.49,donna,10.19,10.49
l,10.49,10.52,le,10.49,10.65
@,10.52,10.65,le,10.49,10.65
p,10.65,10.71,pain,10.65,10.84
e~,10.71,10.84,pain,10.65,10.84
a,10.84,10.89,avec,10.84,11.08
v,10.89,10.92,avec,10.84,11.08
E,10.92,10.97,avec,10.84,11.08
k,10.97,11.08,avec,10.84,11.08
l,11.08,11.12,lequel,11.08,11.37
@,11.12,11.19,lequel,11.08,11.37
k,11.19,11.28,lequel,11.08,11.37
E,11.28,11.32,lequel,11.08,11.37
l,11.32,11.37,lequel,11.08,11.37
f,11.37,11.51,fut,11.37,11.57
y,11.51,11.57,fut,11.37,11.57
a,11.62,11.67,apaisée,11.62,12.02
p,11.67,11.78,apaisée,11.62,12.02
E,11.78,11.85,apaisée,11.62,12.02
z,11.85,11.95,apaisée,11.62,12.02
e,11.95,12.02,apaisée,11.62,12.02
l,12.02,12.06,la,12.02,12.13
a,12.06,12.13,la,12.02,12.13
f,12.13,12.26,faim,12.13,12.61
9~,12.26,12.36,faim,12.13,12.61
n,12.36,12.61,faim,12.13,12.61
d,12.61,12.69,de,12.61,12.75
@,12.69,12.75,de,12.61,12.75
t,12.75,12.82,tout,12.75,12.88
u,12.82,12.88,tout,12.75,12.88
l,12.88,12.91,le,12.88,12.91
R,12.91,12.99,royaume,12.91,13.56
w,12.99,13.11,royaume,12.91,13.56
a,13.11,13.15,royaume,12.91,13.56
j,13.15,13.28,royaume,12.91,13.56
o,13.28,13.4,royaume,12.91,13.56
m,13.4,13.56,royaume,12.91,13.56
a~,13.85,13.95,ensuite,13.85,14.29
s,13.95,14.04,ensuite,13.85,14.29
H,14.04,14.13,ensuite,13.85,14.29
i,14.13,14.23,ensuite,13.85,14.29
t,14.23,14.29,ensuite,13.85,14.29
i,14.43,14.49,il,14.43,14.49
l,14.49,14.56,lui,14.49,14.69
H,14.56,14.63,lui,14.49,14.69
i,14.63,14.69,lui,14.49,14.69
d,14.69,14.74,donna,14.69,14.91
o,14.74,14.8,donna,14.69,14.91
n,14.8,14.86,donna,14.69,14.91
a,14.86,14.91,donna,14.69,14.91
s,14.91,15.03,son,14.91,15.19
o~,15.03,15.19,son,14.91,15.19
e,15.19,15.34,épée,15.19,15.52
p,15.34,15.39,épée,15.19,15.52
e,15.39,15.52,épée,15.19,15.52
e,15.52,15.62,et,15.52,15.62
l,15.79,15.86,le,15.79,15.89
@,15.86,15.89,le,15.79,15.89
R,15.89,16.01,roi,15.89,16.16
w,16.01,16.13,roi,15.89,16.16
a,16.13,16.16,roi,15.89,16.16
E,16.16,16.19,ayant,16.16,16.41
j,16.19,16.32,ayant,16.16,16.41
a~,16.32,16.41,ayant,16.16,16.41
b,16.41,16.47,battu,16.41,16.75
a,16.47,16.53,battu,16.41,16.75
t,16.53,16.63,battu,16.41,16.75
y,16.63,16.75,battu,16.41,16.75
l,16.75,16.83,l’,16.75,16.83
a,16.83,16.91,armée,16.83,17.14
R,16.91,16.95,armée,16.83,17.14
m,16.95,17.02,armée,16.83,17.14
e,17.02,17.09,armée,16.83,17.14
t,17.09,17.14,armée,16.83,17.14
d,17.14,17.17,de,17.14,17.17
s,17.17,17.26,ses,17.17,17.42
e,17.26,17.32,ses,17.17,17.42
z,17.32,17.42,ses,17.17,17.42
E,17.42,17.47,ennemis,17.42,17.78
n,17.47,17.5,ennemis,17.42,17.78
m,17.5,17.64,ennemis,17.42,17.78
i,17.64,17.78,ennemis,17.42,17.78
p,17.78,17.82,put,17.78,17.91
y,17.82,17.91,put,17.78,17.91
v,17.91,17.94,vivre,17.91,18.24
i,17.94,18.06,vivre,17.91,18.24
v,18.06,18.14,vivre,17.91,18.24
R,18.14,18.24,vivre,17.91,18.24
d,18.24,18.31,désormais,18.24,18.74
e,18.31,18.4,désormais,18.24,18.74
z,18.4,18.47,désormais,18.24,18.74
O,18.47,18.55,désormais,18.24,18.74
R,18.55,18.58,désormais,18.24,18.74
m,18.58,18.66,désormais,18.24,18.74
E,18.66,18.74,désormais,18.24,18.74
a~,18.74,18.83,en,18.74,18.83
l,18.83,18.89,liberté,18.83,19.39
i,18.89,18.96,liberté,18.83,19.39
b,18.96,19.02,liberté,18.83,19.39
E,19.02,19.08,liberté,18.83,19.39
R,19.08,19.16,liberté,18.83,19.39
t,19.16,19.27,liberté,18.83,19.39
e,19.27,19.39,liberté,18.83,19.39
e,19.39,19.47,et,19.39,19.47
a~,19.47,19.69,en,19.47,19.69
p,19.69,19.75,paix,19.69,19.89
E,19.75,19.89,paix,19.69,19.89
a,20.6,20.67,Alors,20.6,20.87
l,20.67,20.73,Alors,20.6,20.87
O,20.73,20.81,Alors,20.6,20.87
R,20.81,20.87,Alors,20.6,20.87
l,20.87,20.94,le,20.87,20.99
@,20.94,20.99,le,20.87,20.99
p,20.99,21.07,prince,20.99,21.36
R,21.07,21.14,prince,20.99,21.36
e~,21.14,21.24,prince,20.99,21.36
s,21.24,21.36,prince,20.99,21.36
R,21.36,21.42,reprit,21.36,21.69
@,21.42,21.47,reprit,21.36,21.69
p,21.47,21.55,reprit,21.36,21.69
R,21.55,21.64,reprit,21.36,21.69
i,21.64,21.69,reprit,21.36,21.69
s,21.69,21.81,son,21.69,22.0
o~,21.81,21.92,son,21.69,22.0
n,21.92,22.0,son,21.69,22.0
