,onset,offset,words
0,0.0,0.19,
1,0.19,0.38,un
2,0.38,0.62,ange
3,0.62,0.77,de
4,0.77,1.08,Dieu
5,1.08,1.48,descend
6,1.48,1.7,sur
7,1.7,1.82,la
8,1.82,2.24,terre
9,2.24,2.61,
10,2.61,2.95,prend
11,2.95,2.98,l’
12,2.98,3.33,enfant
13,3.33,3.68,mort
14,3.68,3.82,dans
15,3.82,4.01,ses
16,4.01,4.34,bras
17,4.34,4.77,
18,4.77,5.18,ouvre
19,5.18,5.36,ses
20,5.36,5.69,larges
21,5.69,5.81,
22,5.81,6.15,ailes
23,6.15,6.53,
24,6.53,7.03,parcourt
25,7.03,7.18,tous
26,7.18,7.35,les
27,7.35,7.6,lieux
28,7.6,7.71,que
29,7.71,7.77,l’
30,7.77,8.21,enfant
31,8.21,8.25,a
32,8.25,8.8,aimés
33,8.8,9.19,
34,9.19,9.32,et
35,9.32,9.58,cueille
36,9.58,9.74,une
37,9.74,10.12,poignée
38,10.12,10.22,de
39,10.22,10.64,fleurs
40,10.64,11.49,
41,11.49,11.69,Ces
42,11.69,12.33,fleurs
43,12.33,12.56,
44,12.56,12.71,tous
45,12.71,12.86,deux
46,12.86,13.06,les
47,13.06,13.32,portent
48,13.32,13.38,au
49,13.38,13.67,bon
50,13.67,13.95,Dieu
51,13.95,14.08,pour
52,14.08,14.27,qu’il
53,14.27,14.36,les
54,14.36,14.62,fasse
55,14.62,15.19,refleurir
56,15.19,15.64,là-haut
57,15.64,15.88,
58,15.88,16.12,plus
59,16.12,16.43,belles
60,16.43,16.51,que
61,16.51,16.72,sur
62,16.72,16.89,la
63,16.89,17.4,terre
64,17.4,18.21,
65,18.21,18.24,Le
66,18.24,18.5,
67,18.5,18.72,bon
68,18.72,18.94,Dieu
69,18.94,19.27,presse
70,19.27,19.38,les
71,19.38,19.7,fleurs
72,19.7,19.86,sur
73,19.86,20.11,son
74,20.11,20.52,cœur
75,20.52,20.93,
76,20.93,21.01,et
77,21.01,21.3,celle
78,21.3,21.48,qu’il
79,21.48,22.05,préfère
80,22.05,22.55,
81,22.55,22.66,il
82,22.66,22.78,y
83,22.78,23.19,dépose
84,23.19,23.33,un
85,23.33,23.91,baiser
86,23.91,24.63,
87,24.63,24.78,Ce
88,24.78,25.11,baiser
89,25.11,25.29,lui
90,25.29,25.55,donne
91,25.55,25.71,une
92,25.71,26.08,voix
93,26.08,26.49,
94,26.49,26.58,et
95,26.58,26.7,la
96,26.7,26.91,fait
97,26.91,27.08,se
98,27.08,27.44,mêler
99,27.44,27.56,aux
100,27.56,27.63,
101,27.63,27.89,chœurs
102,27.89,28.05,des
103,28.05,28.6,bienheureux
104,28.6,29.77,
105,29.77,30.08,Voilà
106,30.08,30.23,ce
107,30.23,30.36,que
108,30.36,30.89,racontait
109,30.89,31.04,un
110,31.04,31.33,ange
111,31.33,31.46,de
112,31.46,31.87,Dieu
113,31.87,32.24,
114,32.24,32.41,en
115,32.41,32.95,emportant
116,32.95,33.1,un
117,33.1,33.43,enfant
118,33.43,33.73,mort
119,33.73,33.82,au
120,33.82,34.34,ciel
121,34.34,34.8,
122,34.8,34.89,et
123,34.89,34.93,l’
124,34.93,35.32,enfant
125,35.32,35.37,l’
126,35.37,35.81,écoutait
127,35.81,36.0,comme
128,36.0,36.13,en
129,36.13,36.57,rêve
130,36.57,36.67,
131,36.67,36.7,Et
132,36.7,37.43,
133,37.43,37.65,ils
134,37.65,38.03,volaient
135,38.03,38.41,au-dessus
136,38.41,38.59,des
137,38.59,38.91,lieux
138,38.91,39.08,où
139,39.08,39.21,le
140,39.21,39.54,petit
141,39.54,39.76,avait
142,39.76,40.24,joué
143,40.24,40.62,
144,40.62,40.83,sur
145,40.83,40.95,des
146,40.95,41.38,jardins
147,41.38,41.84,parsemés
148,41.84,41.96,de
149,41.96,42.36499,fleurs
150,42.36499,43.18,admirables
151,43.18,44.32,
152,44.32,44.66,Lesquelles
153,44.66,45.44,emporterons-nous
154,45.44,45.61,pour
155,45.61,45.73,les
156,45.73,46.09,planter
157,46.09,46.17,au
158,46.17,46.76,ciel
159,46.76,47.22,
160,47.22,47.64,demanda
161,47.64,47.72,l’
162,47.72,48.17,ange
163,48.17,49.11,
164,49.11,49.34,Près
165,49.34,49.39,d’
166,49.39,49.49,eux
167,49.49,49.61,se
168,49.61,49.97499,trouvait
169,49.97499,50.15998,un
170,50.15998,50.46,rosier
171,50.46,51.24,magnifique
172,51.24,51.51,
173,51.51,51.72,mais
174,51.72,51.84,une
175,51.84,52.27,méchante
176,52.27,52.32,
177,52.32,52.48,main
178,52.48,52.65,en
179,52.65,52.82,avait
180,52.82,53.18,brisé
181,53.18,53.31,la
182,53.31,53.83,tige
183,53.83,54.11,
