,onset,offset,words
0,0.0,0.52,
1,0.52,0.71,Le
2,0.71,1.2,ballon
3,1.2,1.53,
4,1.53,1.91,marchait
5,1.91,2.24,avec
6,2.24,2.36,une
7,2.36,2.97,assurance
8,2.97,3.76,singulière
9,3.76,4.18,
10,4.18,4.29,et
11,4.29,4.74,avait
12,4.74,4.88,un
13,4.88,5.29,aspect
14,5.29,6.1,magnifique
15,6.1,6.74,
16,6.74,6.99,Dix
17,6.99,7.42,minutes
18,7.42,8.06,environ
19,8.06,8.47,après
20,8.47,8.68,notre
21,8.68,9.28,départ
22,9.28,9.67,
23,9.67,9.82,le
24,9.82,10.46,baromètre
25,10.46,11.07,indiquait
26,11.07,11.38,une
27,11.38,11.73,hauteur
28,11.73,11.9,de
29,11.9,12.22,quinze
30,12.22,12.31,
31,12.31,12.52,zéro
32,12.52,12.9,pieds
33,12.9,13.92,
34,13.92,14.08,Le
35,14.08,14.34,temps
36,14.34,14.68,était
37,14.68,15.6,remarquablement
38,15.6,15.97,beau
39,15.97,16.43,
40,16.43,16.55,et
41,16.55,16.59,l
42,16.59,16.98,aspect
43,16.98,17.03,
44,17.03,17.12,de
45,17.12,17.26,la
46,17.26,17.32,
47,17.32,17.96,campagne
48,17.96,18.03,
49,18.03,18.51,placée
50,18.51,18.72,sous
51,18.72,18.99,nos
52,18.99,19.43,pieds
53,19.43,19.79,
54,19.79,20.03,un
55,20.03,20.3,des
56,20.3,20.41,plus
57,20.41,21.22,romantiques
58,21.22,21.29,
59,21.29,21.42,à
60,21.42,21.58,tous
61,21.58,21.8,les
62,21.8,22.01,points
63,22.01,22.08,de
64,22.08,22.52,vue
65,22.52,22.76,
66,22.76,23.12,était
67,23.12,23.52,alors
68,23.52,24.43,particulièrement
69,24.43,25.2,sublime
70,25.2,25.81,
71,25.81,25.96,Les
72,25.96,26.33,gorges
73,26.33,26.92,nombreuses
74,26.92,27.03,et
75,27.03,27.74,profondes
76,27.74,27.98,
77,27.98,28.63,présentaient
78,28.63,28.68,l
79,28.68,29.31,apparence
80,29.31,29.39,
81,29.39,29.47,de
82,29.47,29.79,lacs
83,29.79,30.31,
84,30.31,30.42,en
85,30.42,30.85,raison
86,30.85,31.09,des
87,31.09,31.53,épaisses
88,31.53,32.13,vapeurs
89,32.13,32.45,
90,32.45,32.67,dont
91,32.67,32.88,elles
92,32.88,33.15,étaient
93,33.15,33.83,remplies
94,33.83,34.34,
95,34.34,34.46,et
96,34.46,34.55,les
97,34.55,35.11,hauteurs
98,35.11,35.2,et
99,35.2,35.32,les
100,35.32,35.96,rochers
101,35.96,36.31,
102,36.31,36.87,situés
103,36.87,37.01,au
104,37.01,37.73,sud-est
105,37.73,38.19,
106,38.19,38.84,empilés
107,38.84,39.08,dans
108,39.08,39.24,un
109,39.24,40.14,inextricable
110,40.14,40.77,chaos
111,40.77,41.2,
112,41.2,41.86,ressemblaient
113,41.86,42.83499,absolument
114,42.83499,42.96998,aux
115,42.96998,43.39,cités
116,43.39,43.96,géantes
117,43.96,43.99,de
118,43.99,44.05,
119,44.05,44.3,la
120,44.3,44.67,fable
121,44.67,45.62,orientale
122,45.62,46.53,
123,46.53,46.75,Nous
124,46.75,47.46,approchions
125,47.46,48.11,rapidement
126,48.11,48.21,des
127,48.21,48.87,montagnes
128,48.87,49.15,
129,49.15,49.38,vers
130,49.38,49.42499,le
131,49.42499,49.97,sud
132,49.97,50.45,
133,50.45,50.59,mais
134,50.59,50.89,notre
135,50.89,51.82,élévation
136,51.82,52.2,
137,52.2,52.55,était
138,52.55,52.71,plus
139,52.71,52.79,
140,52.79,52.9,que
141,52.9,53.81,suffisante
142,53.81,53.95,
143,53.95,54.08,pour
144,54.08,54.27,nous
145,54.27,54.83499,permettre
146,54.83499,54.90998,de
147,54.90998,55.18,les
148,55.18,55.73,dépasser
149,55.73,55.9,en
150,55.9,56.08,toute
151,56.08,56.8,sûreté
152,56.8,57.64,
153,57.64,57.8,En
154,57.8,58.09,quelques
155,58.09,58.17,
156,58.17,58.72,minutes
157,58.72,59.02,
158,59.02,59.16,nous
159,59.16,59.72,planâmes
160,59.72,60.47,au-dessus
161,60.47,60.68,
