,onset,offset,words
0,0.0,0.01,
1,0.01,0.11,Il
2,0.11,0.3,était
3,0.3,0.46,une
4,0.46,0.71,fois
5,0.71,0.79,un
6,0.79,1.16,roi
7,1.16,1.31,qui
8,1.31,1.63,tomba
9,1.63,2.16,malade
10,2.16,2.65,
11,2.65,2.71,et
12,2.71,3.14,personne
13,3.14,3.24,ne
14,3.24,3.59,croyait
15,3.59,3.76,qu’il
16,3.76,3.93,pût
17,3.93,4.54,conserver
18,4.54,4.69,la
19,4.69,4.89,vie
20,4.89,5.96,
21,5.96,6.07,Ce
22,6.07,6.37,roi
23,6.37,6.56,avait
24,6.56,6.83,trois
25,6.83,7.1,fils
26,7.1,7.25,
27,7.25,7.38,qui
28,7.38,7.51,en
29,7.51,8.13,ressentirent
30,8.13,8.19,un
31,8.19,8.5,vif
32,8.5,9.03,chagrin
33,9.03,9.37,
34,9.37,9.4,et
35,9.4,10.47,
36,10.47,10.66,comme
37,10.66,10.88,ils
38,10.88,11.04,allaient
39,11.04,11.21,dans
40,11.21,11.26,le
41,11.26,11.65,parc
42,11.65,11.78,du
43,11.78,12.22,château
44,12.22,12.44,pour
45,12.44,12.84,pleurer
46,12.84,13.24,ils
47,13.24,13.27,y
48,13.27,13.81,rencontrèrent
49,13.81,13.9,un
50,13.9,14.35,vieillard
51,14.35,14.49,qui
52,14.49,14.67,leur
53,14.67,15.06,demanda
54,15.06,15.19,la
55,15.19,15.47,cause
56,15.47,15.54,d’
57,15.54,15.7,une
58,15.7,16.04,pareille
59,16.04,16.9,tristesse
60,16.9,17.6,
61,17.6,17.69,Ils
62,17.69,17.78,lui
63,17.78,18.27,racontèrent
64,18.27,18.4,que
65,18.4,18.57,leur
66,18.57,18.83,père
67,18.83,19.0,était
68,19.0,19.26,fort
69,19.26,19.77,malade
70,19.77,20.04,
71,20.04,20.21,et
72,20.21,20.41,qu’il
73,20.41,20.72,allait
74,20.72,20.76,à
75,20.76,20.87,coup
76,20.87,21.15,sûr
77,21.15,21.62,mourir
78,21.62,21.91,car
79,21.91,22.07,il
80,22.07,22.16,n’y
81,22.16,22.31,avait
82,22.31,22.52,plus
83,22.52,22.57,de
84,22.57,23.05,remède
85,23.05,23.66,
86,23.66,23.76,Mais
87,23.76,23.86,le
88,23.86,24.42,vieillard
89,24.42,24.48,
90,24.48,24.75,dit
91,24.75,24.78,J’en
92,24.78,25.04,
93,25.04,25.54,connais
94,25.54,25.87,
95,25.87,26.14,un
96,26.14,26.61,
97,26.61,26.88,c’est
98,26.88,26.98,l
99,26.98,27.14,Eau
100,27.14,27.22,de
101,27.22,27.38,la
102,27.38,27.69,vie
103,27.69,28.31,
104,28.31,28.74,celui
105,28.74,28.94,qui
106,28.94,29.18,en
107,29.18,29.73,boit
108,29.73,30.45,recouvre
109,30.45,30.6,tout
110,30.6,30.72,de
111,30.72,30.92,suite
112,30.92,31.14,la
113,31.14,31.61,santé
114,31.61,31.93,mais
115,31.93,31.96,elle
116,31.96,32.11,est
117,32.11,32.95,difficile
118,32.95,32.99,à
119,32.99,33.58,trouver
120,33.58,34.37,
121,34.37,34.5,Je
122,34.5,34.62,la
123,34.62,35.0,trouverai
124,35.0,35.32,bien
125,35.32,35.67,
126,35.67,36.43,répondit
127,36.43,36.51,l’
128,36.51,36.77,aîné
129,36.77,36.98,
130,36.98,37.03,et
131,37.03,37.23,
132,37.23,37.45,il
133,37.45,37.77,courut
134,37.77,38.15,prier
135,38.15,38.23,le
136,38.23,38.53,roi
137,38.53,38.56,de
138,38.56,38.68,lui
139,38.68,39.18,permettre
140,39.18,39.29,de
141,39.29,39.69,partir
142,39.69,39.77,à
143,39.77,39.85,la
144,39.85,40.22,recherche
145,40.22,40.41,de
146,40.41,40.46,l
147,40.46,40.56,Eau
148,40.56,40.59,de
149,40.59,40.65,la
150,40.65,40.97,vie
151,40.97,41.12,
152,41.12,41.24,qui
153,41.24,41.51,seule
154,41.51,41.81,pouvait
155,41.81,41.9,le
156,41.9,42.39,sauver
157,42.39,42.95,
158,42.95,43.71,Non
159,43.71,44.17,
160,44.17,44.38,dit
161,44.38,44.47,le
162,44.47,44.87,roi
163,44.87,44.92,
164,44.92,44.95,le
165,44.95,45.32,
166,45.32,46.11,danger
167,46.11,46.3,est
168,46.3,46.62,trop
169,46.62,47.32,grand
170,47.32,47.45,je
171,47.45,47.98,préfère
172,47.98,48.44,mourir
173,48.44,48.71,Mais
174,48.71,49.9,
175,49.9,50.05,le
176,50.05,50.39499,prince
177,50.39499,50.47,le
178,50.47,50.83,pria
179,50.83,51.06,si
180,51.06,51.43,longtemps
181,51.43,51.54,que
182,51.54,51.58,le
183,51.58,51.86,roi
184,51.86,52.39,consentit
185,52.39,52.49,au
186,52.49,53.12,voyage
187,53.12,53.88,
188,53.88,53.94,Et
189,53.94,54.04,le
190,54.04,54.34,prince
191,54.34,54.52,se
192,54.52,54.82,disait
193,54.82,54.86,en
194,54.86,55.55,lui-même
195,55.55,56.32,
