phonemes;phoneme_onset;phoneme_offset;words;word_onset;word_offset;cohort_entropy;cohort_surprisal;word_freq;word_entropy_GPT;word_number;entropy_class;word_freq_log
d;0.86;0.9;De;0.86;0.96;4.483571099;3.345837716;24266.8883;8.920418;1;1;14.56670151
@;0.9;0.96;De;0.86;0.96;0.226780069;7.532001195;24266.8883;8.920418;1;1;14.56670151
x;0.96;1.07;gouden;0.96;1.44;4.483571099;4.34040029;32.6096;9.41594;2;1;5.02722484
Au;1.07;1.26;gouden;0.96;1.44;0.25552616;10.78823568;32.6096;9.41594;2;1;5.02722484
d;1.26;1.3;gouden;0.96;1.44;0.001118563;3.106834466;32.6096;9.41594;2;1;5.02722484
@;1.3;1.34;gouden;0.96;1.44;0.000901229;5.240301424;32.6096;9.41594;2;1;5.02722484
m;1.34;1.44;gouden;0.96;1.44;0.000798962;5.285402219;32.6096;9.41594;2;1;5.02722484
f;1.44;1.55;vogel;1.44;2.08;4.483571099;7.950002851;32.2666;8.585344;3;1;5.011969661
o:;1.55;1.73;vogel;1.44;2.08;0.040921709;3.942375479;32.2666;8.585344;3;1;5.011969661
x;1.73;1.84;vogel;1.44;2.08;0.003847937;8.007802665;32.2666;8.585344;3;1;5.011969661
@;1.84;1.87;vogel;1.44;2.08;0.000798962;5.285402219;32.2666;8.585344;3;1;5.011969661
l;1.87;2.08;vogel;1.44;2.08;0.000798962;5.285402219;32.2666;8.585344;3;1;5.011969661
f;7.47;7.53;Voor;7.47;7.63;4.483571099;7.950002851;6709.8989;8.360949;4;-1;12.71207531
o:;7.53;7.6;Voor;7.47;7.63;0.040921709;3.942375479;6709.8989;8.360949;4;-1;12.71207531
r;7.6;7.63;Voor;7.47;7.63;0.003847937;3.919711964;6709.8989;8.360949;4;-1;12.71207531
l;7.63;7.66;lange;7.63;7.91;4.483571099;5.658347745;90.0995;8.8831005;5;1;6.493447195
A;7.66;7.71;lange;7.63;7.91;0.120570667;2.801764506;90.0995;8.8831005;5;1;6.493447195
N;7.71;7.81;lange;7.63;7.91;0.019872792;0.765095082;90.0995;8.8831005;5;1;6.493447195
@;7.81;7.91;lange;7.63;7.91;0.006066745;2.022087134;90.0995;8.8831005;5;1;6.493447195
t;7.91;7.97;tijden;7.91;8.44;4.483571099;5.057095733;48.9373;9.298801;6;1;5.612862601
Ei;7.97;8.17;tijden;7.91;8.44;0.143024519;3.58499348;48.9373;9.298801;6;1;5.612862601
d;8.17;8.22;tijden;7.91;8.44;0.013566601;2.839876809;48.9373;9.298801;6;1;5.612862601
@;8.22;8.26;tijden;7.91;8.44;0.003073414;0.381872725;48.9373;9.298801;6;1;5.612862601
n;8.26;8.44;tijden;7.91;8.44;0.002927152;0.534280488;48.9373;9.298801;6;1;5.612862601
w;8.44;8.47;was;8.44;8.61;4.483571099;3.789347436;5303.0886;9.069341;7;1;12.37261714
A;8.47;8.52;was;8.44;8.61;0.272972368;2.37297239;5303.0886;9.069341;7;1;12.37261714
z;8.52;8.61;was;8.44;8.61;0.059418788;10.09377846;5303.0886;9.069341;7;1;12.37261714
@;8.61;8.64;er;8.61;8.67;4.483571099;5.103190997;8170.4945;7.6475806;8;-1;12.99620768
r;8.64;8.67;er;8.61;8.67;0.004261526;8.284647381;8170.4945;7.6475806;8;-1;12.99620768
@;8.67;8.71;een;8.67;8.83;4.483571099;5.103190997;17972.179;9.754239;9;1;14.13347772
N;8.71;8.83;een;8.67;8.83;0.004261526;8.284647381;17972.179;9.754239;9;1;14.13347772
k;8.83;8.86;koning;8.83;9.43;4.483571099;4.803206421;138.5337;8.350766;10;-1;7.114093162
o:;8.86;9.06;koning;8.83;9.43;0.181988476;4.436768801;138.5337;8.350766;10;-1;7.114093162
n;9.06;9.09;koning;8.83;9.43;0.012561897;1.799405318;138.5337;8.350766;10;-1;7.114093162
I;9.09;9.16;koning;8.83;9.43;0.004103292;0.432956282;138.5337;8.350766;10;-1;7.114093162
N;9.16;9.43;koning;8.83;9.43;0.003509625;0.230971597;138.5337;8.350766;10;-1;7.114093162
h;9.98;10.04;hij;9.98;10.12;4.483571099;3.919556756;8875.7405;7.3963695;11;-1;13.11565177
Ei;10.04;10.12;hij;9.98;10.12;0.242825887;8.481156837;8875.7405;7.3963695;11;-1;13.11565177
h;10.12;10.2;had;10.12;10.36;4.483571099;3.919556756;2106.2021;8.967101;12;1;11.04042816
A;10.2;10.29;had;10.12;10.36;0.242825887;3.378123927;2106.2021;8.967101;12;1;11.04042816
t;10.29;10.36;had;10.12;10.36;0.031831209;8.714598005;2106.2021;8.967101;12;1;11.04042816
@;10.36;10.39;een;10.36;10.45;4.483571099;5.103190997;17972.179;9.506554;13;1;14.13347772
n;10.39;10.45;een;10.36;10.45;0.004261526;8.284647381;17972.179;9.506554;13;1;14.13347772
p;10.45;10.59;prachtigen;10.45;11.09;4.483571099;6.156827779;1.03E-06;8.744364;14;1;9.5269
r;10.59;10.62;prachtigen;10.45;11.09;0.106627015;1.608733176;1.03E-06;8.744364;14;1;9.5269
A;10.62;10.66;prachtigen;10.45;11.09;0.038935726;3.736945915;1.03E-06;8.744364;14;1;9.5269
x;10.66;10.83;prachtigen;10.45;11.09;0.004142866;0.379594009;1.03E-06;8.744364;14;1;9.5269
t;10.83;10.88;prachtigen;10.45;11.09;0.003629634;0.220762999;1.03E-06;8.744364;14;1;9.5269
@;10.88;10.93;prachtigen;10.45;11.09;0.003627153;0.251948953;1.03E-06;8.744364;14;1;9.5269
G;10.93;10.99;prachtigen;10.45;11.09;0.003731384;2.082665499;1.03E-06;8.744364;14;1;9.5269
@;10.99;11.09;prachtigen;10.45;11.09;0.001660865;0.694855424;1.03E-06;8.744364;14;1;9.5269
t;11.09;11.13;tuin;11.09;11.39;4.483571099;5.057095733;36.6572;7.2283726;15;-1;5.196024687
ui;11.13;11.28;tuin;11.09;11.39;0.143024519;4.781033279;36.6572;7.2283726;15;-1;5.196024687
n;11.28;11.39;tuin;11.09;11.39;0.007100439;3.377848869;36.6572;7.2283726;15;-1;5.196024687
A;11.39;11.44;achter;11.39;11.61;4.483571099;5.342409176;473.8;9.67225;16;1;8.888134388
x;11.44;11.52;achter;11.39;11.61;0.135766766;4.021749855;473.8;9.67225;16;1;8.888134388
t;11.52;11.58;achter;11.39;11.61;0.010965282;0.064825783;473.8;9.67225;16;1;8.888134388
@;11.58;11.61;achter;11.39;11.61;0.01004053;0.100475695;473.8;9.67225;16;1;8.888134388
z;11.61;11.69;zijn;11.61;11.83;4.483571099;4.235657498;7968.2279;8.315139;17;-1;12.9600432
@;11.69;11.77;zijn;11.61;11.83;0.287255793;1.863798945;7968.2279;8.315139;17;-1;12.9600432
n;11.77;11.83;zijn;11.61;11.83;0.000825079;5.336104825;7968.2279;8.315139;17;-1;12.9600432
p;11.83;11.87;paleis;11.83;12.42;4.483571099;6.156827779;15.5273;6.550974;18;-1;3.95673508
A;11.87;11.92;paleis;11.83;12.42;0.106627015;3.278372705;15.5273;6.550974;18;-1;3.95673508
l;11.92;12;paleis;11.83;12.42;0.014599775;5.980223448;15.5273;6.550974;18;-1;3.95673508
Ei;12;12.17;paleis;11.83;12.42;0.001010865;5.68866155;15.5273;6.550974;18;-1;3.95673508
s;12.17;12.42;paleis;11.83;12.42;0.000798962;5.285402219;15.5273;6.550974;18;-1;3.95673508
E;12.56;12.75;en;12.56;12.79;4.483571099;4.869410293;13987.4934;8.255756;19;-1;13.77184983
n;12.75;12.79;en;12.56;12.79;0.080619888;6.706842395;13987.4934;8.255756;19;-1;13.77184983
d;12.79;12.82;daarin;12.79;13.07;4.483571099;3.345837716;26.1151;7.0218673;20;-1;4.706812323
a:;12.82;12.94;daarin;12.79;13.07;0.226780069;2.623249419;26.1151;7.0218673;20;-1;4.706812323
r;12.94;12.98;daarin;12.79;13.07;0.039116596;0.271716135;26.1151;7.0218673;20;-1;4.706812323
I;12.98;13.01;daarin;12.79;13.07;0.013893069;8.414770858;26.1151;7.0218673;20;-1;4.706812323
N;13.01;13.07;daarin;12.79;13.07;0.000835649;5.358793595;26.1151;7.0218673;20;-1;4.706812323
s;13.07;13.18;stond;13.07;13.44;4.483571099;5.246233842;167.7132;7.7040133;21;-1;7.389852432
t;13.18;13.22;stond;13.07;13.44;0.185596842;1.722631723;167.7132;7.7040133;21;-1;7.389852432
O;13.22;13.3;stond;13.07;13.44;0.068431358;2.466554326;167.7132;7.7040133;21;-1;7.389852432
n;13.3;13.38;stond;13.07;13.44;0.014363388;2.584030472;167.7132;7.7040133;21;-1;7.389852432
t;13.38;13.44;stond;13.07;13.44;0.003344758;0.461573417;167.7132;7.7040133;21;-1;7.389852432
@;13.44;13.47;een;13.44;13.54;4.483571099;5.103190997;17972.179;9.475233;22;1;14.13347772
n;13.47;13.54;een;13.44;13.54;0.004261526;8.284647381;17972.179;9.475233;22;1;14.13347772
b;13.54;13.58;boom;13.54;13.86;4.483571099;4.642635154;52.2531;6.2474775;23;-1;5.707444725
o:;13.58;13.79;boom;13.54;13.86;0.194634275;4.779765928;52.2531;6.2474775;23;-1;5.707444725
m;13.79;13.86;boom;13.54;13.86;0.011329232;3.153960936;52.2531;6.2474775;23;-1;5.707444725
d;13.86;13.89;die;13.86;13.94;4.483571099;3.345837716;7204.3257;9.999387;24;1;12.81464769
i;13.89;13.94;die;13.86;13.94;0.226780069;4.88473869;7204.3257;9.999387;24;1;12.81464769
x;13.94;14.06;gouden;13.94;14.27;4.483571099;4.34040029;32.6096;8.575901;25;1;5.02722484
Au;14.06;14.23;gouden;13.94;14.27;0.25552616;10.78823568;32.6096;8.575901;25;1;5.02722484
d;14.23;14.27;gouden;13.94;14.27;0.001118563;3.106834466;32.6096;8.575901;25;1;5.02722484
A;14.27;14.33;appelen;14.27;14.68;4.483571099;5.342409176;0.4116;7.9557695;26;-1;-1.280685113
p;14.33;14.37;appelen;14.27;14.68;0.135766766;5.826563733;0.4116;7.9557695;26;-1;-1.280685113
e:;14.37;14.41;appelen;14.27;14.68;0.004870175;7.822532681;0.4116;7.9557695;26;-1;-1.280685113
l;14.41;14.44;appelen;14.27;14.68;0.000806671;4.80321708;0.4116;7.9557695;26;-1;-1.280685113
@;14.44;14.49;appelen;14.27;14.68;0.000806671;4.80321708;0.4116;7.9557695;26;-1;-1.280685113
n;14.49;14.68;appelen;14.27;14.68;0.000798962;5.285402219;0.4116;7.9557695;26;-1;-1.280685113
d;14.68;14.75;droeg;14.68;15.18;4.483571099;3.345837716;31.2147;8.00189;27;-1;4.964153695
r;14.75;14.78;droeg;14.68;15.18;0.226780069;3.938296036;31.2147;8.00189;27;-1;4.964153695
u;14.78;14.87;droeg;14.68;15.18;0.021628652;2.861723394;31.2147;8.00189;27;-1;4.964153695
G;14.87;15.18;droeg;14.68;15.18;0.004155476;3.953860819;31.2147;8.00189;27;-1;4.964153695
t;16.24;16.33;Toen;16.24;16.51;4.483571099;5.057095733;1086.5453;8.3354225;28;-1;10.08553261
u;16.33;16.39;Toen;16.24;16.51;0.143024519;2.424332728;1086.5453;8.3354225;28;-1;10.08553261
n;16.39;16.51;Toen;16.24;16.51;0.024742974;0.925164695;1086.5453;8.3354225;28;-1;10.08553261
@;16.51;16.55;de;16.51;16.59;4.483571099;5.103190997;24266.8883;10.364101;29;1;14.56670151
n;16.55;16.59;de;16.51;16.59;0.004261526;8.284647381;24266.8883;10.364101;29;1;14.56670151
A;16.59;16.75;appelen;16.59;16.95;4.483571099;5.342409176;0.4116;8.478417;30;-1;-1.280685113
p;16.75;16.79;appelen;16.59;16.95;0.135766766;5.826563733;0.4116;8.478417;30;-1;-1.280685113
e:;16.79;16.83;appelen;16.59;16.95;0.004870175;7.822532681;0.4116;8.478417;30;-1;-1.280685113
