phonemes;phoneme_onset;phoneme_offset;words;word_onset;word_offset;cohort_entropy;cohort_surprisal;word_freq;word_entropy_GPT;word_number;entropy_class;word_freq_log
t;0.86;0.94;Toen;0.86;1.08;4.483571099;5.057095733;1086.5453;9.019968;1;1;10.08553261
u;0.94;1;Toen;0.86;1.08;0.143024519;2.424332728;1086.5453;9.019968;1;1;10.08553261
n;1;1.08;Toen;0.86;1.08;0.024742974;0.925164695;1086.5453;9.019968;1;1;10.08553261
Ei;1.08;1.14;hij;1.08;1.14;4.483571099;9.259177357;8875.7405;8.44064;2;1;13.11565177
a:;1.14;1.23;aan;1.14;1.28;4.483571099;6.962709982;3838.5369;7.9786005;3;-1;11.9063408
n;1.23;1.28;aan;1.14;1.28;0.070521167;0.663592407;3838.5369;7.9786005;3;-1;11.9063408
@;1.28;1.32;het;1.28;1.35;4.483571099;5.103190997;24431.9717;9.809417;4;1;14.57648268
d;1.32;1.35;het;1.28;1.35;0.004261526;7.96098909;24431.9717;9.809417;4;1;14.57648268
k;1.35;1.43;kasteel;1.35;1.74;4.483571099;4.803206421;27.6016;8.8391285;5;1;4.786679994
A;1.43;1.46;kasteel;1.35;1.74;0.181988476;3.695268391;27.6016;8.8391285;5;1;4.786679994
s;1.46;1.55;kasteel;1.35;1.74;0.018609378;4.191692924;27.6016;8.8391285;5;1;4.786679994
t;1.55;1.59;kasteel;1.35;1.74;0.001992593;0.99467734;27.6016;8.8391285;5;1;4.786679994
e:;1.59;1.66;kasteel;1.35;1.74;0.00168905;1.667589659;27.6016;8.8391285;5;1;4.786679994
l;1.66;1.74;kasteel;1.35;1.74;0.001235796;1.20494308;27.6016;8.8391285;5;1;4.786679994
k;1.74;1.85;kwam;1.74;2.19;4.483571099;4.803206421;478.8538;8.58289;6;1;8.90344144
w;1.85;1.89;kwam;1.74;2.19;0.181988476;4.028426642;478.8538;8.58289;6;1;8.90344144
A;1.89;1.98;kwam;1.74;2.19;0.014450638;1.087939991;478.8538;8.58289;6;1;8.90344144
m;1.98;2.19;kwam;1.74;2.19;0.007334446;0.303315864;478.8538;8.58289;6;1;8.90344144
x;2.19;2.37;ging;2.19;2.65;4.483571099;4.34040029;504.1686;8.834807;7;1;8.977762459
I;2.37;2.6;ging;2.19;2.65;0.25552616;5.191587629;504.1686;8.834807;7;1;8.977762459
N;2.6;2.65;ging;2.19;2.65;0.012171782;0.701398079;504.1686;8.834807;7;1;8.977762459
E;2.65;2.71;het;2.65;2.75;4.483571099;4.869410293;24431.9717;8.51801;8;1;14.57648268
d;2.71;2.75;het;2.65;2.75;0.080619888;7.953374486;24431.9717;8.51801;8;1;14.57648268
A;2.75;2.9;alles;2.75;3.13;4.483571099;5.342409176;1708.415;8.678141;9;1;10.73844275
l;2.9;2.96;alles;2.75;3.13;0.135766766;0.87112638;1708.415;8.678141;9;1;10.73844275
@;2.96;3;alles;2.75;3.13;0.063603582;1.319066334;1708.415;8.678141;9;1;10.73844275
s;3;3.13;alles;2.75;3.13;0.026352213;0.617537739;1708.415;8.678141;9;1;10.73844275
s;3.13;3.19;zooals;3.13;3.41;4.483571099;5.246233842;1.03E-06;7.8861833;10;-1;9.5269
u;3.19;3.23;zooals;3.13;3.41;0.185596842;6.492223036;1.03E-06;7.8861833;10;-1;9.5269
