phonemes;phoneme_onset;phoneme_offset;words;word_onset;word_offset;cohort_entropy;cohort_surprisal;word_freq;word_entropy_GPT;word_number;entropy_class;word_freq_log
9~;0.19;0.29;un;0.19;0.38;4.40913978;6.148275263;12685.55;10.405104;1;1;13.63089845
n;0.29;0.38;un;0.19;0.38;0.0009962;5.553053253;12685.55;10.405104;1;1;13.63089845
a~;0.38;0.53;ange;0.38;0.62;4.40913978;5.557861127;47.9;7.584049;2;1;5.581953751
Z;0.53;0.62;ange;0.38;0.62;0.080804818;6.927172318;47.9;7.584049;2;1;5.581953751
d;0.62;0.69;de;0.62;0.77;4.40913978;3.516593851;25220.96;7.78609;3;1;14.62233557
@;0.69;0.77;de;0.62;0.77;0.316459001;0.605428293;25220.96;7.78609;3;1;14.62233557
d;0.77;0.85;Dieu;0.77;1.08;4.40913978;3.516593851;852.91;6.064387;4;1;9.736249705
j;0.85;0.97;Dieu;0.77;1.08;0.316459001;5.695521986;852.91;6.064387;4;1;9.736249705
2;0.97;1.08;Dieu;0.77;1.08;0.010373561;0.065577454;852.91;6.064387;4;1;9.736249705
d;1.08;1.15;descend;1.08;1.48;4.40913978;3.516593851;26.09;4.8405313;5;-1;4.705425039
E;1.15;1.22;descend;1.08;1.48;0.316459001;5.001925846;26.09;4.8405313;5;-1;4.705425039
s;1.22;1.36;descend;1.08;1.48;0.012502659;1.556001296;26.09;4.8405313;5;-1;4.705425039
a~;1.36;1.48;descend;1.08;1.48;0.005536625;0.530047759;26.09;4.8405313;5;-1;4.705425039
s;1.48;1.59;sur;1.48;1.7;4.40913978;3.649530069;2572.52;4.2319946;6;-1;11.32896658
y;1.59;1.63;sur;1.48;1.7;0.279602377;4.621087551;2572.52;4.2319946;6;-1;11.32896658
R;1.63;1.7;sur;1.48;1.7;0.016267838;0.915763922;2572.52;4.2319946;6;-1;11.32896658
l;1.7;1.75;la;1.7;1.82;4.40913978;3.75526016;16028.08;2.399184;7;-1;13.968314
a;1.75;1.82;la;1.7;1.82;0.225805434;1.769352061;16028.08;2.399184;7;-1;13.968314
t;1.82;1.97;terre;1.82;2.24;4.40913978;3.997456219;276.56;4.4633904;8;-1;8.111448698
E;1.97;2.21;terre;1.82;2.24;0.180107962;4.688395638;276.56;4.4633904;8;-1;8.111448698
R;2.21;2.24;terre;1.82;2.24;0.011830047;1.721461096;276.56;4.4633904;8;-1;8.111448698
p;2.61;2.73;prend;2.61;2.95;4.40913978;3.530081653;179.02;5.75401;9;1;7.483976963
R;2.73;2.82;prend;2.61;2.95;0.311131064;2.666672359;179.02;5.75401;9;1;7.483976963
a~;2.82;2.95;prend;2.61;2.95;0.065043444;1.676304604;179.02;5.75401;9;1;7.483976963
l;2.95;2.98;l’;2.95;2.98;4.40913978;3.75526016;11390.74;8.989906;10;1;13.47557385
a~;2.98;3.1;enfant;2.98;3.33;4.40913978;5.557861127;287.26;5.646567;11;1;8.166213306
f;3.1;3.25;enfant;2.98;3.33;0.080804818;2.298220086;287.26;5.646567;11;1;8.166213306
a~;3.25;3.33;enfant;2.98;3.33;0.019272944;0.773856463;287.26;5.646567;11;1;8.166213306
m;3.33;3.45;mort;3.33;3.68;4.40913978;4.216572461;745.1;4.8493743;12;-1;9.541290253
O;3.45;3.68;mort;3.33;3.68;0.209376202;3.842420317;745.1;4.8493743;12;-1;9.541290253
d;3.68;3.72;dans;3.68;3.82;4.40913978;3.516593851;4658.59;3.6106148;13;-1;12.18567765
a~;3.72;3.82;dans;3.68;3.82;0.316459001;7.062559624;4658.59;3.6106148;13;-1;12.18567765
s;3.82;3.95;ses;3.82;4.01;4.40913978;3.649530069;757.84;0.6932371;14;-1;9.565749479
e;3.95;4.01;ses;3.82;4.01;0.279602377;3.393971352;757.84;0.6932371;14;-1;9.565749479
b;4.01;4.07;bras;4.01;4.34;4.40913978;5.580931033;149.26;3.9673195;15;-1;7.221683781
R;4.07;4.18;bras;4.01;4.34;0.108661243;3.919177417;149.26;3.9673195;15;-1;7.221683781
a;4.18;4.34;bras;4.01;4.34;0.010778919;1.766408749;149.26;3.9673195;15;-1;7.221683781
u;4.77;4.99;ouvre;4.77;5.18;4.40913978;6.699320083;141.45;3.738631;16;-1;7.144148367
v;4.99;5.04;ouvre;4.77;5.18;0.011175551;3.039086501;141.45;3.738631;16;-1;7.144148367
R;5.04;5.18;ouvre;4.77;5.18;0.002407049;1.157493655;141.45;3.738631;16;-1;7.144148367
s;5.18;5.31;ses;5.18;5.36;4.40913978;3.649530069;757.84;3.4685388;17;-1;9.565749479
