phonemes;phoneme_onset;phoneme_offset;words;word_onset;word_offset;cohort_entropy;cohort_surprisal;word_freq;word_entropy_GPT;word_number;entropy_class;word_freq_log
l;0.52;0.59;Le;0.52;0.71;4.40913978;3.75526016;16953.5;11.116479;1;1;14.04929552
@;0.59;0.71;Le;0.52;0.71;0.225805434;0.827806902;16953.5;11.116479;1;1;14.04929552
b;0.71;0.75;ballon;0.71;1.2;4.40913978;5.580931033;27.27;6.891529;2;1;4.769242795
a;0.75;0.9;ballon;0.71;1.2;0.108661243;3.712846838;27.27;6.891529;2;1;4.769242795
l;0.9;0.97;ballon;0.71;1.2;0.011490455;3.056015766;27.27;6.891529;2;1;4.769242795
o~;0.97;1.2;ballon;0.71;1.2;0.002246439;3.275564321;27.27;6.891529;2;1;4.769242795
m;1.53;1.57;marchait;1.53;1.91;4.40913978;4.216572461;12.13;5.8731084;3;1;3.600507645
a;1.57;1.67;marchait;1.53;1.91;0.209376202;3.509233286;12.13;5.8731084;3;1;3.600507645
R;1.67;1.74;marchait;1.53;1.91;0.025324652;1.436469109;12.13;5.8731084;3;1;3.600507645
S;1.74;1.85;marchait;1.53;1.91;0.010635029;2.436495608;12.13;5.8731084;3;1;3.600507645
E;1.85;1.91;marchait;1.53;1.91;0.002442767;1.833999399;12.13;5.8731084;3;1;3.600507645
a;1.91;2.05;avec;1.91;2.24;4.40913978;3.794193288;3704.89;5.8526692;4;1;11.85521499
v;2.05;2.1;avec;1.91;2.24;0.229004095;1.66065416;3704.89;5.8526692;4;1;11.85521499
E;2.1;2.18;avec;1.91;2.24;0.067890681;0.228340635;3704.89;5.8526692;4;1;11.85521499
k;2.18;2.24;avec;1.91;2.24;0.03357389;0.018539414;3704.89;5.8526692;4;1;11.85521499
y;2.24;2.32;une;2.24;2.36;4.40913978;6.506829788;8133.53;5.913361;5;1;12.98966591
n;2.32;2.36;une;2.24;2.36;0.008059297;1.826414231;8133.53;5.913361;5;1;12.98966591
a;2.36;2.45;assurance;2.36;2.97;4.40913978;3.794193288;24.3;7.6616974;6;1;4.602884409
s;2.45;2.6;assurance;2.36;2.97;0.229004095;4.162489828;24.3;7.6616974;6;1;4.602884409
y;2.6;2.69;assurance;2.36;2.97;0.018346671;4.993673341;24.3;7.6616974;6;1;4.602884409
R;2.69;2.75;assurance;2.36;2.97;0.001528019;0.961675202;24.3;7.6616974;6;1;4.602884409
a~;2.75;2.92;assurance;2.36;2.97;0.001418296;2.515211392;24.3;7.6616974;6;1;4.602884409
s;2.92;2.97;assurance;2.36;2.97;0.001026951;2.029747343;24.3;7.6616974;6;1;4.602884409
s;2.97;3.08;singulière;2.97;3.76;4.40913978;3.649530069;1;3.471968;7;-1;0
e~;3.08;3.21;singulière;2.97;3.76;0.279602377;5.323553714;1;3.471968;7;-1;0
g;3.21;3.24;singulière;2.97;3.76;0.008078833;4.15362349;1;3.471968;7;-1;0
y;3.24;3.4;singulière;2.97;3.76;0.001317333;4.803715805;1;3.471968;7;-1;0
l;3.4;3.43;singulière;2.97;3.76;0.000860929;4.031456698;1;3.471968;7;-1;0
j;3.43;3.55;singulière;2.97;3.76;0.000861265;4.209636414;1;3.471968;7;-1;0
E;3.55;3.73;singulière;2.97;3.76;0.000855603;4.199349775;1;3.471968;7;-1;0
R;3.73;3.76;singulière;2.97;3.76;0.000855603;4.199349775;1;3.471968;7;-1;0
e;4.18;4.29;et;4.18;4.29;4.40913978;4.815820454;12909.08;8.108555;8;1;13.65609857
a;4.29;4.52;avait;4.29;4.74;4.40913978;3.794193288;992.35;6.595126;9;1;9.954705236
v;4.52;4.55;avait;4.29;4.74;0.229004095;1.66065416;992.35;6.595126;9;1;9.954705236
