phonemes;phoneme_onset;phoneme_offset;words;word_onset;word_offset;cohort_entropy;cohort_surprisal;word_freq;word_entropy_GPT;word_number;entropy_class;word_freq_log
p;0.04;0.11;Puis;0.04;0.26;4.40913978;3.530081653;531.94;7.0399156;1;1;9.055119716
H;0.11;0.19;Puis;0.04;0.26;0.311131064;7.655393076;531.94;7.0399156;1;1;9.055119716
i;0.19;0.26;Puis;0.04;0.26;0.00329849;0.265845628;531.94;7.0399156;1;1;9.055119716
i;0.26;0.41;ils;0.26;0.41;4.40913978;5.083806629;3075.07;7.7448845;2;1;11.58640354
a~;0.5;0.6;s’en;0.5;0.6;4.40913978;5.557861127;1.11E-06;9.523338;3;1;9.0073
f;0.6;0.73;furent;0.6;0.85;4.40913978;5.119777021;15.45;9.98822;4;1;3.949534933
y;0.73;0.78;furent;0.6;0.85;0.144351072;6.287146212;15.45;9.98822;4;1;3.949534933
R;0.78;0.85;furent;0.6;0.85;0.003685753;1.938008737;15.45;9.98822;4;1;3.949534933
t;0.85;0.94;tous;0.85;1.01;4.40913978;3.997456219;1287.03;8.625081;5;1;10.32982997
u;0.94;1.01;tous;0.85;1.01;0.180107962;3.278416644;1287.03;8.625081;5;1;10.32982997
t;1.01;1.09;trois;1.01;1.22;4.40913978;3.997456219;380.8;9.738211;6;1;8.572889668
R;1.09;1.14;trois;1.01;1.22;0.180107962;1.002245635;380.8;9.738211;6;1;8.572889668
w;1.14;1.17;trois;1.01;1.22;0.090210578;4.601997795;380.8;9.738211;6;1;8.572889668
a;1.17;1.22;trois;1.01;1.22;0.006056392;0.119469909;380.8;9.738211;6;1;8.572889668
a~;1.22;1.37;ensemble;1.22;1.88;4.40913978;5.557861127;283.22;5.7638063;7;1;8.145779337
s;1.37;1.51;ensemble;1.22;1.88;0.080804818;4.744122171;283.22;5.7638063;7;1;8.145779337
a~;1.51;1.67;ensemble;1.22;1.88;0.004937809;5.335436401;283.22;5.7638063;7;1;8.145779337
b;1.67;1.74;ensemble;1.22;1.88;0.000961526;3.089075332;283.22;5.7638063;7;1;8.145779337
l;1.74;1.78;ensemble;1.22;1.88;0.000912858;3.006158063;283.22;5.7638063;7;1;8.145779337
@;1.78;1.88;ensemble;1.22;1.88;0.000833396;5.247927513;283.22;5.7638063;7;1;8.145779337
e;2.07;2.18;et;2.07;2.18;4.40913978;4.815820454;12909.08;8.110328;8;1;13.65609857
p;2.18;2.22;parvinrent;2.18;2.58;4.40913978;3.530081653;0.04;2.325365;9;-1;-4.64385619
a;2.22;2.31;parvinrent;2.18;2.58;0.311131064;3.304444954;0.04;2.325365;9;-1;-4.64385619
R;2.31;2.36;parvinrent;2.18;2.58;0.03957027;0.513748812;0.04;2.325365;9;-1;-4.64385619
v;2.36;2.41;parvinrent;2.18;2.58;0.033654526;6.762835409;0.04;2.325365;9;-1;-4.64385619
e~;2.41;2.55;parvinrent;2.18;2.58;0.001245139;4.922753653;0.04;2.325365;9;-1;-4.64385619
R;2.55;2.58;parvinrent;2.18;2.58;0.000834208;5.192861813;0.04;2.325365;9;-1;-4.64385619
d;2.58;2.61;dans;2.58;2.75;4.40913978;3.516593851;4658.59;3.0401187;10;-1;12.18567765
a~;2.61;2.75;dans;2.58;2.75;0.316459001;7.062559624;4658.59;3.0401187;10;-1;12.18567765
9~;2.75;2.86;un;2.75;2.86;4.40913978;6.148275263;12685.55;7.781879;11;1;13.63089845
p;2.86;2.94;pays;2.86;3.18;4.40913978;3.530081653;202.57;6.8994675;12;1;7.662276721
E;2.94;3.03;pays;2.86;3.18;0.311131064;4.618915032;202.57;6.8994675;12;1;7.662276721
i;3.03;3.18;pays;2.86;3.18;0.018482107;2.699540557;202.57;6.8994675;12;1;7.662276721
a~;3.18;3.31;en;3.18;3.31;4.40913978;5.557861127;9398.98;7.499766;13;1;13.19828849
p;3.31;3.39;proie;3.31;3.72;4.40913978;3.530081653;9.19;1.814465;14;-1;3.200064862
R;3.39;3.43;proie;3.31;3.72;0.311131064;2.666672359;9.19;1.814465;14;-1;3.200064862
w;3.43;3.63;proie;3.31;3.72;0.065043444;10.57137492;9.19;1.814465;14;-1;3.200064862
a;3.63;3.72;proie;3.31;3.72;0.000887418;3.41080465;9.19;1.814465;14;-1;3.200064862
